N	3gram	Tiupa_Narr	StatiiOP
1	в том что	8	47
2	о том что	6	29
3	в этом отношении	3	24
4	до сих пор	1	19
5	с точки зрения	2	14
6	с другой стороны	4	13
7	не может быть	5	11
8	в самом деле	1	9
9	то же время	3	9
10	в то же	3	9
11	дело в том	1	9
12	можно было бы	2	9
13	тем не менее	3	8
14	на самом деле	1	8
15	не только в	2	8
16	в данном случае	4	7
17	но все же	4	7
18	том что он	1	7
19	у нас нет	1	7
20	так же как	2	6
21	по отношению к	6	6
22	в этом смысле	1	6
23	так и в	1	6
24	том что в	1	6
25	речь идет о	2	6
26	по крайней мере	1	6
27	в том же	1	5
28	в том чтобы	1	5
29	в свое время	1	5
30	мере в какой	1	4
31	то что он	1	4
32	обращает на себя	3	4
33	так или иначе	2	4
34	сами по себе	2	4
35	с одной стороны	7	4
36	в связи с	2	4
37	но это не	1	4
38	того или иного	2	4
39	тем более что	1	4
40	иметь в виду	1	4
41	на себя внимание	3	3
42	только потому что	1	3
43	в той мере	1	3
44	из этих двух	1	3
45	можно сказать что	4	3
46	то или иное	2	3
47	в том числе	6	3
48	той мере в	1	3
49	более или менее	2	3
50	да и в	1	3
51	а с другой	1	3
52	к тому же	4	3
53	бы то ни	3	3
54	ни для кого	1	3
55	а иногда и	1	3
56	и не в	4	3
57	в известном смысле	2	3
58	состоит в том	3	3
59	в значительной степени	2	3
60	в первую очередь	1	3
61	в русской литературе	1	3
62	прежде всего в	1	3
63	и даже не	1	2
64	в той или	2	2
65	здесь совершенно не	1	2
66	не представляется возможным	1	2
67	вытекает из его	1	2
68	том числе и	4	2
69	точно так же	2	2
70	ни одного слова	1	2
71	независимо от того	1	2
72	а во второй	1	2
73	и в то	1	2
74	в отличие от	5	2
75	что в этом	1	2
76	то ни было	3	2
77	не может не	2	2
78	а не в	2	2
79	то же самое	1	2
80	между тем что	1	2
81	а также и	1	2
82	сам по себе	1	2
83	как своего рода	1	2
84	в свою очередь	3	2
85	и др в	1	2
86	той или иной	4	2
87	это не так	1	2
88	что он уже	1	2
89	он не может	1	2
90	далеко не все	1	2
91	как мы видели	1	2
92	и то что	1	2
93	если бы между	1	2
94	что это за	1	2
95	имеем дело с	1	2
96	как и в	1	2
97	может быть и	1	2
98	в этой системе	1	1
99	некоторые из них	1	1
100	они свидетельствуют о	1	1
101	на протяжении всего	1	1
102	к одному из	1	1
103	из двух или	1	1
104	точку зрения на	1	1
105	до наших дней	1	1
106	с этой точки	1	1
107	с фактической стороны	1	1
108	одной из двух	2	1
109	что не имеет	1	1
110	друг от друга	1	1
111	таким каким он	2	1
112	составной частью в	1	1
113	всю свою жизнь	1	1
114	совершенно очевидно что	1	1
115	то что могло	1	1
116	при этом и	1	1
117	никогда и не	1	1
118	оснований видеть в	1	1
119	само по себе	1	1
120	это же время	1	1
121	в соответствии с	1	1
122	не было и	1	1
123	по себе не	1	1
124	не могло быть	1	1
125	и времени в	1	1
126	его жизни но	1	1
127	только то что	1	1
128	никогда не было	1	1
129	не то что	2	1
130	мы имеем дело	2	1
131	в своем предсмертном	1	1
132	в какой-то мере	1	1
133	то что было	1	1
134	а то и	1	1
135	однако с другой	1	1
136	отличается от всех	1	1
137	в это же	1	1
138	мысль о том	1	1
139	в капитанской дочке	1	1
140	в его детских	1	1
141	и в особенности	1	1
142	в последние десятилетия	1	1
143	этой точки зрения	2	1
144	ту или иную	2	1
145	от воли автора	1	1
146	самом деле не	1	1
147	и не было	1	1
148	поскольку речь идет	1	1
149	за все время	1	1
150	ни на что	1	1
151	с легкой руки	1	1
152	следующее место из	1	1
153	ни один человек	1	1
154	известном смысле является	1	1
155	речь идет не	1	1
156	в такого рода	1	1
157	но уже в	1	1
158	содержит в себе	1	1
159	прежде всего к	1	1
160	том что именно	1	1
161	что именно такова	1	1
162	именно в том	2	1
163	он не мог	1	1
164	же как и	1	1
165	а во втором	2	1
166	в году в	1	1
167	что несмотря на	1	1
168	а в тех	1	1
169	точки зрения как	1	1
170	данного произведения не	1	1
171	тот или иной	1	1
172	неотделимо от его	1	1
