N	2gram	Losev_Vesc	UchenyiS
1	и в	44	14
2	не только	48	10
3	а не	34	10
4	и не	57	8
5	прежде всего	17	8
6	то что	47	7
7	вот почему	3	7
8	в этом	17	7
9	не может	44	7
10	может быть	37	6
11	перестает быть	3	5
12	хотя бы	9	5
13	то же	12	5
14	и только	11	5
15	все это	7	5
16	с другой	8	4
17	в этой	4	4
18	в россии	2	4
19	конечно не	2	4
20	что такое	20	4
21	но и	19	4
22	в их	4	4
23	бы то	12	3
24	было бы	24	3
25	не о	2	3
26	и то	14	3
27	и формы	2	3
28	только к	2	3
29	для этого	5	3
30	очевидно что	2	3
31	это не	9	3
32	как и	15	3
33	то ни	13	3
34	для него	8	3
35	в своей	6	3
36	все же	18	3
37	ни было	12	3
38	в частности	3	3
39	в то	11	3
40	не как	2	3
41	у нас	9	3
42	другой стороны	3	3
43	не следует	1	3
44	но в	8	3
45	же время	4	3
46	литературы и	1	2
47	таким образом	16	2
48	в самом	13	2
49	если не	3	2
50	же не	4	2
51	не приходится	1	2
52	могли бы	1	2
53	его и	4	2
54	если бы	8	2
55	самом деле	7	2
56	могут быть	1	2
57	является в	2	2
58	не в	14	2
59	ни от	7	2
60	это было	2	2
61	бы и	9	2
62	для всех	1	2
63	и с	11	2
64	до сих	1	2
65	их и	1	2
66	же самое	1	2
67	одним из	1	2
68	еще ничего	1	2
69	крайней мере	10	2
70	как таковой	1	2
71	но не	9	2
72	по существу	3	2
73	форму и	1	2
74	мы и	1	2
75	тем что	7	2
76	как принцип	2	2
77	в себе	23	2
78	в его	5	2
79	в конце	3	2
80	даже и	5	2
81	должна быть	8	2
82	мы не	8	2
83	мы получаем	1	2
84	ничего не	12	2
85	всех этих	1	2
86	что она	23	2
87	не есть	79	2
88	что он	7	2
89	конце концов	2	2
90	на эту	1	2
91	этом отношении	2	2
92	о чем	2	2
93	как раз	16	2
94	а его	1	2
95	в некоторых	1	2
96	тех или	6	2
97	не могут	1	2
98	что мы	17	2
99	сводится к	4	2
100	в том	15	2
