N	2gram	Losev_Prob	BTomashe
1	у нас	31	3
2	все это	11	2
3	в ней	1	2
4	можно было	8	2
5	не то	4	2
6	больше чем	2	2
7	и не	63	2
8	очень узко	1	1
9	вопрос о	4	1
10	говорить о	14	1
11	было говорить	4	1
12	и о	11	1
13	только более	1	1
14	о них	3	1
15	было и	2	1
16	со всем	2	1
17	и нет	2	1
18	данном художественном	1	1
19	не только	37	1
20	остановиться на	1	1
21	теория литературы	1	1
22	темы как	1	1
23	нас еще	1	1
24	таким образом	9	1
25	не было	7	1
26	формализма и	1	1
27	прежде всего	17	1
28	бы только	1	1
29	и в	64	1
30	на самом	9	1
31	так и	17	1
32	и меньше	1	1
33	в своей	8	1
34	во всяком	18	1
35	и потому	3	1
36	и во	4	1
37	по нашему	1	1
38	за пределы	6	1
39	говорить об	2	1
40	же не	1	1
41	по крайней	8	1
42	с другой	8	1
43	об этом	10	1
44	художественного произведения	1	1
45	значение слова	4	1
46	такое определение	1	1
47	как будто	6	1
48	о смысловом	1	1
49	совершенно не	7	1
50	не о	7	1
51	другой стороны	7	1
52	крайней мере	8	1
53	основное значение	1	1
54	всяком случае	11	1
55	кроме того	7	1
56	было бы	16	1
57	стоит на	1	1
58	не следует	1	1
59	точно и	1	1
60	и ее	9	1
61	только одной	3	1
62	одной из	1	1
63	в значительной	2	1
64	в пределах	2	1
65	в данном	16	1
66	теории литературы	3	1
67	должна быть	2	1
68	в области	8	1
69	является только	3	1
70	далеко не	9	1
71	тем более	13	1
72	невозможны без	1	1
73	говорить не	1	1
74	не вполне	4	1
75	то как	1	1
76	и более	4	1
77	что все	9	1
78	не все	4	1
79	нашему мнению	1	1
80	художественном произведении	1	1
81	никак не	13	1
82	чтобы можно	1	1
83	будто бы	4	1
84	ясного и	1	1
85	а не	21	1
86	как некоторого	1	1
87	отнюдь не	15	1
88	до конца	1	1
89	представляется нам	2	1
90	и на	11	1
91	выходит за	1	1
92	спорно и	1	1
93	совершенно недостаточны	1	1
94	еще не	18	1
95	нет но	1	1
96	к ней	1	1
97	все же	7	1
98	что в	21	1
