N	3gram	Nazirov_Tr	Sovremen
1	не может быть	1	4
2	с самого начала	1	3
3	во всяком случае	1	2
4	тем не менее	1	2
5	в отличие от	2	2
6	в том что	2	1
7	что при таком	1	1
8	не могут быть	1	1
9	в скрытом виде	1	1
10	но это уже	1	1
11	в первом же	1	1
12	в связи с	1	1
13	и все же	1	1
14	может быть в	1	1
15	в обоих случаях	1	1
16	необходимо отметить что	1	1
17	в самом деле	1	1
18	это как бы	1	1
19	сводится только к	1	1
20	всего необходимо отметить	1	1
21	в данном случае	2	1
22	но все же	2	1
23	то же время	5	1
24	что в ней	1	1
25	прежде всего необходимо	1	1
26	в то же	5	1
27	для чего же	1	1
28	и в этом	1	1
29	в этом случае	1	1
30	и не может	1	1
