N	4gram	Medvedev_V	RusskieA
1	было бы значительно увеличить	1	3
2	можно было бы значительно	1	3
3	но вместе с тем	1	3
4	так же как и	1	3
5	о том же говорит	1	2
6	не может быть принята	1	1
7	видно из приведенных выше	3	1
8	в то время как	1	1
9	говорит о том что	1	1
10	том же говорит и	1	1
11	описывает его следующим образом	1	1
12	иметь в виду что	1	1
13	одном и том же	2	1
14	не имеет ничего общего	1	1
15	в одном и том	1	1
16	по этому поводу с	1	1
17	как видно из приведенных	1	1
18	в виду что в	1	1
19	имеет ничего общего с	1	1
20	приводит к тому что	2	1
