N	2gram	Medvedev_U	DiskursI
1	в качестве	1	72
2	а не	10	60
3	может быть	6	56
4	не только	10	49
5	и в	14	49
6	как и	3	47
7	и не	8	44
8	в том	2	44
9	то есть	1	41
10	том что	2	40
11	в этом	7	38
12	в себе	2	37
13	в частности	3	36
14	но и	4	35
15	но не	2	31
16	но в	3	28
17	так и	1	28
18	не может	7	27
19	отнюдь не	1	23
20	в своей	3	19
21	все же	3	19
22	в нем	1	19
23	прежде всего	8	19
24	далеко не	1	18
25	то же	5	17
26	в данном	1	17
27	с другой	4	17
28	только в	2	16
29	о том	1	15
30	то что	7	15
31	в его	2	15
32	можно сказать	1	14
33	одной стороны	1	14
34	с одной	1	14
35	не в	2	14
36	это не	3	14
37	для него	3	13
38	в своем	1	12
39	жанра в	1	12
40	и все	1	12
41	данном случае	1	12
42	не было	1	11
43	что в	1	11
44	с его	2	11
45	не столько	2	10
46	для себя	1	10
47	же время	3	10
48	и т.д	3	10
49	уже не	1	9
50	между тем	2	9
51	в то	3	9
52	сводится к	2	9
53	и даже	1	8
54	в котором	1	8
55	он не	1	8
56	не следует	3	8
57	этом отношении	2	8
58	о чем	2	7
59	другой стороны	3	7
60	таким образом	2	7
61	иначе говоря	1	7
62	что и	2	7
63	к этому	1	7
64	в этой	4	7
65	могут быть	2	7
66	в процессе	1	7
67	приводит к	1	7
68	той же	1	7
69	но это	2	7
70	и для	2	7
71	в пределах	1	7
72	не как	3	6
73	одно из	1	6
74	конечном счете	4	6
75	в противовес	2	6
76	крайней мере	2	6
77	никогда не	1	6
78	в конечном	4	6
79	и то	3	6
80	что он	2	6
81	в которых	1	6
82	по крайней	2	6
83	что же	1	6
84	литературного жанра	1	6
85	в период	1	6
86	в той	1	5
87	может служить	1	5
88	строго говоря	1	5
89	в виду	1	5
90	в первую	1	5
91	не вполне	1	5
92	сказать что	1	5
93	как раз	2	5
94	в сторону	2	5
95	тем что	2	5
96	первую очередь	1	5
97	за пределы	1	5
98	претендует на	1	5
99	в значительной	1	5
100	ничего не	2	5
101	того что	1	5
102	того как	1	5
103	по композиции	2	5
104	о нем	1	5
105	в ней	1	5
106	в их	4	5
107	и потому	1	5
108	же самое	2	5
109	в самом	2	4
110	его на	1	4
111	в произведении	1	4
112	не о	3	4
113	одним из	2	4
114	не есть	2	4
115	по себе	2	4
116	в исторической	1	4
117	и это	1	4
118	это в	1	4
119	не могут	2	4
120	более чем	2	4
121	во мне	1	4
122	в современном	1	4
123	до конца	1	4
124	этом случае	1	4
125	в свое	1	4
126	мы имеем	1	4
127	не для	1	4
128	и др	1	4
129	объекта и	1	4
130	на его	1	4
131	и прежде	1	4
132	является в	2	3
133	у пушкина	1	3
134	более или	1	3
135	их в	1	3
