N	3gram	Losev_Vlad	Psycholo
1	в том что	13	78
2	для того чтобы	3	70
3	на то что	6	55
4	в самом деле	1	51
5	заключается в том	1	36
6	о том что	9	34
7	с одной стороны	1	28
8	не может быть	4	23
9	и т д	3	22
10	к тому что	1	20
11	с другой стороны	3	20
12	в том чтобы	4	20
13	не только не	1	16
14	во всяком случае	8	14
15	само по себе	1	14
16	в то время	6	14
17	в этом отношении	2	14
18	и в этом	1	13
19	то время как	2	13
20	указывает на то	1	12
21	сам по себе	1	12
22	что в этом	1	12
23	в конце концов	6	12
24	и той же	1	12
25	одной и той	1	12
26	то что он	6	11
27	то что в	1	11
28	вместе с тем	2	10
29	и то что	7	10
30	не в том	3	10
31	том что он	4	10
32	потому что в	2	9
33	не то что	2	9
34	и что в	1	9
35	точно так же	2	9
36	что он не	3	9
37	и как бы	1	8
38	и то же	1	8
39	смысле этого слова	1	8
40	по этому поводу	2	8
41	с тем что	1	8
42	мы знаем что	2	8
43	что в нем	1	8
44	та же самая	1	7
45	так как это	1	7
46	в этом смысле	4	7
47	если бы мы	1	7
48	а с другой	1	7
49	только то что	1	7
50	в свою очередь	2	7
51	в какой мере	1	7
52	можно сказать что	3	7
53	одно и то	1	7
54	что и в	2	7
55	потому что она	1	6
56	не что иное	2	6
57	до тех пор	2	6
58	тех пор пока	2	6
59	и тот же	2	6
60	тем не менее	8	6
61	более или менее	5	6
62	что у него	2	6
63	по себе не	1	6
64	и в том	2	6
65	не только в	3	6
66	что иное как	2	6
67	все больше и	1	5
68	ни в каком	1	5
69	в первый раз	1	5
70	сказать что в	1	5
71	и вместе с	1	5
72	больше и больше	1	5
73	один и тот	2	5
74	не было бы	1	5
75	и в частности	3	5
76	в том виде	1	5
77	в жизни и	1	5
78	несмотря на все	1	5
79	не имеет никакого	2	5
80	как раз в	1	5
81	нам кажется что	2	5
82	прямо говорит что	1	4
83	в настоящее время	2	4
84	вызывает в нас	1	4
85	а в том	3	4
86	к тому же	3	4
87	имеет дело с	1	4
88	то что у	2	4
89	заключается не в	1	4
90	за то что	2	4
91	и когда он	1	4
92	он не может	1	4
93	в этой области	1	4
94	том что в	3	4
95	и никогда не	1	4
96	мы сейчас увидим	2	4
97	и не может	1	4
98	говорит что в	2	4
99	на то как	1	4
100	как это делает	2	4
101	это и есть	1	4
102	в том как	1	3
103	и что она	1	3
104	как это мы	4	3
105	не потому что	1	3
106	приходит к выводу	1	3
107	в последнее время	2	3
108	так как в	1	3
109	он не только	2	3
110	другой стороны мы	1	3
111	дело в том	7	3
112	как бы его	2	3
113	все это было	2	3
114	может быть и	1	3
115	он никогда не	2	3
116	случае не может	1	3
117	на том же	1	3
118	и в конце	2	3
119	в высшей степени	1	3
120	и что они	1	3
121	мысль о том	1	3
122	бы то ни	2	3
123	то же время	7	3
124	но он не	1	3
125	в это время	5	3
126	той же самой	1	3
127	к выводу что	1	3
128	ничего общего с	1	3
129	в то же	7	3
130	т п с	1	3
131	оно может быть	1	3
132	в этом случае	1	3
133	то обстоятельство что	2	3
134	с тем и	1	3
135	привело к тому	1	3
136	до конца и	1	3
137	после того как	2	3
138	а может быть	1	2
139	ни на минуту	1	2
140	мы уже знаем	1	2
141	а следовательно и	1	2
142	и никак не	1	2
143	не в этом	1	2
144	его точки зрения	2	2
145	дело не в	1	2
146	а то что	1	2
147	они не могут	1	2
148	с ним в	2	2
149	у него в	2	2
150	к которой мы	1	2
151	так или иначе	3	2
152	кроме того что	1	2
153	так и в	1	2
154	в каком случае	1	2
155	того что в	1	2
156	и тем самым	1	2
157	во многих случаях	1	2
158	и в своих	1	2
159	объясняется то что	1	2
160	указать на то	1	2
161	мы имеем дело	1	2
162	в связи с	7	2
163	в ответ на	2	2
164	и тем не	1	2
165	вместе с ним	1	2
166	только в очень	1	2
167	прежде всего на	1	2
168	и только в	1	2
169	по крайней мере	1	2
170	и в особенности	1	2
171	в каком они	1	2
172	только на отдельных	1	2
173	здесь мы имеем	1	2
174	несмотря на свою	1	2
175	по поводу того	1	2
176	и в своем	1	2
177	в окончательном виде	1	2
178	было бы и	1	2
179	как мы увидим	2	2
180	и все же	2	2
181	и как это	1	2
182	связи и в	1	2
183	а не к	1	2
184	в той же	1	2
185	мы увидим ниже	4	2
186	то что с	1	2
187	одно из этих	1	2
188	потому что как	1	2
189	тот же самый	1	2
190	такой степени что	1	2
191	только при помощи	1	2
192	то чего не	1	2
193	есть не что	1	2
194	то ни было	1	2
195	не может не	1	2
196	но вместе с	1	2
197	так как он	2	2
198	на первый план	4	2
199	не только у	1	2
200	для нас важно	1	2
201	он все же	1	2
202	о которых он	1	2
203	о ней не	1	2
204	в котором все	1	2
205	равно как и	1	2
206	как и другие	1	2
207	в значительной мере	1	2
208	с его точки	2	2
209	тех чувств которые	1	2
210	хотя и не	2	2
211	на минуту не	1	2
212	как мы видели	1	2
213	и ничего не	1	2
214	потому что если	1	2
215	по себе как	1	2
216	и в свою	1	2
217	с ней в	1	2
218	в те времена	7	2
219	о человеке и	1	2
220	то что я	1	2
221	указанием на то	1	2
222	что не только	1	2
223	имеем дело с	1	2
224	начала и до	2	2
225	которого мы и	1	1
226	к разного рода	1	1
227	свидетельствуют о его	1	1
228	он никак не	1	1
229	каком случае не	1	1
230	можно себе представить	1	1
231	в чем не	1	1
232	в россии и	1	1
233	и то обстоятельство	2	1
234	ни в каких	2	1
235	все той же	1	1
236	но вот что	1	1
237	мы его не	1	1
238	он не в	1	1
239	и он был	2	1
240	все равно не	1	1
241	об этом не	1	1
242	не говоря о	1	1
243	свидетельствует о том	1	1
244	о чем не	1	1
245	есть для меня	1	1
246	как мы уже	3	1
247	вот что писал	1	1
248	и потому его	1	1
249	то можно сказать	1	1
250	даны нам в	1	1
251	к этой цели	1	1
252	но и вообще	1	1
253	и к его	2	1
254	них не может	1	1
255	только одно что	1	1
256	с тот же	1	1
257	в особенности же	1	1
258	и о его	1	1
259	мне кажется что	1	1
260	не могла быть	1	1
261	но только в	1	1
262	это же самое	1	1
263	чтобы иметь возможность	1	1
264	просто сказать что	1	1
265	о чем главным	1	1
266	из них не	2	1
267	виде в каком	1	1
268	в ней не	1	1
269	он все более	1	1
270	и я не	1	1
271	с этой стороны	1	1
272	никогда не был	1	1
273	вовсе не из	1	1
274	по существу то	1	1
275	нужно сказать что	1	1
276	в переводе на	1	1
277	на этот раз	7	1
278	что в его	1	1
279	что даже в	1	1
280	не менее с	1	1
281	но все же	1	1
282	то мы можем	1	1
283	которая никак не	1	1
284	но это не	2	1
285	через несколько дней	1	1
286	уже о том	1	1
287	а также и	2	1
288	того что он	1	1
289	с ним не	1	1
290	рода событиям и	1	1
291	что так как	1	1
292	с теми же	2	1
293	что когда человек	1	1
294	чуть ли не	1	1
295	чем главным образом	1	1
296	кто из них	1	1
297	я хотел бы	1	1
298	и во всяком	1	1
299	сделать то же	1	1
300	как мы знаем	3	1
301	с этой своей	1	1
302	точки зрения можно	1	1
303	то что сам	1	1
304	как это было	1	1
305	свой взгляд на	1	1
306	собой разумеется что	1	1
307	на основании анализа	1	1
308	с которой мы	1	1
309	потому что его	1	1
310	с двух сторон	1	1
311	с ним что	1	1
312	и для всех	1	1
313	во всех своих	1	1
314	не может сделать	1	1
315	рассуждение о том	1	1
316	но и у	1	1
317	в этом письме	4	1
318	мы будем говорить	2	1
319	уже не может	1	1
320	и что настоящее	1	1
321	и тут же	1	1
322	содержание и форму	1	1
323	вовсе не есть	1	1
324	как и теперь	1	1
325	том что и	1	1
326	уже и в	1	1
327	в котором спенсер	1	1
