N	4gram	Savitsky_E	EvropaiC
1	в том случае если	1	4
2	заключается в том что	2	3
3	бы то ни было	4	3
4	одного и того же	1	3
5	равноценности и качественной несоизмеримости	5	2
6	как бы то ни	1	2
7	ли объективно доказать что	1	2
8	можно ли объективно доказать	1	2
9	всех прочих культур ныне	1	2
10	несмотря на то что	1	2
11	в то же время	14	2
12	культур ныне существующих или	1	2
13	народов и культур по	1	2
14	совершеннее всех прочих культур	1	2
15	объективно доказать что культура	1	2
16	прочих культур ныне существующих	1	2
17	истории и русской действительности	1	1
18	наивность этого доказательства должна	1	1
19	является сознание относительности того	1	1
20	и культур по степеням	1	1
21	этого доказательства должна быть	1	1
22	себя как на отсталых	1	1
23	должна быть ясна для	1	1
24	из русской истории и	1	1
25	частью представителей данного народа	2	1
26	проблемы и что истинное	1	1
27	сравнению с культурой дикарей	1	1
28	и для того чтобы	1	1
29	очищать ее от эгоцентризма	1	1
30	с этой точки зрения	5	1
31	европейской культуры вполне могут	1	1
32	и наивность этого доказательства	1	1
33	в то время как	1	1
34	и по сие время	1	1
35	всех элементах этой культуры	1	1
36	и народов земного шара	2	1
37	дают истинного решения проблемы	2	1
38	развитии представителей человеческого рода	1	1
39	надо всегда и твердо	1	1
40	грубость и наивность этого	1	1
41	элементах этой культуры нечто	1	1
42	примерами из русской истории	1	1
43	тех племен которые создали	1	1
44	арабов негров и других	1	1
45	от гипноза благ цивилизации	1	1
46	культуры не будет уже	1	1
47	того что прежде казалось	1	1
48	дикарей грубость и наивность	1	1
49	и твердо помнить что	1	1
50	на самих себя как	1	1
51	казалось безусловным благ европейской	1	1
52	различие между отцами и	1	1
53	то ни было компромиссов	2	1
54	совершенства новый принцип равноценности	1	1
55	при воспринимании европейской культуры	1	1
56	победа весьма часто выпадает	1	1
57	всех культур и народов	3	1
58	в своем развитии представителей	1	1
59	получаем горизонтальную плоскость вместо	1	1
60	цивилизацию живет и по	1	1
61	градации народов и культур	1	1
62	культуры древности были разрушены	1	1
63	в том же темпе	1	1
64	быть и норма права	1	1
65	и все другие народы	2	1
66	выпадает на долю народов	1	1
67	человека этот аргумент ясно	1	1
68	или частью представителей данного	2	1
69	простое и наиболее распространенное	1	1
70	культур по степеням совершенства	1	1
71	новый принцип равноценности и	1	1
72	не говоря уже о	1	1
73	время в сознании каждого	1	1
74	славян китайцев индусов арабов	1	1
75	несоизмеримости всех культур и	2	1
76	культуры нечто абсолютно высшее	1	1
77	культурных чем побеждаемые ими	1	1
78	культур и народов земного	3	1
79	народы мира европа и	1	1
