N	3gram	Tiupa_Lite	Hudozhes
1	по отношению к	4	10
2	не сводится к	3	9
3	в том что	15	8
4	присутствия в мире	1	7
5	я в мире	3	7
6	в то же	12	7
7	в отличие от	6	7
8	то же время	12	7
9	с другой стороны	5	6
10	присутствия я в	1	6
11	той или иной	1	5
12	в конечном счете	8	5
13	для того чтобы	1	5
14	состоит в том	8	5
15	так или иначе	8	4
16	не может быть	5	4
17	факторов художественного впечатления	2	4
18	так и не	1	4
19	в силу своей	3	4
20	по сути своей	1	3
21	с точки зрения	4	3
22	в виду не	2	3
23	в том числе	2	3
24	тем не менее	4	3
25	и то же	1	3
26	одного и того	1	3
27	читателя зрителя слушателя	4	3
28	одно и то	1	3
29	подобно тому как	4	3
30	виду не только	1	3
31	несет в себе	2	3
32	субъект художественной деятельности	3	3
33	и того же	1	3
34	в связи с	4	3
35	в знаковом материале	2	3
36	с одной стороны	8	3
37	тот или иной	1	3
38	войне и мире	1	2
39	художественности состоит в	2	2
40	художественной деятельности в	1	2
41	как совокупность факторов	2	2
42	в свою очередь	2	2
43	бы то ни	1	2
44	то чему нельзя	1	2
45	в области искусства	1	2
46	и прежде всего	4	2
47	креативного и рецептивного	1	2
48	художественной культуры в	1	2
49	автор относится как	1	2
50	является своего рода	1	2
51	в русской литературе	5	2
52	в общественном сознании	1	2
53	определяющим отношением художественности	2	2
54	произведение искусства более	1	2
55	я в качестве	1	2
56	по большей части	1	2
57	этой точки зрения	3	2
58	ту или иную	2	2
59	с этой точки	3	2
60	в самом деле	1	2
61	во всех подобных	1	2
62	во внешнем мире	1	2
63	иной строй эстетической	1	2
64	культуре хх века	1	2
65	художественная деятельность мыслится	3	2
66	в войне и	1	2
67	внутренней и внешней	1	2
68	невоспроизводимости творческого акта	1	2
69	всех подобных случаях	1	2
70	относится как к	1	2
71	более не сводится	1	2
72	в отношении к	1	2
73	искусства более не	1	2
74	художественности и позволяет	1	2
75	чтобы не остаться	1	2
76	тех или иных	2	2
77	продолжением и развитием	1	2
78	текст как совокупность	1	2
79	с легкой руки	2	2
80	и в то	1	2
81	деятельностью направленной на	2	2
82	а с другой	2	2
83	не могло быть	2	2
84	мира представляет собой	1	2
85	том что он	1	2
86	или иной строй	1	2
87	то ни было	1	2
88	чему нельзя научиться	1	2
89	в рамках которого	1	2
90	художественного мышления и	2	2
91	как уже говорилось	1	2
92	к тому что	1	2
93	приводит к тому	1	2
94	я героя как	1	2
95	в равной степени	2	2
96	в значительной степени	1	2
97	на воспринимающее сознание	2	2
98	новой парадигмы художественности	2	2
99	в художественной культуре	1	2
100	в основе своей	1	2
101	мы имеем дело	2	2
102	совокупность факторов художественного	2	2
103	начинает восприниматься как	2	2
104	познанием но собственно	1	1
105	содержание художественной деятельности	1	1
106	некоего гениального индивидуума	1	1
107	просто связанной так	1	1
108	это делает достоверность	1	1
109	читатель зритель слушатель	1	1
110	быть не может	1	1
111	классицизма в национальных	1	1
112	в тексте не	2	1
113	что он не	1	1
114	язык язык поэзии	1	1
115	чужого я поскольку	1	1
116	же параметрам ведет	1	1
117	оценке согласно императиву	1	1
118	цель изображать красоту	1	1
119	окружающей его жизни	1	1
120	может и не	1	1
121	предтечей столь существенного	1	1
122	своем стремительном развитии	1	1
123	о явлениях самой	1	1
124	на предыдущей стадии	1	1
125	образотворческом созидании яркая	1	1
126	и укрепление в	1	1
127	всему свету остается	1	1
128	свободный игровой характер	1	1
129	на вопрос что	1	1
130	художественного задания когда	1	1
131	в одноименном стихотворении	1	1
132	моментом самого искусства	1	1
133	это может показаться	1	1
134	автор герой читатель	1	1
135	роли ценностного центра	1	1
136	правильность текста отождествляемая	1	1
137	правильностью сколько красотой	1	1
138	не поддается научному	1	1
139	тайный жар свои	1	1
140	искусство перестает отождествляться	1	1
141	показаться исходя из	1	1
142	свету остается неизвестен	1	1
143	может быть это	4	1
144	целях задачах возможностях	1	1
145	по этой причине	2	1
146	изображать красоту гармонию	1	1
147	согласно императиву мастерства	1	1
148	только мастерство но	1	1
149	основе всех постсимволистских	1	1
150	конструктивной неполноты целого	1	1
151	открытие эстетической природы	1	1
152	каждой новой такой	1	1
