N	4gram	Losev_Dial	VeschiIm
1	не что иное как	6	12
2	бы то ни было	1	12
3	и т д и	8	11
4	т д и т	7	10
5	д и т д	7	10
6	есть не что иное	3	8
7	одно и то же	2	5
8	и тем не менее	2	5
9	с этой точки зрения	4	4
10	ни в каком случае	2	4
11	в то же время	3	4
12	это значит что она	1	4
13	это значит что мы	3	4
14	в то время как	6	4
15	то это значит что	3	3
16	можно ли сказать что	1	3
17	не может быть ни	1	3
18	это и значит что	1	3
19	и в то же	2	3
20	по крайней мере в	3	2
21	не есть ни просто	1	2
22	или по крайней мере	4	2
23	уже не может быть	1	2
24	заключается в том что	1	2
25	случае не есть ни	1	2
26	не имеет никакого отношения	3	2
27	если это так то	1	2
28	вопрос о том как	1	2
29	от всего прочего и	2	2
30	что-нибудь или ничего не	1	2
31	значит? это значит что	2	2
32	тут не может быть	1	2
33	что это значит? это	2	2
34	это значит? это значит	2	2
35	это не значит что	1	1
36	мы уже сказали что	1	1
37	коем случае не есть	3	1
38	сама по себе а	1	1
39	она есть прежде всего	1	1
40	в том смысле что	1	1
41	и значит что мы	1	1
42	есть ни в каком	1	1
43	на самом же деле	1	1
44	по себе отнюдь не	1	1
45	того что она есть	1	1
46	ни в коем случае	4	1
47	взятая сама по себе	1	1
48	и т д на	1	1
49	а не что-нибудь иное	1	1
50	если же оно –	1	1
51	мы оперируем не с	1	1
52	т е не есть	3	1
53	с тех пор как	1	1
54	значит что в ней	1	1
55	должна быть не просто	1	1
56	уже не говорю о	1	1
57	есть сам по себе	1	1
58	я уже не говорю	1	1
59	но что же такое	1	1
60	– в том что	1	1
61	ничего не говорит о	2	1
62	что с точки зрения	2	1
63	когда мы говорим что	1	1
64	не есть ли он	1	1
65	и это потому что	1	1
66	отличается от всего прочего	3	1
67	с тем или другим	1	1
68	жизни и т д	1	1
69	что существует не только	1	1
70	с одной стороны и	1	1
71	существуют только явления и	1	1
72	никакого отношения ни к	1	1
73	подобно тому как и	1	1
74	уж во всяком случае	1	1
75	брать на себя функции	1	1
76	одно из двух или	3	1
77	и т д таким	1	1
78	уж тем более не	1	1
79	и есть то что	1	1
80	приходится брать на себя	1	1
81	и больше ничего то	1	1
82	т д таким образом	1	1
83	но что это значит?	1	1
84	тут одно из двух	1	1
85	принципов и гипотез но	1	1
86	сами по себе совершенно	1	1
87	в коем случае не	4	1
88	и то и другое	1	1
89	и т д теперь	1	1
90	и т д словом	1	1
91	это значит что в	1	1
92	и т д в	2	1
93	в том что тут	1	1
94	отличаться от всего прочего	1	1
95	можно только тогда когда	3	1
96	не содержит в себе	1	1
97	и уж тем более	1	1
98	ни на что не	1	1
99	что существуют только явления	1	1
100	с его отвлеченной идеей	1	1
101	только на то что	2	1
102	дело не в этом	1	1
103	вещь должна быть не	1	1
104	не может и даже	1	1
105	она не может не	1	1
106	явлению приходится брать на	1	1
107	но в то же	1	1
108	не было ни в	2	1
109	то что мы воспринимаем	2	1
110	на себя функции сущности	2	1
111	и т д все	1	1
112	этого мы ведь и	1	1
113	что получится если мы	1	1
114	не есть ни в	1	1
115	есть то что мы	2	1
116	дело вовсе не в	1	1
117	а это значит что	2	1
118	но это значит что	2	1
119	существует не только одно	1	1
120	ни о каком бытии	1	1
121	на себя функции явления	1	1
122	имеет никакого отношения к	2	1
123	заключается не в том	1	1
124	есть прежде всего некое	1	1
125	в себе не содержит	2	1
126	тем не менее эта	1	1
127	что бы то ни	1	1
