N	3gram	Medvedev_S	Analitik
1	в том что	2	25
2	по отношению к	2	18
3	в то же	1	16
4	то же время	1	14
5	в конечном счете	1	11
6	по крайней мере	1	9
7	с одной стороны	1	9
8	во всяком случае	1	7
9	не в том	2	4
10	и в этом	1	4
11	сама по себе	1	4
12	дело не в	2	3
13	а в том	1	3
14	в связи с	1	3
15	то же самое	1	3
16	в противном случае	1	3
17	а тем более	1	2
18	а с другой	1	2
19	в том и	1	2
20	науки о литературе	1	2
21	а между тем	1	2
22	о том как	1	1
23	и наконец в	1	1
24	и заключается что	2	1
25	целом все это	1	1
26	сказать и о	1	1
27	все это по	1	1
28	друг от друга	1	1
29	что в них	1	1
30	том и заключается	1	1
31	в конце концов	2	1
32	своего ремесла но	1	1
33	выходит за пределы	1	1
34	только то что	1	1
35	наука о литературе	1	1
36	ни на что	1	1
37	истории литературы как	1	1
38	в целом все	1	1
39	и должно было	1	1
