N	4gram	Berdyaev_M	Problemy
1	бы он ни был	1	5
2	в том что он	1	5
3	потому что она не	1	3
4	в то время как	2	3
5	одна и та же	2	2
6	не значит конечно что	1	2
7	у достоевского никогда не	2	2
8	в записках из подполья	2	2
9	кто бы он ни	1	2
10	это не значит конечно	1	2
11	ни в чем не	2	2
12	и по отношению к	1	2
13	по отношению к нему	1	2
14	в своей записной книжке	2	2
15	она не может быть	1	1
16	никогда не может быть	2	1
17	что до сих пор	1	1
18	что они не могут	1	1
19	и всегда у достоевского	1	1
20	хотя бы и самый	1	1
21	потому что он сам	1	1
22	легенда о великом инквизиторе	1	1
23	в братьях карамазовых но	1	1
24	это имел в виду	1	1
25	в своем художественном творчестве	1	1
26	все более и более	1	1
27	но не может быть	1	1
28	и не может быть	1	1
29	в творчестве достоевского но	1	1
30	у достоевского нельзя найти	1	1
31	о том что все	1	1
32	друг к другу как	1	1
33	не может быть и	1	1
34	в обычном смысле слова	1	1
35	и к чему бы	1	1
36	для себя и для	1	1
37	но это не значит	1	1
38	и вместе с тем	4	1
39	как и всегда у	1	1
40	в том что это	1	1
41	что он мог бы	1	1
42	а может быть и	1	1
43	и в самом деле	1	1
44	и в братьях карамазовых	1	1
45	становится по ту сторону	1	1
46	и есть то что	1	1
47	в самой жизни а	1	1
48	к униженным и оскорбленным	1	1
49	не потому что она	1	1
50	мы имеем в виду	1	1
51	занимает очень важное место	1	1
52	ивана карамазова и др	1	1
53	одну и ту же	1	1
54	но для этого необходимо	1	1
55	место в творчестве достоевского	2	1
56	самой жизни а не	1	1
57	ивана карамазова со смердяковым	1	1
58	к нему как к	1	1
59	может быть и речи	1	1
60	так же как и	1	1
61	в центре его творчества	1	1
62	подобно тому как в	1	1
63	до сих пор не	1	1
