N	3gram	Trubetskoy	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	2	7
3	с точки зрения	8	6
4	во всяком случае	2	6
5	друг с другом	9	5
6	по крайней мере	1	5
7	а с другой	2	5
8	до сих пор	15	5
9	для того чтобы	7	5
10	в том числе	1	5
11	более или менее	8	5
12	том числе и	1	4
13	но все же	2	4
14	о том что	4	4
15	к тому же	5	4
16	в том что	16	3
17	в конце концов	4	3
18	и таким образом	1	3
19	так же как	3	3
20	в связи с	3	3
21	точно так же	1	3
22	а так как	1	3
23	тем не менее	4	3
24	с течением времени	4	3
25	так или иначе	5	3
26	культуры таким образом	1	2
27	и для того	1	2
28	ничего общего с	2	2
29	такое положение дела	1	2
30	с тем и	1	2
31	между этими двумя	2	2
32	на то что	7	2
33	сих пор еще	1	2
34	на пути к	1	2
35	таким образом в	3	2
36	с самого начала	1	2
37	то ясно что	4	2
38	но вместе с	2	2
39	то ни было	3	2
40	есть как бы	1	2
41	этой точки зрения	1	2
42	заключает в себе	2	2
43	то же самое	1	2
44	так и от	1	2
45	с тех пор	1	2
46	по сравнению с	5	2
47	бы то ни	3	2
48	первое время после	2	2
49	то же время	2	2
50	в том виде	2	2
51	в то же	2	2
52	том виде в	1	2
53	с этой точки	1	2
54	друг на друга	2	2
55	как бы то	2	2
56	может быть и	4	2
57	благодаря антропологическому смешению	1	1
58	по своей культуре	6	1
59	мы видели что	1	1
60	это есть продукт	1	1
61	запаса культурных ценностей	3	1
62	в своем целом	2	1
63	и т.д таким	1	1
64	и некоторые другие	1	1
65	ничем не выше	2	1
66	на каждом шагу	1	1
67	мы видели выше	1	1
68	к тем же	1	1
69	у него в	1	1
70	материальной и духовной	1	1
71	народов земного шара	1	1
72	но при этом	1	1
73	культуры и для	1	1
74	сих пор не	5	1
75	может показаться что	1	1
76	совершенно ясно что	1	1
77	т.д таким образом	1	1
78	именно потому что	2	1
79	и состоит из	1	1
80	хотя бы с	1	1
81	совершенно не похожим	1	1
82	в нашей культуре	1	1
83	есть ли это	1	1
84	есть не более	1	1
85	в свою очередь	2	1
86	а между тем	8	1
87	в настоящее время	3	1
88	не только не	1	1
89	все эти черты	1	1
90	иметь в виду	1	1
91	что мы можем	1	1
92	смысле этого слова	1	1
93	том что все	2	1
94	что это есть	1	1
95	в этом направлении	1	1
96	в то что	1	1
97	в этой области	4	1
98	носят на себе	2	1
99	но для этого	1	1
100	мы видим что	1	1
101	все что мы	1	1
102	не может быть	4	1
103	за тем чтобы	1	1
104	культурных ценностей и	1	1
105	по отношению к	11	1
106	в данном случае	3	1
107	который можно назвать	1	1
108	и заставить их	1	1
109	в том или	1	1
110	что в таком	1	1
111	и все же	1	1
112	из двух или	1	1
113	в разные стороны	1	1
114	а потому что	1	1
115	во всей своей	1	1
116	одно культурное целое	1	1
117	а в том	1	1
118	сделать из них	1	1
119	в народных массах	1	1
120	ясно представить себе	1	1
121	но все они	1	1
122	одно из двух	1	1
123	и того же	3	1
124	что касается до	6	1
125	и т.д в	1	1
126	на задний план	1	1
127	не более как	2	1
128	общего запаса культурных	1	1
129	не может не	3	1
130	и к культуре	1	1
131	что все эти	1	1
132	том что они	1	1
133	надо иметь в	1	1
134	том или ином	1	1
135	тоже с точки	1	1
136	в широком смысле	1	1
137	ясно что и	1	1
138	каковом случае между	1	1
139	могут рассматриваться как	1	1
140	наше отношение к	2	1
141	психологической точки зрения	1	1
142	в самом деле	5	1
143	тот факт что	4	1
144	в общих чертах	1	1
145	а следовательно и	2	1
146	в одно культурное	1	1
147	но с другой	1	1
148	запас культурных ценностей	4	1
149	их отношение к	1	1
150	духе и в	1	1
151	состоит в том	1	1
152	совершенно так же	4	1
153	несмотря на все	1	1
154	только то что	2	1
155	эта культура на	1	1
156	в котором они	1	1
157	с другой стороны	4	1
158	с психологической точки	1	1
159	из этих частей	1	1
160	мы уже говорили	1	1
161	что значительная часть	2	1
162	то что эти	1	1
163	не в том	1	1
164	виде в котором	1	1
165	свидетельствует о том	1	1
166	в каковом случае	2	1
167	в то время	2	1
168	самом деле если	1	1
169	при этом не	1	1
170	только тогда когда	1	1
171	сливаются в одно	1	1
172	из которых каждый	1	1
173	сообразно с этим	2	1
174	лишь отдельных единиц	1	1
175	но по существу	1	1
176	очень много но	1	1
177	романцев и германцев	1	1
178	ввиду того что	1	1
179	выйти из этого	1	1
180	они сейчас же	1	1
181	между тем с	1	1
182	при таких условиях	2	1
183	более широкую группу	1	1
184	все эти элементы	1	1
185	не осталось и	1	1
186	между тем этот	1	1
187	одного и того	3	1
188	в этом последнем	1	1
189	лишь то что	1	1
190	друг к другу	2	1
