N	3gram	Propp_Isto	Literetu
1	в том что	8	21
2	по отношению к	2	12
3	с одной стороны	2	12
4	не может быть	4	11
5	в данном случае	6	11
6	состоит в том	2	11
7	так или иначе	1	10
8	о том что	3	10
9	с точки зрения	1	8
10	с другой стороны	10	7
11	в том числе	1	6
12	к тому же	4	6
13	из того что	1	6
14	подобно тому как	3	6
15	не только в	3	6
16	с этой точки	1	5
17	тем не менее	6	5
18	в соответствии с	1	5
19	этой точки зрения	1	5
20	в связи с	5	5
21	и прежде всего	1	4
22	тогда как в	1	4
23	и то что	4	4
24	ничего общего с	1	3
25	то же самое	1	3
26	в свою очередь	1	3
27	на то что	4	3
28	на самом деле	1	3
29	но и не	1	3
30	в одном из	2	3
31	во всяком случае	2	3
32	дело не только	1	2
33	знает что он	1	2
34	в себя и	1	2
35	имеется в виду	1	2
36	это становится ясным	1	2
37	что на нем	1	2
38	исключают друг друга	1	2
39	и вместе с	1	2
40	не исключают друг	1	2
41	не только не	2	2
42	в целом и	1	2
43	однако не в	1	2
44	к тому что	1	2
45	только то что	1	2
46	в другом месте	1	2
47	в этой связи	1	2
48	берет на себя	2	2
49	мы имеем дело	1	2
50	то что было	2	2
51	за то что	1	2
52	вместе с тем	1	2
53	при всей своей	1	2
54	но и в	2	2
55	в виду не	1	2
56	о себе в	1	2
57	можно было бы	2	2
58	в этом случае	8	2
59	тем что он	1	2
60	в целом но	1	2
61	и не только	1	2
62	потому что я	1	1
63	каждого из них	1	1
64	что он не	1	1
65	на задний план	1	1
66	почти никогда не	1	1
67	в большинстве случаев	2	1
68	того что они	1	1
69	на том что	1	1
70	их может быть	1	1
71	с ними а	1	1
72	друг от друга	1	1
73	в русской и	1	1
74	этом случае мы	1	1
75	так и с	1	1
76	до сих пор	7	1
77	в такой же	1	1
78	иметь в виду	1	1
79	не имеет своей	1	1
80	в зависимости от	1	1
81	что он все	1	1
82	нельзя сказать что	1	1
83	во многих случаях	1	1
84	том что в	2	1
85	не только на	1	1
86	а не с	1	1
87	по этому поводу	1	1
88	с тех пор	1	1
89	кем-нибудь из героев	1	1
90	но все же	5	1
91	и в том	1	1
92	на всю жизнь	1	1
93	не только по	1	1
94	после того как	3	1
95	к такого рода	1	1
96	и у нас	1	1
97	а не просто	1	1
98	и не всегда	1	1
99	говорит я не	1	1
100	есть своего рода	1	1
101	но как правило	1	1
102	герой обращается к	1	1
103	никак не мог	1	1
104	героя с его	1	1
105	с того что	2	1
106	так как мы	1	1
107	из которых он	1	1
108	вообще не знает	1	1
109	один из моментов	1	1
110	говорит и не	1	1
111	может быть в	1	1
112	ними а не	1	1
113	об одном из	1	1
114	то же в	1	1
115	не в состоянии	1	1
116	быть и так	1	1
117	не что иное	6	1
118	тогда как при	1	1
119	тем более что	1	1
120	вместе с ней	1	1
121	в его руках	1	1
122	между прочим и	2	1
123	начинается с того	2	1
124	хотя и не	1	1
125	однако это не	1	1
126	на нее и	2	1
127	тому как в	1	1
128	это еще не	2	1
129	друг другу но	1	1
130	содержит в себе	2	1
131	как мы видели	7	1
132	оградить себя от	1	1
133	во всех этих	1	1
134	с самого начала	1	1
135	в соединении с	1	1
136	не есть ли	1	1
137	так чтобы он	1	1
138	а так как	1	1
139	что иное как	6	1
140	встречаются и в	1	1
141	он все еще	1	1
142	и не может	1	1
143	это и есть	2	1
144	не только как	1	1
145	с ней в	1	1
146	с собой в	1	1
147	имеем дело с	1	1
148	мы не можем	1	1
149	может быть и	1	1
