N	2gram	Losev_Dial	EvropaiC
1	таким образом	5	34
2	в том	20	31
3	и в	35	24
4	том что	18	20
5	все эти	4	19
6	то что	25	18
7	не может	16	18
8	может быть	30	17
9	до сих	4	15
10	все же	9	15
11	сих пор	4	15
12	точки зрения	25	14
13	к культуре	1	14
14	в этом	18	13
15	все это	14	13
16	самом деле	6	12
17	с этим	5	12
18	между тем	3	12
19	в своем	7	12
20	но и	17	11
21	культуры и	1	11
22	все что	2	10
23	мы знаем	1	10
24	не только	26	10
25	так и	18	10
26	как и	10	10
27	во всех	3	10
28	как бы	19	10
29	что в	19	9
30	при этом	2	9
31	в результате	2	9
32	не в	12	9
33	и все	11	9
34	и не	51	9
35	с другом	2	9
36	потому что	23	9
37	и что	17	9
38	на то	5	9
39	друг с	2	9
40	того же	1	9
41	в самом	6	8
42	с точки	18	8
43	более или	5	8
44	ясно что	11	8
45	или менее	5	8
46	к тому	6	8
47	для того	2	8
48	если бы	12	8
49	того чтобы	1	8
50	а между	1	8
51	так же	6	8
52	знаем что	2	8
53	идет речь	2	8
54	из этих	2	8
55	так как	24	7
56	того что	6	7
57	что и	7	7
58	на самом	5	7
59	что он	16	7
60	в психике	1	7
61	не менее	5	7
62	о которых	2	7
63	о котором	2	7
64	из этого	2	7
65	о том	8	7
66	вместе с	3	7
67	по своей	5	7
68	в этой	3	7
69	в сознании	3	7
70	в силу	6	7
71	по существу	2	7
72	для этого	2	7
73	мы можем	5	6
74	несмотря на	12	6
75	с ним	9	6
76	при чем	2	6
77	что с	2	6
78	только в	7	6
79	тому же	3	6
80	от друга	1	6
81	европейская наука	1	6
82	в мире	3	6
83	отличается от	3	6
84	друг от	1	6
85	еще не	4	6
86	все они	2	6
87	и если	5	6
88	должна быть	5	6
89	так что	21	6
90	и при	3	6
91	что касается	3	6
92	как на	1	6
93	в общем	2	6
94	с другой	10	6
95	в то	10	6
96	в европе	1	6
97	у них	3	6
98	и для	2	6
99	и к	8	5
100	а потому	3	5
101	ничем не	4	5
102	между собою	3	5
103	должно быть	7	5
104	тех кто	2	5
105	в состоянии	2	5
106	в его	4	5
107	что это	21	5
108	пор не	1	5
109	другой стороны	7	5
110	у него	2	5
111	его в	3	5
112	так или	3	5
113	в которой	3	5
114	но все	5	5
115	и с	10	5
116	или иначе	3	5
117	именно в	4	5
118	и без	1	5
119	большею частью	4	5
120	по своему	4	5
121	на все	2	5
122	не выше	1	5
123	по сравнению	2	5
124	сравнению с	2	5
125	и истории	1	5
126	быть и	7	5
127	не будет	2	5
128	между двумя	1	5
129	и их	5	5
130	оказывается что	1	5
131	далеко не	2	5
132	бороться с	2	5
133	в себе	23	5
134	и от	5	5
135	что все	2	5
136	столь же	1	5
137	как будто	7	5
138	к этому	2	5
139	в целом	1	5
140	из них	5	5
141	но в	8	5
142	не так	1	4
143	и то	15	4
144	то они	1	4
145	та же	6	4
146	из того	2	4
147	хотя и	4	4
148	тем не	3	4
149	мало того	1	4
150	совершенно не	13	4
151	из которых	1	4
152	чем больше	1	4
153	это есть	13	4
154	все прочие	1	4
155	в их	5	4
156	в виде	2	4
157	связи с	3	4
158	в конце	5	4
159	в таком	4	4
160	с тем	2	4
161	состоит из	3	4
162	не есть	67	4
163	не могут	4	4
164	то ясно	1	4
165	и у	2	4
166	и сейчас	3	4
167	а с	2	4
168	что мы	3	4
169	всякой другой	1	4
170	данный момент	1	4
171	мы уже	8	4
172	хотя бы	6	4
173	в дальнейшем	6	4
174	в такой	1	4
175	мы должны	6	4
176	для меня	5	4
177	что эта	5	4
178	факт что	1	4
179	всегда будет	1	4
180	отношение к	5	4
181	что для	3	4
182	и культуры	1	4
183	что как	2	4
184	и проч	1	4
185	представление об	1	4
186	ибо в	1	4
187	в области	2	4
188	он не	5	4
189	конце концов	4	4
190	если мы	3	4
191	всех этих	4	4
192	мы сказали	1	4
193	в одну	8	4
194	то же	21	4
195	никогда не	18	4
196	во всем	3	3
197	на почве	2	3
198	от него	4	3
199	что оно	9	3
200	эти элементы	1	3
201	самих себя	1	3
202	данном случае	1	3
203	только что	5	3
204	и по	5	3
205	которые не	2	3
206	с одной	4	3
207	тогда когда	6	3
208	даже в	6	3
209	ни было	2	3
210	в разных	6	3
211	указанных выше	1	3
212	историческую эпоху	2	3
213	и говорить	4	3
214	как у	3	3
215	для нас	1	3
216	на нас	1	3
217	прежде всего	14	3
218	одно из	2	3
219	же не	4	3
220	говорить что	2	3
221	в этих	6	3
222	различия между	3	3
223	от тех	1	3
224	что по	3	3
225	в нем	25	3
226	заключается в	4	3
227	поставленных выше	1	3
228	представление о	1	3
229	очевидно что	1	3
230	очень много	4	3
231	в жизни	3	3
232	в связи	3	3
233	по одному	4	3
234	же как	3	3
235	но по	1	3
236	на земле	3	3
237	есть начало	1	3
238	в истории	1	3
239	может не	1	3
240	в степени	1	3
241	и это	6	3
242	в сторону	1	3
243	ничего общего	4	3
244	что их	2	3
245	у обоих	1	3
246	и вообще	10	3
247	тем более	2	3
