N	3gram	Tiupa_Anal	Dialekti
1	с точки зрения	6	46
2	сама по себе	1	26
3	по крайней мере	4	26
4	в том что	13	25
5	не может быть	17	18
6	не что иное	5	18
7	что иное как	6	18
8	тем не менее	3	16
9	сам по себе	1	16
10	то же время	7	15
11	в то же	9	14
12	в таком случае	5	14
13	только тогда когда	1	13
14	и то же	2	12
15	с другой стороны	2	12
16	о том что	8	12
17	одно и то	2	12
18	ничего не говорит	1	11
19	есть не что	4	11
20	на то что	2	11
21	субъекта и объекта	1	11
22	в самом деле	3	10
23	имеется в виду	1	9
24	и в этом	4	9
25	содержит в себе	3	9
26	подобно тому как	5	9
27	то или иное	1	9
28	внутреннего и внешнего	2	8
29	не только не	2	8
30	и та же	1	8
31	одна и та	1	8
32	в этом смысле	3	8
33	можно сказать что	1	7
34	говоря уже о	1	7
35	не в том	3	7
36	так или иначе	1	7
37	сами по себе	3	7
38	в связи с	2	7
39	той или иной	8	7
40	не говоря уже	1	7
41	и в частности	1	7
42	ни с какой	1	6
43	в коем случае	2	6
44	для того чтобы	3	6
45	крайней мере в	1	6
46	более или менее	2	6
47	ни в коем	2	6
48	в зависимости от	1	6
49	коем случае не	2	6
50	случае не есть	1	6
51	то что мы	1	6
52	ни на что	1	6
53	что не есть	1	6
54	во всяком случае	1	6
55	с одной стороны	6	6
56	и даже не	1	5
57	не говорит о	1	5
58	к тому что	2	5
59	то и другое	1	5
60	в том смысле	1	5
61	до сих пор	1	5
62	одной и той	1	5
63	и той же	1	5
64	том смысле что	1	4
65	и т п	3	4
66	с этой точки	2	4
67	этой точки зрения	2	4
68	в данном случае	3	4
69	к тому же	6	4
70	как раз и	2	4
71	то же самое	3	4
72	я не могу	1	4
73	из того что	3	4
74	а не только	2	4
75	равно как и	1	4
76	есть в сущности	2	4
77	того и другого	2	4
78	и даже в	1	4
79	она есть нечто	1	4
80	с той или	2	4
81	на что не	1	4
82	можно было бы	1	4
83	в результате которой	1	4
84	не могут быть	2	4
85	субъект и объект	1	4
86	в этом отношении	5	4
87	в той или	3	3
88	тех или иных	3	3
89	и как бы	1	3
90	самом же деле	1	3
91	как будто бы	1	3
92	несмотря на то	1	3
93	из которых состоит	1	3
94	на точку зрения	1	3
95	нельзя сказать что	1	3
96	на самом же	1	3
97	так как будто	1	3
98	бы то ни	3	3
99	и не может	4	3
100	того или иного	3	3
101	и что же?	1	3
102	в данный момент	2	3
103	как и в	2	3
104	о том как	1	3
105	но в то	2	3
106	не только в	3	3
107	речь идет о	1	3
108	и должно быть	1	3
109	я никогда не	1	3
110	еще ничего не	1	3
111	но то что	1	2
112	так что оно	1	2
113	в силу своей	3	2
114	в собственном смысле	1	2
115	хотя бы и	1	2
116	дело не в	2	2
117	не только его	1	2
118	тогда когда оно	1	2
119	далеко не всегда	2	2
120	как более или	1	2
121	содержат в себе	1	2
122	друг с другом	2	2
123	в обоих случаях	2	2
124	том что именно	1	2
125	в отношении к	1	2
126	ни о чем	1	2
127	и вместе с	1	2
128	а не ее	1	2
129	как мы это	1	2
130	не было и	1	2
131	но и все	1	2
132	точки зрения в	1	2
133	не менее в	1	2
134	оно и не	1	2
135	или хотя бы	1	2
136	в свою очередь	1	2
