N	2gram	Voloshinov	Problemy
1	и в	28	106
2	и не	34	90
3	как бы	19	70
4	может быть	28	66
5	в его	25	56
6	в этом	28	52
7	в нем	7	51
8	не может	30	49
9	как и	13	44
10	что он	12	44
11	точки зрения	31	40
12	но и	10	40
13	для него	12	39
14	и его	22	39
15	а не	9	38
16	о себе	4	37
17	то же	12	36
18	не только	10	36
19	в пределах	6	35
20	то что	17	33
21	но в	13	33
22	прежде всего	26	32
23	он не	10	29
24	в то	7	29
25	все это	12	29
26	и все	13	28
27	в одном	3	27
28	не в	10	27
29	к себе	3	26
30	же время	6	26
31	в самом	12	25
32	и с	10	25
33	к нему	9	25
34	с точки	15	25
35	и т	1	25
36	себе самому	1	25
37	не как	2	24
38	вовсе не	16	24
39	самом деле	14	24
40	рядом с	2	23
41	и на	9	23
42	слова и	4	23
43	по себе	4	22
44	в каждом	1	22
45	таким образом	34	22
46	там где	2	21
47	как мы	18	21
48	все же	8	20
49	никогда не	10	20
50	только в	11	20
51	потому что	4	20
52	что же	10	19
53	что в	7	19
54	с его	9	19
55	отношению к	11	19
56	слова в	1	19
57	уже не	9	18
58	по отношению	13	18
59	в себе	7	18
60	еще не	8	18
61	о нем	2	18
62	на самом	6	18
63	но не	7	18
64	все эти	15	18
65	и к	7	17
66	себе самом	3	17
67	с ним	14	17
68	а в	8	17
69	в том	10	17
70	это не	5	17
71	так и	14	17
72	так же	4	16
73	если бы	4	16
74	в своей	14	16
75	этом смысле	2	16
76	в другом	4	16
77	у него	4	15
78	до конца	7	15
79	и для	7	15
80	и наконец	12	15
81	и сам	3	14
82	в своем	4	14
83	как раз	6	14
84	в конце	2	14
85	а как	3	14
86	другого человека	2	14
87	в отношении	2	14
88	так как	15	14
89	я не	4	14
90	он и	2	14
91	но все	2	13
92	на него	4	13
93	точка зрения	15	13
94	с другими	8	13
95	его в	11	13
96	большинстве случаев	6	13
97	в мире	2	13
98	и это	1	13
99	себя и	4	13
100	перед нами	1	13
101	в большинстве	5	13
102	в целом	4	13
103	при этом	8	12
104	даже в	1	12
105	отношении к	1	12
106	и как	3	12
107	и даже	3	12
108	к тому	6	12
109	во всяком	9	12
110	в котором	4	12
111	что и	5	12
112	не знает	5	12
113	так сказать	7	12
114	себе и	3	12
115	и что	6	12
116	за пределы	10	12
117	было бы	8	12
118	между тем	3	12
119	как в	4	12
120	том что	12	12
121	но это	4	12
122	ничего не	5	12
123	слово в	1	12
124	в одной	2	12
125	последнее слово	1	12
126	тем что	1	11
127	их в	3	11
128	входит в	2	11
129	с другой	2	11
130	он сам	5	11
131	должно быть	2	11
132	бы в	2	11
133	мы уже	10	11
134	в форме	1	11
135	не могут	7	11
136	бы и	2	11
137	этого слова	1	11
138	сознания и	6	11
139	она не	6	11
140	или как	3	11
141	как будто	1	11
142	конце концов	2	11
143	более того	7	11
144	самого начала	5	10
145	говорит он	1	10
146	сих пор	3	10
147	в него	2	10
148	до сих	3	10
149	для себя	2	10
150	с собою	1	10
151	в слове	1	10
152	приводит к	3	10
153	той же	5	10
154	далеко не	5	10
155	как не	3	10
156	отношение к	7	10
157	ведь и	3	10
158	зрения на	6	9
159	в них	3	9
160	хотя бы	7	9
161	друг с	1	9
162	хотя и	1	9
163	с самого	7	9
164	точек зрения	1	9
165	из одного	1	9
166	могут быть	9	9
167	всяком случае	8	9
168	ни в	12	9
169	да и	2	9
170	или в	1	9
171	раз и	3	9
172	и потому	12	9
173	человека в	4	9
174	в результате	3	8
175	и до	5	8
176	о том	3	8
177	мы увидим	4	8
178	все время	4	8
179	из них	7	8
180	переходим к	3	8
181	и он	1	8
182	ни было	2	8
183	но как	2	8
184	одним из	3	8
185	здесь не	1	8
186	и у	7	8
187	и от	3	8
188	мы должны	9	8
189	нам кажется	1	8
190	должна быть	2	8
191	что это	5	8
192	вот как	2	8
193	никак не	1	8
194	в человеке	6	8
195	не на	1	8
196	с ними	5	8
197	и так	2	8
198	наконец в	1	8
199	сознание и	5	8
200	его целом	2	8
201	как к	2	8
202	уже в	3	8
203	того что	7	8
204	это и	4	8
205	же не	1	8
206	с их	5	8
207	менее всего	1	8
208	с другом	1	8
209	и о	6	8
210	бы он	3	8
211	тем как	1	7
212	мысли и	4	7
213	в виду	4	7
214	на мир	1	7
215	в жизни	7	7
216	к самому	1	7
217	отличается от	2	7
218	и со	3	7
219	вопрос о	2	7
220	в себя	5	7
221	только на	4	7
222	сказать что	11	7
223	что все	7	7
224	что она	5	7
225	что они	1	7
226	все его	3	7
227	это я	1	7
228	не было	5	7
229	как его	2	7
230	между ними	5	7
231	в этих	5	7
232	и следовательно	3	7
233	во всех	13	7
234	то ни	4	7
235	кажется что	1	7
236	если же	2	7
237	друг другу	1	7
238	и др	9	7
239	его к	4	7
240	и ее	7	7
241	бы то	3	7
242	его с	2	7
243	например в	1	7
244	мы остановимся	2	7
245	в процессе	5	7
246	не входит	2	7
247	его и	2	7
248	он в	2	7
249	на этот	3	7
250	т д	1	7
251	точку зрения	12	7
252	тот же	10	7
253	но на	1	7
254	нему и	1	7
255	в их	2	7
256	в виде	1	7
257	но эта	1	7
258	мира и	1	7
259	к своему	2	7
260	и другого	1	7
261	и их	2	7
262	со всею	3	7
263	такой же	3	7
264	одной плоскости	1	7
265	что было	1	6
266	во всем	1	6
267	в своих	5	6
268	не менее	6	6
269	на фоне	1	6
270	и нет	1	6
271	с этим	8	6
272	но эти	2	6
273	превращается в	2	6
274	конечно не	10	6
275	этого мира	1	6
276	как на	3	6
277	одна из	4	6
278	не мог	1	6
279	на почве	3	6
280	в разрезе	1	6
281	здесь с	1	6
282	и этим	3	6
283	как же	1	6
284	но ведь	4	6
285	на этом	8	6
286	внутренней речи	5	6
287	выражение в	4	6
288	для его	1	6
289	а с	2	6
290	человека как	2	6
291	но зато	1	6
292	все те	10	6
293	можно было	1	6
294	этот вопрос	4	6
295	в этой	7	6
296	я в	1	6
297	себя в	3	6
298	во время	6	6
299	и самое	2	6
300	и здесь	1	6
301	в другой	1	6
302	в плоскости	1	6
303	отношения к	2	6
304	может стать	4	6
