N	4gram	Voloshinov	formyVre
1	в то же время	6	18
2	и в то же	1	8
3	как мы уже сказали	1	6
4	мы имеем в виду	1	5
5	одно и то же	1	5
6	ни в чем не	4	3
7	но в то же	3	3
8	не может быть конечно	1	2
9	может быть конечно и	1	2
10	дело в том что	1	2
11	быть конечно и речи	1	2
12	не может быть и	4	2
13	вообще не может быть	1	2
14	на первый план выдвигается	1	2
15	же что и в	1	2
16	может быть и речи	3	2
17	во всех этих явлениях	1	2
18	в узком смысле слова	2	2
19	друг с другом и	1	2
20	как мы уже указывали	3	2
21	в том что в	1	1
22	узком смысле слова и	1	1
23	если бы он был	1	1
24	на которой мы остановимся	1	1
25	все то что является	1	1
26	не выходит за пределы	1	1
27	мы должны коснуться еще	1	1
28	в жизни и в	1	1
29	в зависимости от того	2	1
30	в то время когда	1	1
31	в высшей степени существенных	1	1
32	мы найдем и у	1	1
33	в стадии разложения и	1	1
34	одной и той же	3	1
35	в конечном счете всегда	1	1
36	чем не выходит за	1	1
37	говорит о том что	1	1
38	он конечно не может	1	1
39	приходит к выводу что	1	1
40	только то что может	1	1
41	жизни в ее целом	1	1
42	том что он не	1	1
43	все больше и больше	1	1
44	или во всяком случае	1	1
45	как мы уже знаем	1	1
46	в том что он	2	1
47	с точки зрения этого	1	1
48	частной жизни по преимуществу	1	1
49	но во всяком случае	3	1
50	о которой мы говорили	1	1
51	и пр и пр	2	1
52	мы уже указывали что	1	1
53	все новых и новых	1	1
54	в чем не выходит	1	1
55	до сих пор не	1	1
56	все снова и снова	2	1
