N	3gram	Propp_Isto	Poddanst
1	то же время	1	7
2	в то же	1	7
3	в том что	4	4
4	не только в	2	4
5	с точки зрения	1	3
6	с одной стороны	7	3
7	но и в	2	2
8	в ней не	1	2
9	в северной америке	3	2
10	в том числе	3	2
11	и не только	1	2
12	одной стороны и	1	2
13	и т д	36	1
14	друг с другом	2	1
15	он живет в	2	1
16	в этом не	1	1
17	вместе с тем	7	1
18	прежде всего мы	1	1
19	и тем самым	2	1
20	том числе и	2	1
21	само по себе	1	1
22	если бы мы	3	1
23	мы знаем что	8	1
24	не может быть	6	1
25	на пути к	1	1
26	мы видим в	2	1
27	ни на какие	1	1
28	в отличие от	1	1
29	и пр есть	1	1
30	по сравнению с	1	1
31	общения человека с	1	1
32	и то что	3	1
33	что в этом	1	1
34	есть как бы	1	1
35	во всяком случае	1	1
36	для того чтобы	3	1
37	сводится к следующему	1	1
38	и вслед за	1	1
39	живых и мертвых	1	1
40	и тем более	1	1
41	с другой стороны	10	1
42	именно на этой	1	1
43	мы не будем	3	1
44	формы в которых	1	1
45	не в том	2	1
46	мы должны в	1	1
47	так же как	10	1
48	только в виде	1	1
49	для тех кто	1	1
50	в частности в	1	1
51	то что происходит	1	1
