N	2gram	Nazirov_Vr	UchenyiS
1	и в	8	14
2	не только	9	10
3	и не	5	8
4	прежде всего	1	8
5	то что	7	7
6	в этом	8	7
7	не может	2	7
8	может быть	4	6
9	то же	5	5
10	все это	4	5
11	с другой	1	4
12	в этой	2	4
13	в россии	5	4
14	но и	7	4
15	в их	1	4
16	к сожалению	1	3
17	было бы	1	3
18	и то	2	3
19	по нашему	3	3
20	и т.д	1	3
21	это не	4	3
22	как и	6	3
23	вряд ли	1	3
24	для него	2	3
25	в своей	2	3
26	все же	6	3
27	в частности	1	3
28	в то	5	3
29	другой стороны	1	3
30	но в	6	3
31	же время	5	3
32	нашему мнению	1	3
33	таким образом	2	2
34	в самом	1	2
35	же не	2	2
36	его и	2	2
37	могут быть	1	2
38	это было	1	2
39	для всех	1	2
40	и с	6	2
41	до сих	1	2
42	их и	1	2
43	одним из	3	2
44	крайней мере	1	2
45	но не	1	2
46	тем что	3	2
47	в себе	2	2
48	в его	3	2
49	в конце	3	2
50	мы получаем	1	2
51	ничего не	1	2
52	всех этих	1	2
53	между тем	5	2
54	не есть	1	2
55	что он	4	2
56	конце концов	1	2
57	этом отношении	1	2
58	о чем	2	2
59	как раз	2	2
60	в том	3	2
61	том что	3	2
62	нас в	1	2
63	но это	2	2
64	этом смысле	1	2
65	а о	1	2
66	в итоге	1	2
67	в сторону	1	2
68	а между	1	2
69	с его	3	2
70	и у	3	2
71	на первый	2	2
72	сих пор	1	2
73	по крайней	1	2
74	не все	1	2
75	еще один	1	1
76	на большую	1	1
77	без труда	1	1
78	первый взгляд	1	1
79	в той	2	1
80	все в	1	1
81	что в	7	1
82	не было	5	1
83	вне его	1	1
84	и даже	6	1
85	содержания в	1	1
86	первый план	1	1
87	этого и	1	1
88	для начала	1	1
89	но он	3	1
90	в свое	1	1
91	такое понимание	1	1
92	этого не	1	1
93	что же	1	1
94	он уже	1	1
95	еще раз	1	1
96	как на	1	1
97	равно как	1	1
98	известном письме	1	1
99	и все	7	1
100	что этот	1	1
101	же как	2	1
102	как нам	1	1
103	в процессе	1	1
104	достоевского и	7	1
105	но для	1	1
106	один пример	1	1
107	свое место	1	1
108	этот процесс	1	1
109	он ставит	1	1
110	развитие в	1	1
111	того как	1	1
112	в таком	1	1
113	как литературные	1	1
114	до конца	1	1
115	в своем	3	1
116	говорить не	1	1
117	только как	1	1
118	что только	1	1
119	его на	2	1
120	только при	1	1
121	именно к	1	1
122	возвращается в	1	1
123	или по	1	1
124	так он	1	1
125	и явно	1	1
126	гораздо больше	1	1
127	их в	2	1
128	же в	2	1
129	в ней	4	1
130	из первых	1	1
131	а это	1	1
132	в этот	3	1
133	идет не	1	1
134	единства и	1	1
135	в период	2	1
136	на то	3	1
137	он и	1	1
138	это же	1	1
139	по мнению	2	1
140	к этому	3	1
141	так и	1	1
142	это то	1	1
143	о нем	6	1
144	ничуть не	1	1
145	из которых	1	1
146	это в	2	1
147	отнюдь не	2	1
148	о которой	2	1
149	в качестве	1	1
150	о котором	1	1
151	в нем	6	1
152	именно этот	1	1
153	он не	3	1
154	независимо от	1	1
155	материал и	1	1
156	все что	1	1
157	и что	8	1
158	в известном	2	1
159	художником и	1	1
160	что для	1	1
161	и это	2	1
162	он был	3	1
163	об этом	5	1
164	себя на	1	1
165	правда не	1	1
166	в виду	4	1
167	уже не	2	1
168	о том	4	1
169	по его	1	1
170	далеко не	3	1
171	тем более	2	1
172	того что	1	1
173	у него	5	1
174	в котором	6	1
175	доказывает что	1	1
176	бы в	1	1
177	той же	1	1
178	никогда не	2	1
179	человека и	1	1
