N	4gram	Tiupa_Vved	Formalny
1	в то же время	4	20
2	и не может быть	1	7
3	и в то же	1	6
4	с одной стороны и	3	5
5	один и тот же	1	3
6	в том числе и	1	3
7	во всяком случае в	1	3
8	но в то же	1	3
9	той мере в какой	2	2
10	в том смысле что	1	2
11	в той мере в	2	2
12	если бы оно было	1	2
13	одних и тех же	1	2
14	не в том что	2	2
15	в том или ином	1	2
16	и в этом случае	1	1
17	не что иное как	1	1
18	он не может быть	1	1
19	с той или иной	1	1
20	одно и то же	1	1
21	к одной и той	1	1
22	отнюдь не сводится к	1	1
23	в той же мере	1	1
24	отнюдь не в том	1	1
25	дело в том что	1	1
26	или иной идеологической сферой	1	1
27	с другой стороны в	1	1
28	же самое и в	1	1
29	одной и той же	1	1
30	состоит в том чтобы	1	1
31	то же самое и	1	1
32	дистанцию по отношению к	1	1
33	одного и того же	1	1
34	могло бы быть и	1	1
35	он может и должен	1	1
36	в том что без	1	1
37	той или иной идеологической	1	1
38	не могло бы возникнуть	1	1
