N	3gram	Medvedev_U	Morfolog
1	в этом случае	1	10
2	не может быть	4	9
3	с другой стороны	3	5
4	в том что	2	4
5	не могут быть	2	4
6	на то что	1	3
7	бы то ни	3	3
8	на первый взгляд	1	3
9	от вопроса о	1	2
10	более или менее	1	2
11	он может быть	1	2
12	в данном случае	1	2
13	мы имеем в	1	2
14	то ни было	3	2
15	не входит в	1	2
16	с одной стороны	1	2
17	в этом отношении	2	2
18	и независимо от	1	1
19	можно сказать что	1	1
20	как раз обратное	1	1
21	в то же	3	1
22	тех или иных	2	1
23	в противном случае	2	1
24	друг с другом	1	1
25	до сих пор	2	1
26	она все же	1	1
27	в этой области	3	1
28	этом случае он	1	1
29	в точном смысле	1	1
30	это было бы	1	1
31	между тем в	1	1
32	то что ему	1	1
33	то же время	3	1
34	является одним из	1	1
35	но это не	1	1
36	и в этой	2	1
