N	4gram	Medvedev_F	Problemy
1	в то же время	13	26
2	но в то же	3	11
3	и в то же	4	7
4	бы то ни было	1	6
5	то же время не	2	6
6	большей или меньшей степени	1	3
7	в большей или меньшей	1	3
8	и не входит в	1	2
9	но тем не менее	1	2
10	и во всяком случае	1	2
11	быть более или менее	1	2
12	в такой же степени	1	2
13	может быть более или	1	2
14	дело идет лишь о	1	2
15	с начала и до	2	2
16	и в этом отношении	1	2
17	начала и до конца	2	2
18	и т п все	1	2
19	тем что он есть	1	2
20	сводится к тому чтобы	1	2
21	в зависимости от различных	1	1
22	в связи с теми	1	1
23	на самом деле оно	1	1
24	то что было дано	1	1
25	и до сих пор	2	1
26	прежде и больше всего	1	1
27	войти в художественную структуру	1	1
28	какого бы то ни	1	1
29	на самом же деле	1	1
30	как раз и не	1	1
31	той же степени как	1	1
32	и до настоящего времени	2	1
33	и прежде всего в	1	1
34	во что бы то	3	1
35	с одной стороны и	4	1
36	как бы ни были	2	1
37	всего возникает вопрос о	1	1
38	в этом смысле можно	1	1
39	строгом смысле этого слова	1	1
40	не с точки зрения	1	1
41	не тем что он	1	1
42	была бы совершенно иной	1	1
43	ни на минуту не	1	1
44	в зависимости от того	1	1
45	все более и более	3	1
46	различны в зависимости от	1	1
47	кругозор в его целом	1	1
48	и не может быть	4	1
49	что на самом деле	1	1
50	как один из возможных	1	1
51	не может и не	1	1
52	не может быть и	2	1
53	может быть даже и	1	1
54	если бы оно было	2	1
55	в большинстве же случаев	1	1
56	что бы то ни	3	1
57	бы то ни стало	3	1
58	с точки зрения своей	1	1
59	то что он не	1	1
60	раз и входит в	1	1
61	тем не менее в	1	1
62	совершенно в той же	1	1
63	в той же степени	1	1
64	же степени как и	1	1
65	как если бы оно	2	1
66	что было дано в	1	1
67	тем фоном на котором	1	1
68	и до известной степени	1	1
69	иметь в виду что	1	1
70	на самом деле это	1	1
71	в том числе и	1	1
72	мы увидим дальше что	1	1
73	все новые и новые	1	1
74	другой стороны со стороны	1	1
75	не чем иным как	1	1
76	романа в его целом	1	1
77	в строгом смысле этого	1	1
78	мы имеем в виду	1	1
79	занимает очень важное место	1	1
80	как мы знаем в	1	1
81	новых точек зрения не	1	1
82	и т п в	2	1
83	за свой страх и	2	1
84	прежде всего возникает вопрос	1	1
85	свой страх и риск	2	1
86	и дело идет лишь	1	1
87	что он не есть	1	1
88	быть речь лишь о	1	1
89	в настоящее время начинает	1	1
90	с другой стороны со	1	1
91	всех без исключения элементов	1	1
92	как раз и входит	1	1
93	то же время и	2	1
94	может быть и речи	1	1
95	может быть речь лишь	1	1
96	не в том что	1	1
97	что же это за	1	1
98	является в высшей степени	1	1
99	в том или ином	1	1
100	ведь в противном случае	1	1
101	более или менее глубокой	1	1
102	с точки зрения ее	1	1
103	в этом отношении очень	2	1
