N	4gram	Voloshinov	Morfolog
1	в связи с этим	3	4
2	в собственном смысле слова	2	3
3	бы то ни было	11	2
4	не что иное как	1	2
5	ни к чему не	1	2
6	бы они ни были	1	1
7	с этой точки зрения	1	1
8	и ни к чему	1	1
9	независимо от того как	1	1
10	или во всяком случае	1	1
11	или же оно может	1	1
12	как бы они ни	1	1
13	в сущности вовсе не	1	1
14	в коем случае не	1	1
15	в том что он	3	1
16	то с другой стороны	1	1
17	в точном смысле слова	1	1
18	одно и то же	3	1
19	как же может быть	1	1
20	но как мы уже	1	1
21	с другой стороны оно	1	1
22	все более и более	2	1
23	в то же время	7	1
24	какого бы то ни	2	1
25	во всех этих случаях	1	1
26	один и тот же	3	1
27	до сих пор не	1	1
28	как мы увидим дальше	1	1
29	приводит к тому что	1	1
30	не может быть и	4	1
31	ни в коем случае	2	1
32	не может быть объяснено	1	1
