N	4gram	Losev_Dial	Myslijsy
1	в то же время	3	13
2	одной и той же	4	7
3	одно и то же	2	7
4	не в том что	4	7
5	в то время как	6	4
6	или по крайней мере	4	4
7	и в том что	1	4
8	в том смысле что	1	4
9	не что иное как	6	4
10	и в этом смысле	1	4
11	до тех пор пока	1	3
12	заключается в том что	1	3
13	возможно только тогда когда	1	3
14	по себе независимо от	1	3
15	и то и другое	1	3
16	с этой точки зрения	4	3
17	с одной стороны и	1	3
18	не говоря уже о	6	3
19	тем не менее в	1	3
20	говоря уже о том	2	2
21	уже о том что	2	2
22	внимание на то что	1	2
23	и т д не	3	2
24	одна и та же	3	2
25	сама по себе не	1	2
26	бы то ни было	1	2
27	того что не есть	2	1
28	с точки зрения истории	1	1
29	как мы уже сказали	1	1
30	и сам по себе	1	1
31	и т д в	2	1
32	есть не более как	1	1
33	что бы то ни	1	1
34	и с этой стороны	1	1
35	вовсе не в том	2	1
36	можно сказать что в	1	1
37	по самой своей природе	1	1
38	со своей точки зрения	1	1
39	то время как в	1	1
40	само по себе независимо	1	1
41	это будет значить что	4	1
42	только тогда когда уже	1	1
43	на самом деле есть	1	1
44	в таком случае эта	1	1
45	мира так что в	1	1
46	же как и в	1	1
47	во что бы то	1	1
48	дело вовсе не в	1	1
49	в том что все	1	1
50	в таком случае есть	1	1
51	сам по себе а	1	1
52	на наших глазах совершается	1	1
53	когда мы говорим что	1	1
54	бы то ни стало	1	1
55	в таком виде что	1	1
56	мы не в силах	1	1
57	есть то что мы	2	1
58	иметь в виду что	1	1
59	мы до сих пор	1	1
60	и т д и	8	1
61	можно только сказать что	1	1
62	никто не имеет права	1	1
63	и с этой точки	2	1
64	как показывает самое слово	1	1
65	от того будет ли	1	1
66	так же как и	1	1
67	д и т д	7	1
68	есть не что иное	3	1
