N	2gram	Tiupa_Narr	Analitik
1	не только	50	71
2	тогда как	23	67
3	и в	22	66
4	в качестве	27	61
5	литературного произведения	1	58
6	но и	39	57
7	в том	20	52
8	может быть	24	52
9	в этом	23	51
10	в частности	23	51
11	как и	15	50
12	и не	34	48
13	а не	27	42
14	в тексте	17	42
15	при этом	31	40
16	том что	15	40
17	то есть	15	35
18	так и	12	35
19	в мире	8	31
20	представляет собой	21	30
21	своего рода	17	30
22	состоит в	19	30
23	коммуникативного события	9	30
24	отнюдь не	6	29
25	как бы	11	29
26	не может	16	29
27	а в	19	28
28	в его	12	27
29	и его	12	27
30	не в	12	26
31	но не	7	26
32	текста в	4	26
33	всего лишь	8	24
34	в себе	14	24
35	не случайно	2	24
36	художественного целого	2	24
37	иначе говоря	14	23
38	что в	6	22
39	и даже	4	22
40	к тому	13	22
41	в этой	8	22
42	лишь в	3	21
43	о том	5	20
44	и т.п	11	20
45	я в	7	20
46	в самом	8	19
47	то же	12	19
48	в своей	8	19
49	по отношению	5	19
50	с его	6	19
51	но в	10	19
52	в данном	17	18
53	в то	9	18
54	отношению к	5	18
55	тем самым	9	17
56	с другой	6	17
57	только в	23	17
58	со стороны	14	17
59	такого рода	17	17
60	или иной	6	17
61	в целом	5	17
62	что и	3	16
63	могут быть	1	16
64	то что	14	16
65	в пределах	2	16
66	и на	5	15
67	между тем	5	15
68	уже не	11	15
69	прежде всего	7	15
70	в сущности	2	15
71	в их	1	15
72	в рамках	6	15
73	в принципе	6	14
74	не менее	6	14
75	того же	2	14
76	себя в	4	14
77	в себя	3	14
78	той или	7	14
79	мы имеем	6	14
80	же время	7	14
81	в отличие	6	14
82	данном случае	12	14
83	столь же	6	14
84	отличие от	6	14
85	далеко не	6	14
86	по себе	4	13
87	точки зрения	8	13
88	как правило	8	13
89	внутреннего зрения	2	13
90	тому же	9	13
91	в случае	4	13
92	он не	8	13
93	ничего не	8	13
94	как раз	9	13
95	для него	8	13
96	а также	11	13
97	в начале	4	13
98	на уровне	1	13
99	и к	7	12
100	и сам	4	12
101	никогда не	8	12
102	внутренней речи	3	12
103	как это	7	12
104	в первой	3	12
105	сводится к	10	12
106	как в	9	12
107	еще не	6	12
108	в эпизоде	4	12
109	произведения как	1	12
110	в конечном	6	12
111	в той	4	11
112	даже в	1	11
113	конечном счете	4	11
114	имеем дело	4	11
115	повестях белкина	1	11
116	по своей	3	11
117	художественного смысла	1	11
118	в свою	4	11
119	той же	2	11
120	это не	6	11
121	можно сказать	11	11
122	в повестях	1	11
123	и как	4	11
124	во второй	2	11
125	не с	1	11
126	не следует	3	11
127	нуждается в	1	11
128	именно в	5	10
129	все же	10	10
130	едва ли	5	10
131	с одной	5	10
132	в произведении	2	10
133	в конце	4	10
134	было бы	2	10
135	однако в	4	10
136	подобно тому	4	10
