N	3gram	Medvedev_S	Problemy
1	то же время	1	26
2	в то же	1	26
3	по отношению к	2	18
4	в конце концов	2	11
5	во всяком случае	1	9
6	в том что	2	8
7	сама по себе	1	7
8	и в то	1	7
9	и в этом	1	7
10	бы он ни	1	5
11	по крайней мере	1	5
12	и наконец в	1	4
13	а между тем	1	4
14	в настоящее время	1	3
15	выходит за пределы	1	3
16	это вовсе не	1	3
17	в том и	1	3
18	в каждом своем	1	2
19	что все это	1	2
20	друг от друга	1	2
21	но только в	1	2
22	то же самое	1	2
23	только то что	1	2
24	то что в	1	2
25	конечно не в	1	2
26	мы переходим к	1	2
27	в лучшем случае	1	2
28	они ни были	1	2
29	может развиваться в	1	1
30	благодаря тому что	1	1
31	том что это	1	1
32	о том как	1	1
33	в сущности есть	1	1
34	из тех кто	1	1
35	часть нашей работы	1	1
36	не в том	2	1
37	дело конечно не	1	1
38	как бы он	1	1
39	а в том	1	1
40	историка литературы и	1	1
41	в связи с	1	1
42	не может не	1	1
43	на этот основной	1	1
44	поставить и разрешить	1	1
45	этот основной вопрос	1	1
46	прежде всего не	1	1
47	ни на что	1	1
48	не было бы	1	1
49	в противном случае	1	1
50	в этом не	1	1
51	все эти вопросы	1	1
52	главным образом в	1	1
53	именно в том	1	1
54	бы они ни	1	1
55	с одной стороны	1	1
56	не должна быть	1	1
57	это и есть	1	1
