N	3gram	Nazirov_Tv	Stilisti
1	в то же	19	9
2	то же время	18	7
3	того или иного	1	5
4	мы никогда не	1	5
5	в свою очередь	2	4
6	той или иной	1	4
7	то или иное	1	4
8	заключает в себе	1	4
9	ту или иную	1	4
10	с самого начала	3	4
11	то же самое	1	4
12	на самом деле	2	3
13	в конце концов	1	3
14	не только в	2	3
15	что у нас	1	2
16	в самом деле	2	2
17	чуть ли не	1	2
18	вместе с тем	1	2
19	же самое время	1	2
20	не может быть	2	2
21	по отношению к	3	2
22	и ту же	1	2
23	о том что	6	2
24	в действительной жизни	1	2
25	можно сказать что	2	2
26	не так как	2	2
27	и как бы	1	2
28	и вследствие этого	1	2
29	но при этом	1	2
30	не что иное	1	2
31	но в то	5	2
32	это само собой	1	2
33	та же самая	2	2
34	только потому что	1	2
35	и в то	3	2
36	у нас не	1	2
37	равно как и	1	2
38	на первый взгляд	1	2
39	в связи с	2	2
40	к тому что	1	2
41	что иное как	1	2
42	одну и ту	1	2
43	в глаза и	1	1
44	так и от	1	1
45	в том что	8	1
46	в дальнейшем мы	1	1
47	в одном из	2	1
48	а в этом	1	1
49	теперь перед нами	1	1
50	бытие в котором	1	1
51	и в романе	1	1
52	это как бы	3	1
53	приходит к мысли	1	1
54	в конечном счете	4	1
55	в прямом и	1	1
56	являются как бы	1	1
57	в беседе с	1	1
58	все же и	1	1
59	решающую роль в	1	1
60	черт знает что	1	1
61	на наш взгляд	1	1
62	одного из героев	1	1
63	по крайней мере	4	1
64	что в одном	1	1
65	в русской литературе	2	1
66	в другом месте	1	1
67	это связано с	1	1
68	но ведь в	1	1
69	хотя бы и	1	1
70	как и в	2	1
71	было бы говорить	1	1
72	на ту или	1	1
73	перед тем как	1	1
74	тем не менее	2	1
75	можно говорить лишь	1	1
76	на протяжении почти	1	1
77	прямом и в	1	1
78	отнюдь не был	1	1
79	особое место в	2	1
80	не должен быть	1	1
81	на этот вопрос	2	1
82	и та же	2	1
83	одного и того	1	1
84	тем как он	1	1
85	все происходящее в	1	1
86	не вошел в	1	1
87	тесно связанные с	1	1
88	до сих пор	1	1
89	именно потому что	1	1
90	и в прямом	1	1
91	это еще не	1	1
92	то все же	1	1
93	бросается в глаза	1	1
94	является как бы	1	1
95	я считаю долгом	1	1
96	мы имеем в	1	1
97	по себе не	1	1
98	и не мог	1	1
99	человека таким образом	2	1
100	и того же	1	1
101	не может не	1	1
102	так как и	1	1
103	одна и та	1	1
104	и все же	3	1
105	при этом она	1	1
106	в нем и	1	1
107	с другой стороны	2	1
108	не задаваясь вопросом	1	1
109	это прежде всего	3	1
110	по самой своей	1	1
111	в виду что	1	1
112	нет и не	1	1
113	можно было бы	1	1
114	и не может	2	1
115	и в этом	1	1
116	прежде всего на	1	1
