N	2gram	Voloshinov	ViktorSh
1	в конце	1	2
2	и в	16	2
3	в том	3	2
4	том что	3	2
5	в другом	1	1
6	все время	1	1
7	но это	2	1
8	столь же	1	1
9	ведь это	1	1
10	главным образом	1	1
11	в самом	2	1
12	социальных отношений	1	1
13	и т.д	1	1
14	для них	1	1
15	то я	1	1
16	все то	2	1
17	самом деле	6	1
18	говоря о	1	1
19	в частности	2	1
20	и то	1	1
21	крайней мере	3	1
22	и мало	1	1
23	этом и	1	1
24	и его	8	1
25	сводится к	2	1
26	даже не	3	1
27	к чему	1	1
28	на одном	1	1
29	хотя бы	4	1
30	по поводу	1	1
31	по крайней	3	1
32	к этому	2	1
33	только в	4	1
34	же с	1	1
35	и почти	1	1
36	и только	9	1
37	то же	2	1
38	не будем	1	1
39	и не	4	1
40	я не	1	1
41	дело в	1	1
42	сводится в	1	1
43	в этом	9	1
44	так как	4	1
45	все это	4	1
