N	2gram	Tiupa_Narr	Morfolog
1	может быть	25	61
2	и пр	1	45
3	в сказке	1	27
4	таким образом	1	26
5	действующих лиц	1	22
6	могут быть	3	21
7	мы имеем	2	19
8	не может	10	19
9	в этом	17	18
10	представляет собой	13	17
11	и в	19	17
12	представляют собой	2	16
13	и не	20	16
14	перед нами	4	14
15	прежде всего	4	14
16	по существу	2	13
17	связи с	4	12
18	и др	2	12
19	а не	12	11
20	что в	3	10
21	то же	4	10
22	мы увидим	1	10
23	не всегда	2	10
24	в том	18	10
25	так и	9	10
26	что и	1	10
27	в связи	2	10
28	то что	11	10
29	все же	7	9
30	с другой	8	9
31	но и	23	9
32	не только	32	8
33	в результате	2	8
34	мы не	1	8
35	в качестве	21	8
36	но не	6	8
37	в тех	1	8
38	а в	11	8
39	как мы	3	8
40	во втором	4	7
41	один из	3	7
42	и здесь	1	7
43	если в	3	7
44	не могут	1	7
45	не менее	3	7
46	том что	14	7
47	потому что	1	7
48	по отношению	7	7
49	наряду с	2	7
50	точки зрения	10	7
51	как это	6	7
52	тем не	3	7
53	или же	1	7
54	а также	7	7
55	отношению к	6	7
56	подобно тому	2	6
57	о том	6	6
58	как бы	4	6
59	не все	5	6
60	но это	1	6
61	это не	2	6
62	с точки	2	6
63	или в	2	6
64	и как	5	6
65	вовсе не	1	6
66	во всех	1	6
67	очень часто	1	6
68	может считаться	1	6
69	также и	1	6
70	в форме	5	6
71	они и	2	5
72	героя в	8	5
73	этот момент	1	5
74	из которых	4	5
75	другой стороны	4	5
76	в первом	3	5
77	вслед за	4	5
78	что он	6	5
79	как в	7	5
80	со стороны	9	5
81	это явление	1	5
82	хотя бы	4	5
83	было бы	4	5
84	к тому	7	5
85	ничего не	2	5
86	что они	3	5
87	не будем	1	5
88	хотя и	3	5
89	все эти	2	5
90	одна из	3	5
91	между собой	2	5
92	в поле	1	5
93	на его	1	5
94	об этом	1	5
95	мы можем	1	5
96	тому как	2	5
97	между тем	3	5
98	он не	3	5
99	если же	1	5
100	далеко не	5	5
101	в ходе	1	5
102	в целом	1	5
103	и ее	2	5
104	и к	1	4
105	на этом	1	4
106	как и	7	4
107	самом деле	2	4
108	но все	4	4
109	ни одна	1	4
110	тем что	3	4
111	никто не	1	4
112	уже не	5	4
113	еще не	7	4
114	не является	8	4
115	а если	2	4
116	входит в	1	4
117	говорить о	2	4
118	так же	2	4
119	сказать что	4	4
120	на него	3	4
121	и для	2	4
122	из них	3	4
123	но в	6	4
124	несмотря на	2	4
125	на самом	1	4
126	его в	2	4
127	встречается в	2	4
128	в то	3	4
129	мы уже	1	4
130	можно было	2	4
131	от того	1	4
132	о его	1	4
133	оно может	2	4
134	независимо от	2	4
135	утверждать что	2	3
136	та же	2	3
137	с этой	1	3
138	и при	1	3
139	что это	3	3
140	в сущности	3	3
141	одному из	1	3
142	ни в	3	3
143	этого момента	1	3
144	как таковых	1	3
145	только в	4	3
146	здесь мы	1	3
147	из двух	3	3
148	также может	1	3
149	если это	1	3
150	можно назвать	1	3
151	есть нечто	1	3
152	в собственном	2	3
153	может существовать	1	3
154	на первый	2	3
155	первом случае	2	3
156	некоторые из	1	3
157	не существует	3	3
