N	3gram	Bakhtin_fo	slovoVRo
1	и т п	18	72
2	не может быть	4	19
3	то же время	13	18
4	в то же	10	18
5	той или иной	3	15
6	с точки зрения	9	15
7	в отличие от	3	14
8	в той или	2	13
9	или иной степени	1	13
10	в большинстве случаев	2	11
11	с одной стороны	3	11
12	во всех его	1	10
13	и т д	3	10
14	в этом случае	1	9
15	в зависимости от	1	8
16	т п в	1	8
17	во всяком случае	1	8
18	зрения на мир	1	7
19	в значительной степени	1	7
20	и в особенности	5	7
21	но в то	2	7
22	так и в	1	6
23	как мы сказали	1	6
24	и в то	7	6
25	не может не	1	6
26	в нем в	2	6
27	но все же	3	6
28	с другой стороны	1	6
29	в романе в	1	6
30	в том что	4	5
31	по отношению к	3	5
32	между словом и	1	5
33	как мы уже	11	5
34	на античной почве	6	5
35	не только в	6	5
36	а вовсе не	1	5
37	в этом отношении	5	5
38	может быть и	4	5
39	одной стороны и	2	4
40	точка зрения на	1	4
41	для того чтобы	11	4
42	на первый план	2	4
43	можно прямо сказать	2	4
44	друг с другом	5	4
45	до сих пор	4	4
46	для романного жанра	2	4
47	а также и	3	4
48	в свою очередь	1	4
49	то есть как	1	4
50	можно сказать что	1	4
51	в точном смысле	3	4
52	в романе на	1	4
53	у него нет	1	4
54	не могут быть	1	4
55	оно не может	1	4
56	в новое время	1	4
57	и в сущности	3	4
58	себя в них	1	4
59	мы уже сказали	4	4
60	и вне его	1	3
61	прямо сказать что	2	3
62	до известной степени	1	3
63	и то же	4	3
64	может быть только	3	3
65	стихотворный рыцарский роман	1	3
66	быть тем чем	1	3
67	между этими двумя	3	3
68	не выходит за	1	3
69	человека и его	8	3
70	в данном случае	2	3
71	как если бы	2	3
72	в связи с	12	3
73	сама по себе	1	3
74	к тому что	1	3
75	в стороне от	1	3
76	почти вовсе не	2	3
77	в основе ее	1	3
78	т п все	1	3
79	там где они	1	3
80	в риторических жанрах	1	3
81	как и в	3	3
82	в основе его	1	3
83	со всех сторон	2	3
84	и связанных с	1	3
85	включает в себя	1	3
86	одно и то	4	3
