N	2gram	Bakhtin_Pr	VrazhdaK
1	в году	2	18
2	у тургенева	1	11
3	в бесах	3	10
4	не только	14	9
5	достоевского с	4	9
6	в этом	24	8
7	и в	83	8
8	и что	3	8
9	достоевский в	3	8
10	что в	5	7
11	достоевского в	12	7
12	достоевского и	8	7
13	и все	14	7
14	но и	16	7
15	то что	14	7
16	к достоевскому	4	6
17	о нем	2	6
18	как и	13	6
19	и даже	5	6
20	и с	10	6
21	в романе	9	6
22	все же	3	6
23	в котором	8	6
24	в начале	2	6
25	в нем	21	6
26	но в	12	6
27	то же	10	5
28	с тургеневым	1	5
29	у него	5	5
30	в россии	1	5
31	бедных людей	1	5
32	и не	41	5
33	между тем	2	5
34	об этом	3	5
35	в письме	1	5
36	не было	5	5
37	же время	8	5
38	в то	8	5
39	тургенев в	1	4
40	это не	10	4
41	при этом	6	4
42	несмотря на	3	4
43	с ним	3	4
44	все это	11	4
45	в виду	3	4
46	в своих	4	4
47	что он	6	4
48	ставрогина в	1	4
49	достоевского не	3	4
50	письме к	1	4
51	уже в	3	4
52	у достоевского	30	4
53	о том	3	4
54	подпольного человека	1	4
55	может быть	23	4
56	в ней	8	4
57	и детей	1	4
58	целый ряд	1	4
59	в истории	4	4
60	как бы	27	4
61	так же	4	4
62	во многом	3	4
63	что достоевский	2	4
64	года достоевский	1	3
65	в его	15	3
66	в том	22	3
67	его в	4	3
68	раз в	2	3
69	связи с	1	3
70	но он	3	3
71	достоевский не	1	3
72	в связи	2	3
73	я не	6	3
74	и как	1	3
75	далеко не	4	3
76	тем что	2	3
77	в те	1	3
78	в чем	1	3
79	и у	8	3
80	о себе	2	3
81	человека в	6	3
82	он был	1	3
83	том что	9	3
84	достоевского на	2	3
85	он не	5	3
86	и уже	2	3
87	я хотел	1	3
88	в конце	5	3
89	к творчеству	2	3
90	и о	3	3
91	наряду с	6	3
92	что есть	1	3
93	одним из	6	3
94	из подполья	6	3
95	в своем	2	3
96	петр верховенский	1	3
97	он использовал	1	3
98	на то	2	3
99	с его	4	3
100	и его	13	3
101	к этому	5	3
102	и во	6	3
103	достоевский был	5	2
104	в той	2	2
105	в лицо	1	2
106	таким образом	9	2
107	начиная с	4	2
108	записки из	2	2
109	и то	2	2
110	о влиянии	2	2
111	и он	5	2
112	в момент	1	2
113	время и	3	2
114	он тоже	1	2
115	его с	2	2
116	к себе	8	2
117	и далее	1	2
118	мог знать	1	2
119	с точки	13	2
120	для него	1	2
121	этот момент	1	2
122	о чем	2	2
123	как раз	6	2
124	по мнению	1	2
125	мне и	1	2
126	нашего времени	1	2
127	о которой	1	2
128	и достоевский	1	2
129	же не	2	2
130	роман достоевского	2	2
131	в повести	3	2
132	в них	4	2
133	и наказания	3	2
134	а также	4	2
135	его на	1	2
136	в мире	8	2
137	петра верховенского	1	2
138	их в	3	2
139	же как	1	2
140	писателей в	2	2
141	в своей	5	2
142	рядом с	2	2
143	вместе с	5	2
144	так в	1	2
145	не менее	4	2
146	и это	3	2
147	в эту	3	2
148	великого грешника	1	2
149	и стал	2	2
150	бесах он	1	2
151	еще не	10	2
152	он пишет	1	2
153	но как	2	2
154	а с	1	2
155	за роман	1	2
156	друга при	1	2
157	это в	1	2
158	в свою	1	2
159	на основе	4	2
160	и т.п	42	2
161	о достоевском	1	2
162	и образы	1	2
163	очень хорошо	3	2
164	в письмах	1	2
165	в этой	3	2
166	романе бесы	1	2
167	его личность	1	2
168	человека с	3	2
169	а в	4	2
170	на это	1	2
171	и а	1	2
172	к ним	5	2
173	ставрогина с	1	2
174	отношение к	14	2
175	в одну	1	2
176	этот роман	1	2
177	уже не	5	2
178	из них	7	2
179	этот человек	1	2
180	в себе	10	2
181	что я	2	2
182	с нею	1	2
183	в глазах	1	2
184	не может	18	2
185	место в	3	2
186	столь же	1	2
187	точки зрения	17	2
188	этот рассказ	2	2
189	тем более	2	2
190	одна из	9	2
191	в период	1	2
192	в роман	2	2
193	он сам	5	2
194	довольно много	1	2
195	но это	7	2
196	во время	1	2
197	в него	4	2
198	и ее	8	2
199	никогда не	10	2
200	могли быть	2	2
201	души и	1	1
202	в особенности	2	1
203	все в	3	1
204	говорит достоевский	1	1
205	своего рода	7	1
206	в самом	7	1
207	во всем	5	1
208	в могиле	2	1
209	то в	1	1
210	этого и	1	1
211	связан с	2	1
212	в преступлении	4	1
213	так и	9	1
214	близок к	2	1
215	преступления и	3	1
216	что они	2	1
217	этот материал	1	1
218	которую они	2	1
219	в свое	4	1
220	в литературе	8	1
221	все что	1	1
222	которой обычно	1	1
223	для всех	2	1
224	до сих	8	1
225	мире а	1	1
226	в душе	1	1
227	один из	7	1
228	письма достоевского	1	1
229	еще раз	6	1
230	важно как	1	1
231	ему в	1	1
232	этим можно	1	1
233	из которых	2	1
234	о помощи	1	1
235	по всем	1	1
236	сюжет в	1	1
237	не последнее	1	1
238	они не	5	1
239	был очень	1	1
240	с героем	1	1
241	удалении от	1	1
242	ни с	1	1
243	достоевский с	1	1
244	если в	2	1
245	записках из	1	1
246	развитие в	2	1
247	рассказ о	2	1
248	в гостинице	1	1
249	того как	4	1
250	к этой	3	1
251	в основном	1	1
252	знать и	1	1
253	с любовью	1	1
254	героев достоевского	5	1
255	героя в	2	1
256	что уже	2	1
257	не будем	4	1
258	он как	2	1
259	с очень	1	1
260	или по	3	1
261	еще более	6	1
262	он называл	1	1
263	из всех	1	1
264	что это	2	1
265	хотя и	10	1
266	и романа	2	1
267	а это	2	1
268	романа и	4	1
269	одному из	2	1
270	и был	1	1
271	воспоминания о	1	1
272	он и	2	1
273	романа в	2	1
274	и из	3	1
275	в ее	3	1
276	того что	1	1
277	говорит о	2	1
278	знаю что	1	1
279	романе достоевского	2	1
280	чем у	1	1
281	от этой	1	1
282	в качестве	1	1
283	достоевский при	1	1
284	него в	1	1
285	не являются	1	1
286	всех в	1	1
287	и записки	1	1
288	и наказании	4	1
289	прежде всего	20	1
290	сходятся в	1	1
291	далее в	1	1
292	вошел в	1	1
293	ее и	1	1
294	роман в	1	1
295	это слово	1	1
296	быть весьма	1	1
297	другой стороны	3	1
298	их всех	1	1
299	нет ничего	3	1
300	себе не	1	1
301	был знаком	3	1
302	произведений достоевского	8	1
303	в этих	8	1
304	но на	2	1
305	в их	7	1
306	все равно	6	1
307	мы находим	8	1
308	тому же	3	1
309	далее я	1	1
310	за что	1	1
311	но с	2	1
312	и самые	2	1
313	первая часть	1	1
314	сервантеса достоевский	1	1
315	ко всем	2	1
316	а между	3	1
317	достоевского а	1	1
318	достоевский очень	4	1
319	он уже	1	1
320	что ни	1	1
321	в духе	10	1
322	и страшно	1	1
323	конечно в	2	1
324	а за	2	1
325	а о	1	1
326	самим собой	1	1
327	этого не	1	1
328	и сам	1	1
329	в одном	4	1
330	их и	1	1
331	равно как	1	1
332	что за	1	1
333	полно и	1	1
334	в другую	1	1
335	на нее	1	1
336	и начинается	1	1
337	его произведений	3	1
338	еще в	1	1
339	но не	9	1
340	верховенского с	1	1
341	но вот	1	1
342	как материалу	2	1
343	герои романа	1	1
344	но для	2	1
345	легенда о	1	1
346	именно в	3	1
347	он ставит	1	1
348	уже на	4	1
349	жизни и	13	1
350	представление о	3	1
351	действительно были	1	1
352	он у	1	1
353	в таком	3	1
354	героев и	1	1
355	в процессе	4	1
356	я очень	1	1
357	в литературу	5	1
358	думаю не	1	1
359	в жизни	14	1
360	уже давно	1	1
361	человек и	2	1
362	гоголя и	1	1
363	преступлении и	4	1
364	литературе и	1	1
365	но ведь	3	1
366	этого романа	3	1
367	достоевский также	1	1
368	с различными	2	1
369	фигур романа	1	1
370	правда в	5	1
371	этого типа	1	1
372	особенно резко	1	1
373	перед началом	1	1
374	в предисловии	1	1
375	творчеству достоевского	3	1
376	в соответствии	3	1
377	человек в	2	1
378	вряд ли	2	1
379	себя как	2	1
380	не есть	1	1
381	а их	1	1
382	это время	1	1
383	нам уже	3	1
384	считаем что	1	1
385	одном из	1	1
386	молодого человека	1	1
387	и перед	2	1
388	как в	10	1
389	и тонко	1	1
390	влияния на	1	1
391	следовательно и	2	1
392	роль в	1	1
393	правда не	1	1
394	ли не	1	1
395	страхову в	1	1
396	по своему	6	1
397	в авторском	1	1
398	как нам	1	1
399	он ее	1	1
400	по преимуществу	1	1
401	никто не	1	1
402	что им	1	1
403	но у	1	1
404	отличается от	2	1
405	да и	3	1
406	этом романе	2	1
407	его жизни	2	1
408	по его	1	1
409	широкое распространение	1	1
410	достоевский так	2	1
411	который не	2	1
412	чувствовал себя	1	1
413	в свете	1	1
414	о котором	1	1
