N	4gram	Trubetskoy	slovoVRo
1	в то же время	10	18
2	но в то же	1	7
3	в каждый данный момент	1	4
4	во всех областях жизни	1	3
5	и в этом случае	1	2
6	в том и в	2	2
7	том и в другом	2	2
8	и в том и	2	2
9	и не может быть	1	2
10	то же время в	1	2
11	и в другом случае	2	2
12	о которых мы говорили	1	2
13	или в лучшем случае	2	2
14	и прежде всего в	1	1
15	в том случае если	3	1
16	во всяком случае не	1	1
17	дело в том что	1	1
18	а в том что	1	1
19	для того чтобы их	1	1
20	сама по себе еще	1	1
21	по самому своему существу	1	1
22	только с точки зрения	1	1
23	в основе его лежит	1	1
24	в том числе и	1	1
25	и более или менее	1	1
26	бы то ни было	1	1
27	и с точки зрения	1	1
28	одну и ту же	1	1
29	друг с другом в	1	1
30	друг с другом и	2	1
31	во всех этих случаях	1	1
32	бы друг с другом	1	1
