N	3gram	Savitsky_E	Vladivir
1	в том что	6	29
2	что же касается	1	14
3	в то время	1	13
4	дело в том	1	13
5	во всяком случае	3	12
6	в связи с	1	12
7	более или менее	1	11
8	к тому же	1	11
9	не может быть	2	10
10	в то же	15	10
11	с точки зрения	16	10
12	в этом смысле	3	9
13	на этот раз	1	9
14	то же время	14	9
15	а также и	1	8
16	на то что	2	8
17	это значит что	1	7
18	как это мы	1	6
19	само по себе	4	6
20	в данном случае	2	6
21	в отличие от	1	6
22	с другой стороны	2	6
23	и в этом	4	6
24	как мы видели	2	6
25	и в то	8	5
26	бы то ни	4	5
27	то что в	2	5
28	не говоря уже	2	5
29	не только в	4	5
30	то время как	1	5
31	можно сказать что	3	4
32	говоря уже о	1	4
33	в том же	1	4
34	для того чтобы	5	4
35	в этом отношении	3	4
36	сказать что в	2	4
37	что в этом	1	4
38	и т д	1	4
39	заключается в том	2	4
40	можно было бы	3	4
41	с одной стороны	8	4
42	также и в	1	4
43	в последние годы	3	3
44	а не к	1	3
45	хотя бы и	3	3
46	в том числе	1	3
47	в том случае	1	3
48	и в отношении	1	3
49	в последнее время	1	3
50	мы хотели бы	1	3
51	к тому что	1	3
52	во второй половине	2	3
53	в свою очередь	2	3
54	только в том	2	3
55	хотя и не	1	3
56	и в частности	2	3
57	мы бы сказали	1	3
58	и притом в	2	3
59	между прочим и	2	3
60	мы находим у	1	3
61	нам кажется что	2	3
62	так же как	5	2
63	а также о	1	2
64	одной стороны и	6	2
65	в течение этого	1	2
66	и тот же	1	2
67	и не в	1	2
68	для нас в	1	2
69	то что с	1	2
70	в этот период	1	2
71	в себе не	1	2
72	так и в	2	2
73	и прежде всего	3	2
74	то ни было	4	2
75	не может не	1	2
76	указать на то	1	2
77	один и тот	1	2
78	связи с этим	1	2
79	независимо от того	1	2
80	только в виде	1	2
81	но в то	2	2
82	и в своем	1	2
83	оно не может	1	2
84	с тем что	1	2
85	том случае если	1	2
86	может быть и	1	2
87	как и всякая	1	1
88	ни на минуту	1	1
89	в себе в	1	1
90	почти никогда не	1	1
91	в известной степени	3	1
92	в своем противопоставлении	1	1
93	но и то	1	1
94	он не дает	1	1
95	как и его	1	1
96	развития так как	1	1
97	о которых мы	1	1
98	что же при	1	1
99	есть не только	2	1
100	быть речи о	1	1
101	говоря уже об	1	1
102	нас между прочим	1	1
103	как и другие	1	1
104	этого следует что	1	1
105	согласно сказанному выше	2	1
106	при помощи которого	1	1
107	говорить не о	1	1
108	кроме того что	1	1
109	что в смысле	1	1
110	о том насколько	1	1
111	а также в	1	1
112	того что в	2	1
113	то как нам	1	1
114	той или иной	4	1
115	можно думать что	3	1
116	последнее время в	1	1
117	отметить что и	1	1
118	и тем самым	1	1
119	во многих случаях	1	1
120	не только те	1	1
121	по себе не	2	1
122	до настоящего времени	1	1
123	из всего этого	1	1
124	не входя в	1	1
125	в переводе на	1	1
126	а именно в	1	1
127	в последнем случае	1	1
128	в известном смысле	3	1
129	в каком же	1	1
130	как не может	1	1
131	поскольку она не	1	1
132	только тогда когда	1	1
133	а также от	1	1
134	во многих отношениях	1	1
135	если этот факт	1	1
136	нельзя сказать чтобы	1	1
137	в самом процессе	1	1
138	чуть ли не	1	1
139	то его можно	1	1
140	наше внимание на	1	1
141	для нас значение	1	1
142	в значительной мере	1	1
143	насколько можно судить	1	1
144	и только в	2	1
145	можно утверждать что	1	1
146	но и в	1	1
147	в том смысле	1	1
148	что начиная с	1	1
149	во всем его	1	1
150	так и с	1	1
151	с этой точки	5	1
152	основание в том	1	1
153	в каком они	1	1
154	в каком смысле	1	1
155	закрывать глаза на	1	1
156	приняли на себя	1	1
157	даже вовсе не	1	1
158	может быть речи	1	1
159	и не было	1	1
160	но как бы	1	1
161	он мог бы	1	1
162	того что мы	1	1
163	одна другую и	1	1
164	говорить о том	1	1
165	только и можно	1	1
166	принимая во внимание	1	1
167	и для всех	1	1
168	тогда как и	1	1
169	и всего мира	1	1
170	на этот вопрос	1	1
171	то и другое	1	1
172	хотя бы с	1	1
173	что в основных	1	1
174	которые можно было	1	1
175	для нас между	1	1
176	в противном случае	1	1
177	смысле этого слова	1	1
178	как и теперь	1	1
179	что в этот	1	1
180	не будет ли	1	1
181	или вовсе не	1	1
182	и то и	1	1
183	же как и	3	1
184	выходит за пределы	1	1
185	этой точки зрения	5	1
186	и не только	1	1
187	не имеет в	1	1
188	но и для	1	1
189	мы не можем	1	1
