N	3gram	Losev_Vesc	Komedia
1	в том что	9	29
2	в то же	5	16
3	то же время	4	16
4	до сих пор	1	16
5	в самом деле	7	13
6	о том что	4	13
7	для того чтобы	2	11
8	в то время	4	11
9	в свою очередь	5	10
10	вместе с тем	3	9
11	с одной стороны	3	9
12	то время как	4	9
13	речь идет о	1	8
14	с другой стороны	3	8
15	и в самом	1	8
16	так или иначе	5	7
17	бы то ни	12	7
18	в конце концов	2	7
19	то ни было	12	7
20	во всяком случае	2	7
21	в связи с	1	6
22	с точки зрения	6	6
23	что он не	1	5
24	о том как	4	5
25	то же самое	1	5
26	и т д	36	5
27	в этом отношении	2	5
28	тем не менее	11	5
29	том что он	2	5
30	и тот же	1	4
31	в самом начале	1	4
32	что у него	1	4
33	именно потому что	1	4
34	т е в	7	4
35	к тому что	2	4
36	но все же	2	4
37	при всем том	1	4
38	не в состоянии	1	4
39	по сравнению с	7	4
40	независимо от того	1	4
41	можно было бы	3	4
42	что и в	1	4
43	в той же	1	3
44	то что он	2	3
45	более или менее	4	3
46	друг с другом	2	3
47	равно как и	4	3
48	на то что	7	3
49	но и в	1	3
50	в чем же	5	3
51	один и тот	1	3
52	в этой связи	1	3
53	по меньшей мере	1	3
54	в новое время	1	3
55	то обстоятельство что	1	3
56	одной стороны и	1	2
57	как будто бы	1	2
58	не иначе как	1	2
59	и даже не	3	2
60	к одному и	1	2
61	в этом смысле	2	2
62	то что не	2	2
63	у нас в	2	2
64	с этой точки	3	2
65	ни у кого	1	2
66	он и не	1	2
67	что к нему	1	2
68	как раз эта	1	2
69	в первом случае	2	2
70	в отношении к	2	2
71	должен быть не	1	2
72	в зависимости от	1	2
73	и таким образом	2	2
74	и в то	3	2
75	а затем и	2	2
76	каждой из них	1	2
77	на то чтобы	1	2
78	с тех пор	1	2
79	на первый план	1	2
80	в основе своей	2	2
81	да и эта	1	2
82	но и здесь	1	2
83	как мы знаем	1	2
84	как это было	1	2
85	и тому же	1	2
86	этой точки зрения	3	2
87	только в том	1	2
88	но и все	1	2
89	в здравом уме	2	2
90	таким образом и	1	2
91	подобно тому как	5	2
92	так же как	2	2
93	только потому что	1	2
94	не только в	5	2
95	одному и тому	1	2
96	в этом случае	1	2
97	что из них	1	2
98	и все же	1	2
99	и что их	1	1
100	неизвестно кем и	1	1
101	в более подробном	1	1
102	и как раз	1	1
103	в и в	1	1
104	как и во	1	1
105	не только их	2	1
106	что она не	1	1
107	в применении к	2	1
108	никак не может	1	1
109	не может быть	22	1
110	как раз к	2	1
111	т е чисто	1	1
112	самое главное в	1	1
113	первый ответ на	1	1
114	имеется в виду	1	1
115	можно сказать что	3	1
116	она должна быть	2	1
117	здесь не только	1	1
118	и ничем не	2	1
119	в чисто физическом	1	1
120	в собственном смысле	3	1
121	должно было бы	1	1
122	да и в	1	1
123	она могла бы	2	1
124	мы подходим к	1	1
125	которых идет речь	1	1
126	в коем случае	1	1
127	и во всех	1	1
128	что все это	1	1
129	потому что она	1	1
130	одного и того	1	1
131	как раз с	2	1
132	но и она	1	1
133	может быть только	6	1
134	сам по себе	4	1
135	и в философии	1	1
136	и в конце	1	1
137	из них в	1	1
138	одной из самых	1	1
139	в котором и	1	1
140	о которых идет	1	1
141	том если бы	1	1
142	смысле этого слова	1	1
143	ни в коем	1	1
144	все же это	1	1
145	таким образом что	1	1
146	ни о чем	1	1
147	вместо того чтобы	1	1
148	само по себе	4	1
149	в полной мере	1	1
150	все что угодно	2	1
151	себя самого во	1	1
152	и прежде всего	1	1
153	в данном случае	2	1
154	понимать как это	1	1
155	это было в	1	1
156	можно говорить о	2	1
157	она не могла	1	1
158	ничем не отличаются	1	1
159	я мог бы	5	1
160	человека по имени	2	1
161	одно из двух	1	1
162	то одного то	1	1
163	только в виде	1	1
164	только один из	2	1
165	и того же	1	1
166	ни с кем	1	1
167	ли в этом	1	1
168	но в этом	1	1
169	как из того	1	1
170	но как раз	1	1
171	не нуждается в	1	1
172	в сущности и	1	1
173	ней как о	1	1
174	оно все же	1	1
175	в одном случае	1	1
176	если не будет	2	1
177	не мог бы	2	1
178	или хотя бы	1	1
179	по тем же	1	1
180	а не в	2	1
181	и не может	1	1
182	и в этом	2	1
183	мы имеем дело	2	1
184	так как имя	2	1
185	то что у	2	1
186	и не все	1	1
187	к реальной жизни	1	1
188	т д все	1	1
189	еще не был	1	1
190	вопрос о взаимоотношении	1	1
191	т е к	1	1
192	в жизни мы	1	1
193	не является его	1	1
194	по существу своему	1	1
195	мы находим в	2	1
196	и во всяком	1	1
197	можем ли мы	1	1
198	он должен быть	1	1
199	в том чтобы	2	1
200	по крайней мере	10	1
201	на него если	1	1
202	как и вся	1	1
203	его от всех	1	1
204	и несмотря на	1	1
205	потому что он	1	1
206	уме и твердой	1	1
207	и без всякого	2	1
208	ясно что это	1	1
209	здесь мы не	1	1
210	этот вопрос не	1	1
211	в свое время	2	1
212	самом деле не	1	1
213	зрения в истории	1	1
214	то что в	1	1
215	в себя самые	1	1
216	но тут же	1	1
217	он говорит о	1	1
218	себя так как	1	1
219	что у того	1	1
220	так как будто	1	1
221	и здесь мы	1	1
222	и один из	1	1
223	ничего не известно	1	1
224	то ясно что	2	1
225	несмотря на ее	1	1
226	не было бы	1	1
227	та или другая	1	1
228	а вместо него	1	1
229	в чем он	1	1
230	как только он	1	1
231	и еще более	1	1
232	не что иное	12	1
233	и в частности	2	1
234	что мы имеем	2	1
235	только на то	1	1
236	что она и	1	1
237	в отрыве от	3	1
238	и для ее	2	1
239	говорить о проявлении	1	1
240	и ничего не	1	1
241	как раз этим	1	1
242	в своем уме	1	1
243	как раз в	2	1
244	хотя бы в	2	1
245	в двух отношениях	1	1
246	о ней как	1	1
247	тем что она	1	1
248	и твердой памяти	1	1
249	одного то другого	1	1
250	что иное как	12	1
251	здравом уме и	1	1
252	вопрос о том	2	1
253	тому как мы	1	1
254	и не только	6	1
255	один из самых	1	1
256	сама по себе	7	1
257	мы не можем	3	1
258	все же если	1	1
259	потому что они	4	1
