N	3gram	Tiupa_Narr	Problemy
1	то же время	7	26
2	в то же	7	26
3	с точки зрения	2	25
4	по отношению к	5	18
5	и т п	2	18
6	к себе самому	3	18
7	в этом смысле	1	16
8	на самом деле	1	15
9	не может быть	6	14
10	в большинстве случаев	1	12
11	до сих пор	3	10
12	в самом деле	3	9
13	с другой стороны	1	9
14	во всяком случае	2	9
15	в том что	11	8
16	и не может	3	8
17	друг с другом	1	8
18	и в то	2	7
19	как раз и	1	7
20	бы то ни	1	7
21	и т д	1	7
22	как бы в	2	7
23	себе самому и	1	6
24	в отличие от	6	6
25	не входит в	1	6
26	то ни было	1	6
27	как и все	1	6
28	в той или	1	5
29	сам по себе	1	5
30	в зависимости от	3	5
31	к тому же	8	5
32	той или иной	6	5
33	по крайней мере	1	5
34	но все же	1	5
35	подобно тому как	4	5
36	можно было бы	1	5
37	другого человека как	1	4
38	он не может	1	4
39	тем не менее	6	4
40	друг на друга	2	4
41	сами по себе	2	4
42	так и в	1	4
43	более или менее	2	4
44	само по себе	1	4
45	как если бы	2	4
46	о том что	3	4
47	как и в	1	4
48	в этом отношении	5	4
49	хотя и не	2	4
50	на протяжении всего	1	4
51	самому и к	1	4
52	он и не	1	4
53	как и у	1	4
54	может быть и	1	4
55	никак не может	1	3
56	в той же	1	3
57	можно сказать что	5	3
58	и то же	2	3
59	но при этом	3	3
60	и к другому	1	3
61	в данном случае	12	3
62	и в других	1	3
63	не только не	2	3
64	на то что	2	3
65	большей или меньшей	1	3
66	и в самом	1	3
67	но и не	2	3
68	того и другого	1	3
69	слова и мысли	1	3
70	а в то	1	3
71	на этот вопрос	1	3
72	в большей или	1	3
73	чужого слова в	2	3
74	как мы видели	1	3
75	в другом человеке	1	3
76	одно и то	2	3
77	в то время	1	3
78	как мы увидим	1	3
79	то что я	1	3
80	то время как	1	3
81	в сущности в	1	2
82	или иной степени	1	2
83	отношению к себе	1	2
84	и в другом	1	2
85	но и на	2	2
86	для того чтобы	4	2
87	в свою очередь	2	2
88	дело в том	2	2
89	не знает и	1	2
90	друг от друга	1	2
91	в чем не	1	2
92	в том или	1	2
93	в нем не	2	2
94	но в этом	1	2
95	по себе но	1	2
96	а не в	1	2
97	то же самое	3	2
98	на этот раз	1	2
99	к тому что	4	2
100	только то что	1	2
101	т п все	1	2
102	в этих случаях	1	2
103	его произведениях но	1	2
104	диалог в сущности	1	2
105	точка зрения как	1	2
106	этой точки зрения	1	2
107	в пределы одного	1	2
108	пределы одного сознания	1	2
109	какой бы то	1	2
110	как один из	1	2
111	в значительной степени	1	2
112	я не могу	1	2
113	и та же	1	2
114	не только в	12	2
115	и не то	1	2
116	же как и	1	2
117	у него нет	1	2
118	одна и та	1	2
119	в этом последнем	2	2
120	ни в чем	1	2
121	но с другой	1	2
122	так же как	1	1
