N	3gram	Vygotskiy_	Otkroven
1	для того чтобы	20	3
2	до самого конца	1	2
3	сказать что они	1	2
4	не могут быть	3	2
5	с тем что	3	2
6	не может быть	4	2
7	но и в	1	2
8	и никогда не	1	2
9	это было бы	1	2
10	в самом начале	2	1
11	свое учение о	1	1
12	сам по себе	1	1
13	он должен был	1	1
14	еще не овладел	1	1
15	о том что	7	1
16	в том что	33	1
17	того чтобы сделать	2	1
18	ничто не может	1	1
19	друг с другом	10	1
20	но он еще	1	1
21	он попал в	1	1
22	он никогда не	1	1
23	и то что	6	1
24	в этот период	3	1
25	в силе и	1	1
26	это вопрос о	1	1
27	это подтверждается всем	1	1
28	и вопрос о	1	1
29	как например в	1	1
30	то что в	1	1
31	и все же	1	1
32	не есть просто	1	1
33	в самом деле	6	1
34	смысле этого слова	2	1
35	во всяком случае	2	1
36	он еще не	1	1
37	в противоречии с	1	1
38	в другом месте	4	1
39	как бы в	1	1
40	как это часто	1	1
41	вместо того чтобы	5	1
42	о том как	3	1
43	само по себе	2	1
44	в этом отношении	7	1
45	между этими двумя	2	1
46	по сравнению с	9	1
47	потому что в	4	1
48	а не только	1	1
49	на то что	5	1
50	от того что	6	1
51	но еще более	1	1
52	том что в	2	1
53	прежде всего в	1	1
54	нет у него	1	1
55	после того как	1	1
56	говорит все время	1	1
57	и не может	3	1
58	что он был	1	1
59	друг к другу	3	1
