N	3gram	Tiupa_Lite	OGranits
1	с точки зрения	4	5
2	не может быть	5	4
3	до тех пор	2	4
4	тех пор пока	2	3
5	одно и то	1	3
6	по отношению к	4	3
7	автора героя и	1	2
8	в том что	15	2
9	ничего общего с	2	2
10	в зависимости от	1	2
11	в полном соответствии	1	2
12	и наконец в	1	2
13	в данном случае	6	2
14	полном соответствии с	1	2
15	и то же	1	2
16	в самом деле	1	2
17	с одной стороны	8	2
18	с другой стороны	5	2
19	с самого начала	1	2
20	эстетический объект и	1	2
21	и т.д и	1	1
22	на самом деле	1	1
23	все то что	1	1
24	чуть ли не	2	1
25	иметь в виду	1	1
26	что едва ли	1	1
27	но в то	1	1
28	впервые в истории	1	1
29	но может быть	1	1
30	между тем как	1	1
31	подобно тому как	4	1
32	в конечном счете	8	1
33	если говорить о	1	1
34	что в ней	1	1
35	тех или иных	2	1
36	на то что	1	1
37	для того чтобы	1	1
38	автора и его	1	1
39	только потому что	1	1
40	том что в	1	1
41	может быть это	4	1
42	а не как	1	1
43	не только на	1	1
44	появляется и у	1	1
45	в последнее время	1	1
46	того же автора	1	1
47	существует как бы	1	1
48	в другом месте	1	1
49	в отличие от	6	1
50	предстает не как	1	1
51	этой точки зрения	3	1
52	ту или иную	2	1
53	литературного произведения как	1	1
54	в хх веке	8	1
55	в связи с	4	1
56	не знает категории	1	1
57	к тому что	1	1
58	тем не менее	4	1
59	только то что	2	1
60	нет и не	1	1
61	в этом отношении	5	1
62	мы чувствуем что	1	1
63	то же время	12	1
64	далеко не всегда	1	1
65	в области поэтики	1	1
66	собственно говоря и	1	1
67	в то же	12	1
68	но и его	1	1
69	прежде всего в	4	1
70	с этой точки	3	1
71	не мог бы	1	1
72	можно было бы	2	1
73	но не менее	1	1
74	мы не можем	1	1
75	состоит в том	8	1
76	и не может	1	1
77	а также и	1	1
