N	2gram	Ircho_Kome	Retstnzi
1	не может	9	4
2	и в	37	3
3	если в	4	2
4	в центре	2	2
5	один из	6	2
6	при сравнении	1	1
7	несмотря на	7	1
8	может быть	14	1
9	не только	13	1
10	точки зрения	8	1
11	с точки	6	1
12	может не	1	1
13	для него	1	1
14	что изменилось	2	1
15	ситуации и	1	1
16	в ней	7	1
17	тех же	3	1
18	в каждом	3	1
19	связи с	5	1
20	не из	1	1
21	бы на	2	1
22	от контекста	1	1
23	на месте	3	1
24	с другими	2	1
25	лучше всего	1	1
26	его от	5	1
27	если бы	18	1
28	исходя из	2	1
29	вещей и	2	1
30	на примере	2	1
31	в его	12	1
32	и тому	1	1
33	ничего кроме	1	1
34	не менее	9	1
35	но и	18	1
36	вторая половина	1	1
37	мы видим	2	1
38	к тому	11	1
39	из контекста	1	1
40	во второй	2	1
41	можно назвать	1	1
42	тому что	5	1
43	аудитории и	1	1
44	в то	14	1
45	из этих	2	1
46	он в	2	1
47	ни один	1	1
48	же время	12	1
49	то же	14	1
50	не оказать	1	1
51	а не	5	1
52	персонажей и	1	1
53	бы в	5	1
54	нет и	4	1
55	в системе	1	1
56	и не	28	1
57	и все	6	1
58	и на	6	1
59	себя от	2	1
