N	2gram	Vinokur_Vv	OGranits
1	и в	35	13
2	и его	6	12
3	прежде всего	10	9
4	может быть	30	8
5	и не	13	8
6	не может	19	8
7	в его	12	7
8	и т.п	1	7
9	точки зрения	12	7
10	таким образом	21	6
11	не только	26	6
12	социального общения	1	6
13	мы должны	2	6
14	только в	16	6
15	то что	19	6
16	как бы	7	6
17	языка и	15	5
18	метода в	1	5
19	хотя бы	6	5
20	с точки	4	5
21	и т.д	5	5
22	но ведь	4	5
23	все же	9	5
24	и эта	1	5
25	в каждом	4	4
26	мы можем	2	4
27	до тех	1	4
28	мы не	2	4
29	то же	11	4
30	еще и	4	4
31	было бы	7	4
32	все это	6	4
33	лишь в	1	4
34	о задачах	1	4
35	в своей	4	4
36	тех пор	1	4
37	но в	10	4
38	вопроса о	1	4
39	с этим	3	3
40	что в	13	3
41	понятно что	3	3
42	и то	7	3
43	со всей	3	3
44	связана с	4	3
45	пор пока	1	3
46	материала и	1	3
47	и уже	3	3
48	так и	2	3
49	не как	3	3
50	говорить о	5	3
51	одно и	2	3
52	в одном	4	3
53	не столько	2	3
54	за пределы	1	3
55	отношению к	4	3
56	по отношению	4	3
57	превращается в	1	3
58	слово в	1	3
59	в их	12	3
60	в ее	11	3
61	самом деле	7	3
62	не в	10	3
63	в которой	1	3
64	что же	3	3
65	для целей	1	3
66	и все	1	3
67	общего с	1	3
68	но для	1	3
69	в себе	4	3
70	так как	15	3
71	языка как	2	3
72	вряд ли	3	3
73	да и	4	3
74	наукой о	4	3
75	но и	7	3
76	и для	4	3
77	как и	7	3
78	точку зрения	1	3
79	никогда не	3	3
80	литературного языка	1	2
81	в области	4	2
82	своего рода	3	2
83	истории литературы	3	2
84	в самом	13	2
85	во всем	2	2
86	и к	3	2
87	что они	2	2
88	того или	1	2
89	материалом для	1	2
90	мы видим	1	2
91	иное как	6	2
92	в данном	11	2
93	мы уже	2	2
94	а как	5	2
95	в своих	2	2
96	в этом	35	2
97	об особой	1	2
98	что иное	5	2
99	в общем	14	2
100	случае и	1	2
101	данном случае	5	2
102	повседневной речи	1	2
103	на язык	1	2
104	он только	1	2
105	которое мы	1	2
106	в языке	2	2
107	с одной	4	2
108	мог бы	2	2
109	в течение	5	2
110	входит в	3	2
111	для себя	1	2
112	наконец в	1	2
113	и при	2	2
114	одной стороны	4	2
115	и должно	2	2
116	в другом	3	2
117	историей литературы	1	2
118	при этом	3	2
119	несмотря на	2	2
120	между тем	10	2
121	в материал	1	2
122	для него	1	2
123	замкнутого круга	1	2
124	в этот	2	2
125	и истории	2	2
126	и тем	5	2
127	в руках	1	2
128	с помощью	2	2
129	смысле слова	7	2
130	ее в	1	2
131	не исчерпывается	2	2
132	в том	38	2
133	общения и	1	2
134	с этой	5	2
135	и является	1	2
136	в тех	2	2
137	в отношении	3	2
138	чем же	3	2
139	другой стороны	5	2
140	не что	5	2
141	не на	1	2
142	отношений между	3	2
143	от этого	5	2
144	так же	3	2
145	в них	5	2
146	самого начала	1	2
147	а в	6	2
148	в г	5	2
149	если бы	3	2
150	себе что	3	2
151	о языке	6	2
152	от своего	1	2
153	а также	3	2
154	соответствии с	2	2
155	но одно	1	2
156	на две	1	2
157	еще в	1	2
158	в ней	3	2
159	с самого	1	2
160	литературное произведение	3	2
161	тем что	6	2
162	истории языка	6	2
163	и др	2	2
164	могут быть	6	2
165	вовсе не	6	2
166	в действительности	1	2
167	двух разных	1	2
168	чем иным	1	2
169	учение о	2	2
170	в связи	2	2
171	объект и	1	2
172	в зависимости	3	2
173	во всей	1	2
174	с ними	1	2
175	материал в	1	2
176	все эти	3	2
177	с другой	8	2
178	как в	3	2
179	художественных произведений	2	2
180	не менее	9	2
181	нуждается в	3	2
182	изобразительных искусствах	1	2
183	не имеет	4	2
184	с историей	3	2
185	и историей	6	2
186	к предмету	1	2
187	том что	30	2
188	в нем	13	2
189	уже в	5	2
190	или иного	1	2
191	языка но	2	2
192	зависимости от	3	2
193	не мог	2	2
194	а не	5	2
195	основная мысль	1	2
196	в чем	4	2
197	в целом	5	2
198	и ее	4	2
199	тот же	1	2
200	к тому	4	2
201	есть не	5	2
202	для исследования	1	2
203	слова и	1	2
204	бы в	2	2
205	более того	1	2
206	в дальнейшем	2	1
207	была создана	1	1
208	этого термина	3	1
209	в особенности	4	1
210	понять и	1	1
211	его к	2	1
212	науки о	9	1
213	в некоторых	1	1
214	всего в	1	1
215	или философской	1	1
216	напр в	1	1
217	необходимость в	1	1
218	поскольку она	1	1
219	как к	1	1
220	этого и	1	1
221	в каждой	2	1
222	к которому	1	1
223	и наоборот	3	1
224	памятник в	4	1
225	языка в	5	1
226	литературы в	3	1
227	к речи	1	1
228	находятся в	2	1
229	выражение в	2	1
230	стать не	1	1
231	находит свое	1	1
232	это конечно	1	1
233	этом говорит	1	1
234	и других	3	1
235	история литературы	3	1
236	один из	6	1
237	можно говорить	3	1
238	и здесь	3	1
239	осуществляется в	1	1
240	вообще в	2	1
241	общения в	1	1
242	должно составить	1	1
243	художественного образа	1	1
244	здесь вопроса	1	1
245	образом мы	1	1
246	уже из	1	1
247	всегда связана	1	1
248	то это	3	1
249	явления как	1	1
250	она и	1	1
251	отличие от	4	1
252	одном случае	1	1
253	вопрос о	10	1
254	слово но	1	1
255	как же	1	1
256	что мы	2	1
257	на этом	3	1
258	к слову	1	1
259	они не	1	1
260	ведь в	1	1
261	языке и	4	1
262	другое дело	3	1
263	только что	4	1
264	само собой	2	1
265	о слове	1	1
266	которая как	2	1
267	или иная	1	1
268	даже и	4	1
269	которые не	2	1
270	должно быть	2	1
271	того как	3	1
272	если он	1	1
273	отсюда и	2	1
274	в самых	1	1
275	в чрезвычайно	1	1
276	своего времени	1	1
277	за исключением	1	1
278	и вот	3	1
279	на том	3	1
280	другими словами	1	1
281	такого рода	3	1
282	более или	1	1
283	это особенно	1	1
284	г о	1	1
285	внимание на	5	1
286	теперь мы	1	1
287	потому что	18	1
288	в значительной	3	1
289	должны быть	1	1
290	историческая судьба	1	1
291	того чтобы	22	1
292	же как	3	1
293	или иных	3	1
294	автора и	1	1
295	между отдельными	1	1
296	ту или	1	1
297	и более	1	1
298	воплощенную в	1	1
299	мы имеем	4	1
300	и у	1	1
301	не должно	1	1
302	также и	20	1
303	и речи	1	1
304	для которой	1	1
305	это и	1	1
306	уже у	1	1
307	для того	23	1
308	момента в	2	1
309	совсем не	3	1
310	с вещами	1	1
311	тому как	2	1
312	тому что	2	1
313	все то	1	1
314	литературы как	1	1
315	которые и	1	1
316	быть не	1	1
317	это заставляет	2	1
318	и должна	1	1
319	к новым	1	1
320	которых он	1	1
321	что всякий	1	1
322	он и	2	1
323	памятника от	1	1
324	работы но	1	1
325	достаточной мере	1	1
326	его и	1	1
327	ними и	2	1
328	не всегда	1	1
329	он называет	1	1
330	в своем	3	1
331	в разных	7	1
332	ее мы	1	1
333	или же	3	1
334	к истории	6	1
335	и тогда	3	1
336	языковой формы	2	1
337	значительной мере	2	1
338	этом отношении	4	1
339	в задачу	1	1
340	связей и	1	1
341	движение в	1	1
342	исторических разысканий	1	1
343	время в	2	1
344	нужна для	1	1
345	что при	1	1
346	с языком	1	1
347	из наиболее	4	1
348	мысли и	2	1
349	исследования в	1	1
350	тем не	9	1
351	как это	5	1
352	и стилистические	1	1
353	положение что	1	1
354	вследствие этого	1	1
355	на почву	2	1
356	что такое	12	1
357	составить предмет	1	1
358	то мы	1	1
359	с системой	2	1
360	только на	3	1
361	из того	2	1
362	об этом	6	1
363	содержания и	1	1
364	отношениями между	1	1
365	только потому	1	1
366	нужно сказать	1	1
367	одно дело	2	1
368	остановиться на	1	1
369	не приходится	1	1
370	сюда относятся	1	1
371	в науке	1	1
372	и что	6	1
373	на самом	1	1
374	или иную	1	1
375	в различных	5	1
376	для них	2	1
377	и тот	1	1
378	предисловии к	1	1
379	можно было	8	1
380	язык есть	1	1
381	в этой	3	1
382	в широком	7	1
383	с известным	1	1
384	в начале	3	1
385	ни одна	2	1
386	в виду	5	1
387	что к	2	1
388	между языком	2	1
389	и до	2	1
390	и создавать	1	1
391	здесь уже	1	1
392	истории и	4	1
393	нет никакого	1	1
394	с их	5	1
395	и есть	3	1
396	подобно тому	2	1
397	но это	2	1
398	только то	1	1
399	не вполне	4	1
400	по себе	11	1
401	понимается как	1	1
402	явление и	1	1
403	тем сложнее	1	1
404	идеализма и	1	1
405	этот вопрос	7	1
406	в истории	9	1
407	все равно	2	1
408	как некая	1	1
409	же время	6	1
410	лишь как	2	1
411	лежит в	2	1
412	двух наук	3	1
413	его в	6	1
414	о литературе	3	1
415	человека и	1	1
416	с понятием	3	1
417	то или	1	1
418	или как	3	1
419	каждый из	2	1
420	письма к	1	1
421	быть это	1	1
422	работы и	1	1
423	до того	2	1
424	нуждаются в	1	1
425	а лишь	1	1
426	или иное	1	1
427	мы здесь	1	1
428	и часто	1	1
429	ко второму	1	1
430	не было	2	1
431	когда мы	2	1
432	и изучение	4	1
433	связи с	3	1
434	этого процесса	1	1
435	слове в	1	1
436	если не	1	1
437	чем сложнее	1	1
438	этой точки	2	1
439	заключаться в	1	1
440	о возможности	1	1
441	состоит в	2	1
442	существует как	1	1
443	соприкасается с	1	1
444	или в	1	1
445	роста и	1	1
446	же только	3	1
447	и эстетического	1	1
448	собственном смысле	3	1
