N	4gram	Vinokur_Ku	Hudozhes
1	в то же время	4	7
2	состоит в том что	4	4
3	в виду не только	1	3
4	имеем в виду не	1	3
5	мы имеем в виду	1	3
6	одно и то же	1	3
7	одного и того же	2	3
8	и в самом деле	4	2
9	в том что он	3	2
10	бы то ни было	1	2
11	с этой точки зрения	3	2
12	и в то же	1	2
13	той мере в какой	6	1
14	по отношению к которому	1	1
15	не что иное как	2	1
16	заключается в том что	2	1
17	в той мере в	6	1
18	в нашем языковом сознании	1	1
19	в том что она	1	1
20	в одном и том	1	1
21	а с другой стороны	2	1
22	в том случае если	3	1
23	из уст в уста	1	1
24	какой бы то ни	1	1
25	позицию по отношению к	1	1
26	одном и том же	1	1
27	еще и потому что	1	1
28	точно так же как	3	1
29	можно сказать что для	1	1
30	в том или ином	1	1
31	есть не что иное	1	1
