N	4gram	Propp_Morf	Problemy
1	в то же время	1	26
2	бы то ни было	2	6
3	в том что он	1	5
4	в то время как	3	3
5	одно и то же	1	3
6	с точки зрения его	1	2
7	отношении друг к другу	1	2
8	и т д как	4	1
9	какого бы то ни	1	1
10	в том или другом	1	1
11	нужно иметь в виду	1	1
12	можно было бы сказать	1	1
13	во что бы то	1	1
14	и т д он	2	1
15	и т д наконец	1	1
16	все более и более	1	1
17	и выдает себя за	1	1
18	есть они и в	1	1
19	не может быть и	1	1
20	что бы то ни	1	1
21	бы то ни стало	1	1
22	в собственном смысле слова	3	1
23	один и тот же	1	1
24	бы они ни были	1	1
25	и до известной степени	1	1
26	или во всяком случае	1	1
27	но для наших целей	1	1
28	а вовсе не с	1	1
29	типа а не первого	1	1
30	с самого начала в	1	1
31	и т д и	1	1
32	и независимо от того	1	1
33	прежде всего возникает вопрос	1	1
34	то же время и	1	1
35	до сих пор не	1	1
36	друг на друга что	1	1
37	и т д но	4	1
