N	2gram	Vinokur_Vv	Tvorches
1	и в	35	56
2	как бы	7	41
3	в его	12	37
4	в то	6	30
5	достоевского в	1	27
6	то же	11	25
7	не только	26	24
8	же время	6	24
9	но в	10	24
10	как и	7	23
11	и не	13	23
12	а в	6	23
13	и его	6	23
14	в этом	35	22
15	и т	45	22
16	что в	13	21
17	в том	38	21
18	том что	30	19
19	может быть	30	19
20	потому что	18	19
21	у него	1	18
22	то что	19	18
23	таким образом	21	17
24	и на	3	17
25	что он	5	17
26	т д	39	17
27	все это	6	17
28	при этом	3	16
29	но и	7	16
30	никогда не	3	16
31	как в	3	16
32	прежде всего	10	16
33	не может	19	16
34	и с	2	15
35	но это	2	15
36	в этой	3	15
37	и даже	6	14
38	это не	8	14
39	о том	16	13
40	времени в	3	13
41	а не	5	13
42	в котором	4	12
43	в целом	5	12
44	в своей	4	11
45	все же	9	11
46	для него	1	11
47	в самом	13	10
48	представление о	1	10
49	он сам	3	10
50	не в	10	10
51	в конце	3	10
52	только в	16	10
53	уже в	5	10
54	так и	2	10
55	но не	9	10
56	романа достоевского	1	10
57	как будто	3	10
58	в своих	2	9
59	наряду с	3	9
60	а затем	2	9
61	в изображении	1	9
62	и от	1	9
63	один из	6	9
64	в свою	2	9
65	человека в	1	9
66	в нем	13	9
67	в духе	1	8
68	именно в	8	8
69	в соответствии	2	8
70	не менее	9	8
71	так же	3	8
72	к этому	3	8
73	хотя и	5	8
74	одним из	5	8
75	это уже	2	8
76	вместе с	6	8
77	тогда как	2	8
78	соответствии с	2	8
79	одной из	4	8
80	еще не	4	8
81	в себе	4	8
82	так как	15	8
83	в их	12	8
84	романов достоевского	2	8
85	на его	1	8
86	об этом	6	8
87	вовсе не	6	8
88	человека и	1	8
89	в этих	3	7
90	и сам	3	7
91	например в	2	7
92	уже не	6	7
93	казалось бы	2	7
94	в дальнейшем	2	7
95	за собой	3	7
96	что она	3	7
97	в которой	1	7
98	в чем	4	7
99	своего рода	3	7
100	человеческой личности	1	7
101	самом деле	7	7
102	в момент	1	6
103	еще более	1	6
104	в принципе	3	6
105	не столько	2	6
106	и как	9	6
107	если он	1	6
108	на эту	1	6
109	хотя бы	6	6
110	одна из	3	6
111	его в	6	6
112	в конечном	3	6
113	так что	5	6
114	и ее	4	6
115	а потому	5	6
116	и далее	2	6
117	с ним	1	6
118	если бы	3	6
119	и все	1	6
120	все эти	3	6
121	место в	1	6
122	и другие	2	5
