N	4gram	Tiupa_Anal	Vvedenie
1	в то же время	7	6
2	не что иное как	1	5
3	дело в том что	3	3
4	есть не что иное	1	3
5	состоит в том что	1	2
6	заключается в том что	1	2
7	во всяком случае не	1	2
8	по тем или иным	1	2
9	одной и той же	2	2
10	одного и того же	4	2
11	в том или ином	1	2
12	приходит к выводу что	1	1
13	то же время в	2	1
14	в этом втором случае	1	1
15	по крайней мере не	1	1
16	в том что он	2	1
17	но с другой стороны	1	1
18	и сам по себе	1	1
19	тем не менее не	1	1
20	лишь в том что	1	1
21	в той или иной	2	1
22	речь идет уже не	1	1
23	не говоря уже о	1	1
24	мы имеем дело с	1	1
25	и того же произведения	1	1
