N	2gram	Propp_Russ	Sotsiolo
1	все это	12	7
2	в том	33	5
3	в этом	18	5
4	не только	28	3
5	не в	2	3
6	и в	59	3
7	в его	3	3
8	для нас	12	3
9	что в	35	2
10	то что	10	2
11	таким образом	10	2
12	том что	33	2
13	или даже	3	2
14	дело не	2	2
15	как бы	18	2
16	было бы	3	2
17	как будто	6	2
18	очевидно что	2	2
19	в частности	2	2
20	и мы	1	2
21	но и	20	2
22	может быть	14	2
23	по существу	7	2
24	она может	1	2
25	главным образом	5	2
26	и что	8	2
27	это и	1	2
28	им не	1	2
29	по отношению	1	2
30	в конце	1	2
31	как только	2	2
32	отношению к	1	2
33	исторического развития	1	2
34	должна быть	1	2
35	далеко не	5	2
36	тем более	1	2
37	только в	4	2
38	к которому	1	2
39	только как	2	2
40	то же	6	2
41	еще не	7	2
42	не успела	1	1
43	а в	16	1
44	что он	2	1
45	какие же	2	1
46	образом в	2	1
47	на что	2	1
48	входящие в	1	1
49	быть не	1	1
50	в таких	3	1
51	в целом	2	1
52	в силу	2	1
53	вряд ли	2	1
54	на этот	3	1
55	что эти	2	1
56	все эти	5	1
57	не было	3	1
58	представить себе	1	1
59	когда мы	2	1
60	остается в	1	1
61	у которых	2	1
62	связи с	6	1
63	и куда	1	1
64	в труде	1	1
65	в своей	1	1
66	что без	1	1
67	во всяком	1	1
68	и потому	3	1
69	все же	7	1
70	что это	4	1
71	или не	2	1
72	еще и	1	1
73	на ней	1	1
74	можно будет	3	1
75	утверждение будто	1	1
76	с другой	1	1
77	мы должны	3	1
78	и стало	1	1
79	это как	1	1
80	с ним	2	1
81	так называемым	1	1
82	противном случае	1	1
83	право на	2	1
84	между тем	9	1
85	собой не	1	1
86	и более	3	1
87	на шею	2	1
88	в этой	4	1
89	из себя	1	1
90	и его	2	1
91	это по	1	1
92	ли не	1	1
93	развитие по	1	1
94	развития развитие	1	1
95	никак не	1	1
96	в данном	7	1
97	которая должна	2	1
98	на все	3	1
99	только для	3	1
100	в области	3	1
101	и по	10	1
102	их на	5	1
103	этом не	2	1
104	один из	10	1
105	так и	8	1
106	в противном	2	1
107	только тогда	3	1
108	в то	3	1
109	полагает что	8	1
110	будто говорит	1	1
111	может не	1	1
112	ни одно	2	1
113	в котором	2	1
114	те же	1	1
115	между собой	4	1
116	должно было	5	1
117	отнюдь не	3	1
118	и не	6	1
119	со своими	1	1
120	должны служить	1	1
121	но она	3	1
122	всяком случае	1	1
123	хотелось бы	1	1
124	настоящее время	3	1
125	или нет	1	1
126	и о	4	1
127	и должны	1	1
128	к изучению	1	1
129	но не	7	1
130	может служить	1	1
131	они не	1	1
132	в него	2	1
133	и им	1	1
134	для этого	6	1
135	прежде всего	2	1
136	тем что	7	1
137	что она	4	1
138	тем же	1	1
139	в каждом	2	1
140	он по	1	1
141	связь между	2	1
142	на тех	2	1
143	нам право	2	1
144	в чем	1	1
145	на основании	1	1
146	дерево или	3	1
147	а с	6	1
148	мы еще	1	1
149	происходит не	1	1
150	а между	1	1
151	же не	2	1
152	не дает	1	1
153	в область	1	1
154	его в	9	1
155	не от	1	1
156	зависит от	1	1
157	на определенных	1	1
158	даже не	1	1
159	с одной	1	1
160	и наконец	2	1
161	о том	14	1
162	мы не	11	1
163	тому что	4	1
164	в заключение	2	1
165	и затем	1	1
166	нет его	1	1
167	в этих	3	1
168	у него	2	1
169	на первый	3	1
170	перед нами	2	1
171	в любой	1	1
172	всего не	1	1
173	и остаются	1	1
174	все то	1	1
175	наконец в	1	1
176	что на	5	1
177	это не	14	1
178	одной стороны	1	1
179	в связи	4	1
180	в виде	10	1
181	в настоящее	3	1
182	именно в	3	1
183	никогда не	1	1
184	и есть	1	1
185	не может	6	1
186	между ними	1	1
187	и как	2	1
188	что все	2	1
189	место в	2	1
190	не без	1	1
191	для наших	2	1
192	как и	19	1
193	ничего не	4	1
194	в них	10	1
