N	4gram	Tiupa_Anal	VLabPisa
1	в то же время	7	5
2	в том числе и	1	2
3	большей или меньшей степени	1	2
4	и не может быть	4	2
5	в большей или меньшей	1	2
6	приводит к тому что	1	2
7	только в том что	1	1
8	с этой точки зрения	2	1
9	в том смысле что	1	1
10	имеем в виду не	1	1
11	если бы он был	1	1
12	не следует смешивать с	1	1
13	в том случае если	1	1
14	одно и то же	2	1
15	о том же свидетельствует	1	1
16	как это происходит в	1	1
17	по его собственному признанию	1	1
18	не может быть сведена	1	1
19	может быть сведена к	1	1
20	в той или иной	3	1
21	но в то же	2	1
22	силу тех или иных	1	1
23	в силу тех или	1	1
24	нет и не может	2	1
25	не говоря уже о	1	1
26	мы имеем дело с	4	1
27	и вместе с тем	1	1
28	том же свидетельствует и	1	1
29	ответ на этот вопрос	1	1
30	том или ином отношении	1	1
31	хотя бы и в	1	1
32	в том или ином	3	1
