N	2gram	Medvedev_S	UchenyiS
1	и в	3	14
2	формальный метод	1	11
3	не только	3	10
4	и не	1	8
5	прежде всего	1	8
6	то что	2	7
7	в этом	5	7
8	не может	1	7
9	может быть	2	6
10	хотя бы	1	5
11	то же	2	5
12	и только	3	5
13	все это	7	5
14	в конечном	1	4
15	с другой	1	4
16	в этой	1	4
17	конечном счете	1	4
18	конечно не	1	4
19	но и	2	4
20	было бы	2	3
21	истории литературы	10	3
22	этой области	1	3
23	для этого	1	3
24	очевидно что	2	3
25	это не	1	3
26	как и	1	3
27	вряд ли	1	3
28	в своей	1	3
29	все же	1	3
30	в области	1	3
31	в частности	2	3
32	в то	1	3
33	пришлось бы	1	3
34	же время	1	3
35	литературы и	2	2
36	таким образом	2	2
37	выдвигает на	1	2
38	же не	1	2
39	в противном	1	2
40	не в	3	2
41	же самое	1	2
42	крайней мере	1	2
43	но не	1	2
44	по существу	2	2
45	тем что	1	2
46	более чем	3	2
47	в его	3	2
48	в конце	2	2
49	должна быть	2	2
50	мы не	1	2
51	ничего не	1	2
52	словесного творчества	1	2
53	говоря иначе	1	2
54	между тем	1	2
55	что она	1	2
56	что он	1	2
57	конце концов	2	2
58	дело конечно	1	2
59	противном случае	1	2
60	пишет он	1	2
61	в том	5	2
62	представляется нам	1	2
63	том что	2	2
64	художественных произведений	1	2
65	метода как	1	2
66	а между	1	2
67	на первый	1	2
68	по крайней	1	2
69	только в	2	2
70	по себе	1	2
71	что все	1	2
72	что в	2	1
73	иначе говоря	1	1
74	не было	1	1
75	остается в	1	1
76	первый план	1	1
77	этого и	1	1
78	методологического монизма	2	1
79	и потому	1	1
80	метод и	2	1
81	морфологический метод	1	1
82	историко-литературной методологии	1	1
83	в данном	1	1
84	исторической поэтики	1	1
85	история литературы	1	1
86	наука о	1	1
87	как искусство	1	1
88	произведение как	1	1
89	быть не	1	1
90	со своими	1	1
91	объекта и	1	1
92	историю литературы	1	1
93	к изучению	1	1
94	в процессе	1	1
95	она должна	1	1
96	методологии истории	3	1
97	павел медведев	1	1
98	ibid стр	5	1
99	тех кто	1	1
100	для изучения	1	1
101	метода конечно	1	1
102	как науки	1	1
103	но именно	1	1
104	формальным методом	1	1
105	природы изучаемого	1	1
106	поэтики и	1	1
107	только как	2	1
108	одной стороны	1	1
109	не без	1	1
110	общих принципов	2	1
111	случае пришлось	1	1
112	или даже	2	1
113	где же	1	1
114	изучаемого объекта	1	1
115	даже не	1	1
116	это значит	1	1
117	единства и	1	1
118	к вопросам	1	1
119	это же	1	1
120	только для	1	1
121	без этого	1	1
122	так и	1	1
123	методология истории	1	1
124	отнюдь не	1	1
125	может служить	1	1
126	изучения литературы	1	1
127	и что	2	1
128	с одной	1	1
129	как живой	1	1
130	их обработки	1	1
131	за пределы	2	1
132	стать наукой	2	1
133	о том	1	1
134	далеко не	2	1
135	тем более	2	1
136	литературы как	1	1
137	у него	1	1
138	вне пределов	1	1
139	в котором	1	1
140	бы в	1	1
141	в виде	1	1
142	о литературе	3	1
143	никогда не	1	1
