N	2gram	Nazirov_Tr	NovoeSre
1	а не	1	17
2	не может	5	16
3	и в	18	16
4	и не	7	11
5	и есть	1	10
6	что в	4	9
7	в эпоху	1	9
8	в том	2	8
9	он не	2	8
10	в этом	9	7
11	может быть	7	7
12	в новой	1	7
13	как и	5	7
14	ни в	2	6
15	не в	2	6
16	лишь в	1	6
17	высшей степени	1	6
18	с его	2	6
19	но это	4	6
20	в высшей	1	6
21	никогда не	2	6
22	не только	8	5
23	в ней	1	5
24	все это	4	5
25	xix века	1	5
26	в нем	4	5
27	с ее	3	5
28	перестает быть	1	4
29	и потому	1	4
30	быть может	1	4
31	должно быть	3	4
32	потому что	2	4
33	это не	5	4
34	прежде всего	4	4
35	в них	1	4
36	то что	4	4
37	не было	1	4
38	и все	4	4
39	не менее	1	4
40	не имеет	2	4
41	о том	2	4
42	во всех	1	3
43	вопрос о	2	3
44	должна быть	1	3
45	она не	1	3
46	в ее	2	3
47	за пределы	1	3
48	в истории	1	3
49	в духе	1	3
50	нашей эпохи	1	3
51	к ним	1	3
52	в россии	1	3
53	наряду с	1	3
54	с тем	2	3
55	не значит	1	3
56	к жизни	5	3
57	не есть	1	3
58	в своей	1	3
59	в мире	3	3
60	как в	3	3
61	жизни в	1	3
62	но и	4	3
63	это было	1	3
64	к ее	1	3
65	растет и	1	3
66	к тому	2	3
67	человека и	1	3
68	еще не	4	3
69	и от	1	2
70	это и	1	2
71	не человек	2	2
72	в центре	1	2
73	силы и	1	2
74	права на	2	2
75	и что	4	2
76	возвращается к	1	2
77	не могли	1	2
78	бога но	1	2
79	на путях	1	2
80	что она	2	2
81	ли это	1	2
82	с одной	1	2
83	хотя бы	1	2
84	того чтобы	1	2
85	вот почему	1	2
86	сильнее и	1	2
87	ли есть	1	2
88	так и	5	2
89	как это	3	2
90	для чего	1	2
91	не могла	1	2
92	можно было	1	2
93	и должно	1	2
94	из ее	1	2
95	в русском	2	2
96	у него	6	2
97	в обществе	1	2
98	все время	1	2
99	и даже	4	2
100	и с	7	2
101	на уровне	1	2
102	xviii века	1	2
103	могут быть	1	2
104	в себе	4	2
105	и на	7	2
106	быть в	1	2
107	уже не	2	2
108	я не	4	2
109	не знал	1	2
110	что все	2	2
111	времени в	2	2
112	все эти	3	2
113	есть в	1	2
114	вместе с	1	2
115	но я	1	2
116	который в	2	2
117	одна из	2	2
118	стремление к	1	2
119	роль в	1	2
120	как будто	3	2
121	но не	1	2
122	в то	5	2
123	том что	4	2
124	так же	4	2
125	xix век	1	2
126	и это	2	2
127	но в	6	2
128	не к	1	2
129	в той	1	1
130	вопрос об	1	1
131	все в	1	1
132	своего рода	3	1
133	в самом	2	1
134	во всем	1	1
135	к одному	1	1
136	от нее	1	1
137	до этого	1	1
138	всегда была	1	1
139	попал в	1	1
140	на западе	1	1
141	социальной жизни	1	1
142	нем ничего	1	1
143	а к	1	1
144	в котором	1	1
145	по природе	1	1
146	и мира	1	1
147	чтобы так	1	1
148	ничем не	2	1
149	что этот	2	1
150	отличие от	2	1
151	по всем	1	1
152	ни за	1	1
153	к ней	1	1
154	она должна	2	1
155	также что	1	1
156	человека вот	1	1
157	свидетельствует о	1	1
158	ничего от	1	1
159	уже в	3	1
160	эти слова	1	1
161	к себе	1	1
162	еще по	1	1
163	во всяком	1	1
164	не хочу	1	1
165	одну из	1	1
166	природе своей	1	1
167	в каких	1	1
168	быть отнесены	1	1
169	быть не	1	1
170	не быть	1	1
171	не для	1	1
172	капиталистического общества	1	1
173	ее жизни	2	1
174	и зло	1	1
175	отцы и	2	1
176	характерны для	1	1
177	а это	1	1
178	это уже	2	1
179	он и	2	1
180	страдания но	1	1
181	в недрах	1	1
182	в его	3	1
183	с своими	1	1
184	прошлом в	1	1
185	значение для	1	1
186	и их	1	1
187	во времена	1	1
188	одному из	1	1
189	есть и	1	1
190	не способен	1	1
191	это была	1	1
192	не столько	1	1
193	говорит что	2	1
194	себя на	1	1
195	в виду	1	1
196	еще в	2	1
197	и до	2	1
198	выразить свое	1	1
199	с собой	1	1
200	добро и	1	1
201	только в	1	1
202	в xix	1	1
203	не могут	2	1
204	по своей	1	1
205	власти и	1	1
206	он есть	1	1
207	что образ	3	1
208	борьбе за	1	1
209	хочет и	1	1
210	со злом	1	1
211	а на	1	1
212	всего что	1	1
213	это должно	1	1
214	но он	1	1
215	этого господина	1	1
216	значение и	1	1
217	в которой	1	1
218	в этой	4	1
219	этого не	1	1
220	вот что	1	1
221	а по	1	1
222	а также	1	1
223	и еще	1	1
224	в отличие	2	1
225	он в	1	1
226	на нее	1	1
227	и возвращается	1	1
228	теперь и	2	1
229	во многом	1	1
230	себя а	1	1
231	в силах	2	1
232	что не	1	1
233	но все	2	1
234	мира против	1	1
235	тем что	2	1
236	не верит	1	1
237	творческий процесс	1	1
238	к этой	1	1
239	быть понят	1	1
240	в конце	3	1
241	вообще не	1	1
242	ним она	1	1
243	день не	1	1
244	мы опять	1	1
245	жизни перед	1	1
246	эти черты	1	1
247	в образе	6	1
248	в своем	3	1
249	лишь на	1	1
250	что он	6	1
251	на себя	1	1
252	и она	1	1
253	показал что	1	1
254	зла в	2	1
255	они сами	1	1
256	всю жизнь	1	1
257	и вместе	1	1
258	в период	1	1
259	я хочу	1	1
260	но если	1	1
261	перед собой	1	1
262	по себе	1	1
263	в области	1	1
264	в такой	1	1
265	нуждается в	1	1
266	с ним	3	1
267	этой теме	1	1
268	человек не	1	1
269	отнесены к	1	1
270	всяком случае	1	1
271	друг друга	2	1
272	идей и	1	1
273	распадается на	1	1
274	до начала	1	1
275	в это	2	1
276	знает что	2	1
277	не случайно	2	1
278	в чем	1	1
279	факт в	1	1
280	нет в	2	1
281	не был	2	1
282	мы вновь	1	1
283	и его	6	1
284	у в	1	1
285	и особенно	1	1
286	слова в	1	1
287	не удалось	1	1
288	часто бывало	1	1
289	жизнью и	2	1
290	гораздо больше	1	1
291	i есть	1	1
292	обратиться к	1	1
293	к нему	3	1
294	на них	1	1
295	людей в	1	1
