N	3gram	Berdyaev_O	VrazhdaK
1	и все же	1	5
2	в том что	1	2
3	не может быть	2	2
4	он не только	1	2
5	прежде всего художник	1	1
6	в этот период	1	1
7	к творчеству достоевского	1	1
8	и все что	1	1
9	записки из мертвого	2	1
10	записки из подполья	1	1
11	преступлении и наказании	3	1
12	о том как	1	1
13	достоевский прежде всего	2	1
14	на то что	1	1
15	записках из подполья	3	1
16	из подполья но	1	1
17	и никогда не	2	1
18	о достоевском и	1	1
19	в самом достоевском	1	1
20	он и не	1	1
21	преступления и наказания	1	1
22	и то что	1	1
23	к михайловского жестокий	1	1
24	о том что	1	1
25	преступление и наказание	1	1
26	не было такой	1	1
27	из мертвого дома	2	1
28	то что достоевский	1	1
29	но он подошел	1	1
30	во всяком случае	1	1
31	и в самом	1	1
32	н к михайловского	1	1
33	как бы в	1	1
34	что это за	1	1
35	у него в	5	1
36	что у него	2	1
37	самим собой в	1	1
38	в этом отношении	1	1
39	в преступлении и	3	1
40	и не может	1	1
41	и в этом	2	1
