N	3gram	Nazirov_Tv	KFilosof
1	по отношению к	3	22
2	не может быть	2	11
3	ни в чем	1	4
4	в чем не	1	4
5	того или иного	1	3
6	может быть в	1	3
7	на самом деле	2	3
8	в нем и	1	3
9	и в этом	1	3
10	в том что	8	2
11	бы он ни	1	2
12	той или иной	1	2
13	отказаться от своей	1	2
14	других людей и	1	2
15	то или иное	1	2
16	имеем в виду	1	2
17	мы говорим о	1	2
18	прошлое и будущее	1	2
19	тем не менее	2	2
20	в то же	19	2
21	и та же	2	2
22	на первом плане	2	2
23	в соответствии с	7	2
24	то ни было	1	2
25	в целом и	1	2
26	одна и та	1	2
27	бы то ни	1	2
28	то же время	18	2
29	в этот момент	1	1
30	в свою очередь	2	1
31	и тем не	1	1
32	бытие в котором	1	1
33	и как бы	1	1
34	это не значит	2	1
35	вместе с тем	1	1
36	признать что в	1	1
37	равно как и	1	1
38	в конечном счете	4	1
39	по себе а	1	1
40	они имеют смысл	1	1
41	во всяком случае	2	1
42	в один момент	1	1
43	людей и все	1	1
44	но эта функция	1	1
45	решения этой задачи	1	1
46	то же самое	1	1
47	в котором оно	1	1
48	это уже не	2	1
49	в действительной жизни	1	1
50	хотя бы и	1	1
51	ту или иную	1	1
52	дело не в	1	1
53	он не может	1	1
54	в том же	3	1
55	действительной жизни и	1	1
56	рядом с ними	1	1
57	не значит что	2	1
58	форму и содержание	1	1
59	и вследствие этого	1	1
60	в настоящее время	1	1
61	не может жить	1	1
62	одного и того	1	1
63	со всех сторон	1	1
64	до сих пор	1	1
65	как и на	1	1
66	я не могу	1	1
67	дело в том	4	1
68	но в то	5	1
69	мы никогда не	1	1
70	то все же	1	1
71	что в конечном	1	1
72	не о том	1	1
73	и в то	3	1
74	жизни при этом	1	1
75	но отнюдь не	1	1
76	в разные стороны	1	1
77	пространства и времени	1	1
78	если он не	1	1
79	и рядом с	1	1
80	не зависит от	1	1
81	может быть понята	2	1
82	и того же	1	1
83	не может не	1	1
84	оно могло бы	1	1
85	и в ее	1	1
86	друг для друга	1	1
87	и все же	3	1
88	но только не	1	1
89	к тому что	1	1
90	но все это	1	1
91	что может быть	1	1
92	влечет за собой	2	1
93	в известном смысле	2	1
94	все это в	1	1
95	и только для	1	1
96	никогда не было	2	1
97	не является только	1	1
98	образом и в	1	1
99	это и есть	1	1
100	но это не	2	1
101	это-то и есть	1	1
102	нет и не	1	1
103	в себя как	1	1
104	он живет и	1	1
