N	3gram	Ircho_Kome	Problema
1	тем не менее	2	56
2	о том что	6	39
3	в том что	13	37
4	и т д	4	33
5	то же самое	2	30
6	в связи с	3	29
7	в данном случае	1	28
8	той или иной	1	26
9	во всяком случае	4	25
10	с другой стороны	6	25
11	в конце концов	4	23
12	сам по себе	1	21
13	на то что	2	19
14	в этом смысле	2	19
15	для того чтобы	3	17
16	в то же	5	17
17	точно так же	1	16
18	как будто бы	1	14
19	до сих пор	3	14
20	не что иное	1	14
21	что иное как	1	14
22	того или иного	1	13
23	и вовсе не	1	13
24	можно было бы	3	13
25	так или иначе	4	12
26	в н э	6	12
27	в то время	8	12
28	то время как	6	12
29	бы то ни	4	11
30	с одной стороны	5	11
31	по своему содержанию	1	10
32	вместе с тем	4	10
33	более или менее	1	10
34	не только в	1	10
35	что же касается	1	9
36	не говоря уже	4	9
37	только в том	1	8
38	это вовсе не	1	8
39	говоря уже о	4	7
40	а может быть	1	7
41	к тому же	12	7
42	но и в	2	7
43	может быть даже	2	7
44	имеется в виду	1	7
45	с самого начала	2	7
46	в этой области	2	7
47	мы находим в	1	7
48	хотя и не	1	7
49	только потому что	2	7
50	так и в	1	6
51	то что в	1	6
52	то ни было	4	6
53	на первый план	1	6
54	в этом отношении	3	6
55	само по себе	1	6
56	в чем не	1	5
57	на этот раз	5	5
58	в первую очередь	5	5
59	v в н	2	5
60	так же как	1	5
61	до н э	3	5
62	в том числе	4	5
63	в зависимости от	1	5
64	и прежде всего	1	5
65	быть даже и	1	5
66	в какой мере	1	5
67	только в виде	1	5
68	том что он	4	5
69	что в нем	1	5
70	же как и	1	5
71	ни в чем	1	5
72	потому что они	1	5
73	во время войны	1	4
74	у нас в	2	4
75	в коем случае	1	4
76	несмотря на всю	3	4
77	друг от друга	2	4
78	как мы уже	1	4
79	связи с этим	1	4
80	том числе и	1	4
81	но все же	1	4
82	в одном случае	1	4
83	мы имеем дело	1	4
84	этой точки зрения	1	4
85	до тех пор	1	4
86	у того же	1	4
87	в другом случае	1	4
88	и независимо от	1	4
89	именно потому что	2	4
90	ни в коем	1	4
91	и во всяком	1	4
92	только в связи	1	4
93	само собой разумеется	1	4
94	такого же рода	1	4
95	в это время	3	4
96	как мы видели	1	4
97	подобно тому как	1	4
98	там и здесь	1	4
99	в новое время	2	4
100	начала до конца	1	3
101	то что он	2	3
102	то что не	1	3
103	в отличие от	3	3
104	то что у	1	3
105	к тому что	3	3
106	в тех случаях	1	3
107	не обходится без	1	3
108	который в своем	1	3
109	за то что	4	3
110	в чем же	1	3
111	как и в	2	3
112	тех случаях когда	1	3
113	но уже в	1	3
114	что и в	2	3
115	с этой точки	1	3
116	должны были бы	1	3
117	по сравнению с	1	3
118	и даже до	1	3
119	или может быть	2	3
120	хотя бы в	1	3
121	бросается в глаза	1	3
122	том что в	1	3
123	если не считать	1	3
124	к выводу что	1	3
125	после того как	3	3
126	так и для	1	2
127	многие из этих	1	2
128	по отношению к	5	2
129	и т п	7	2
130	о которых мы	1	2
131	от этого брака	1	2
132	в частности в	2	2
133	нечто такое что	1	2
134	можно говорить о	1	2
135	мы не только	1	2
136	что и сам	1	2
137	ii в н	1	2
138	т д все	1	2
139	и особенно в	1	2
140	зрения на действительность	1	2
141	и платон в	1	2
142	в этом же	2	2
143	в последние десятилетия	1	2
144	но и не	1	2
145	таким образом в	2	2
146	и тем что	2	2
147	в до н	1	2
148	во всех случаях	1	2
149	и меньше всего	1	2
150	что он не	2	2
151	как и во	1	2
152	и тот же	1	2
153	до нас в	1	2
154	вв до н	1	2
155	у плавта и	1	2
156	в том же	1	2
157	можно судить по	2	2
158	в нем не	1	2
159	из них не	1	2
160	насколько можно судить	1	2
161	так как он	1	2
162	потому что и	1	2
163	и в том	1	2
164	или хотя бы	1	2
165	а то и	3	2
166	а вместе с	1	2
167	в том случае	1	2
168	и на его	1	2
169	едва ли можно	3	2
170	он может быть	1	2
171	и здесь мы	1	2
172	iii в н	2	2
173	и в литературе	1	2
174	и в самом	1	2
175	в предисловии к	1	2
176	и не только	1	2
177	в следующем виде	1	2
178	и на этот	2	1
179	одного из них	1	1
180	имеет в виду	1	1
181	становится в них	1	1
182	или совсем не	1	1
183	и в тех	2	1
184	тому и другому	1	1
185	от греческого слова	1	1
186	в большинстве случаев	2	1
187	одной из этих	1	1
188	между небом и	2	1
189	к числу таких	1	1
190	поэтому и в	1	1
191	своему содержанию и	1	1
192	при этом что	2	1
193	мере в какой	1	1
194	тем же названием	1	1
195	в середине iv	1	1
196	содержания и формы	1	1
197	не представляется возможным	1	1
198	а в другом	1	1
199	за последние десятилетия	1	1
200	которых идет речь	1	1
201	таким же образом	1	1
202	и все это	1	1
203	что к нему	1	1
204	в этой пьесе	1	1
205	принимает участие в	1	1
206	до конца и	1	1
207	но при этом	1	1
208	именно в этой	1	1
209	это особенно важно	1	1
210	в силу этого	3	1
211	из них в	1	1
212	одной из самых	1	1
213	в разговоре с	1	1
214	а между тем	1	1
215	смысле этого слова	1	1
216	уже в самом	1	1
217	и о других	1	1
218	речь идет о	5	1
219	в самой общей	1	1
220	та или другая	1	1
221	по аналогии с	1	1
222	миф о похищении	1	1
223	и таким образом	2	1
224	приходит в голову	1	1
225	не приходит в	1	1
226	дошедших до нас	4	1
227	из всего этого	2	1
228	в ее спальне	1	1
229	все еще остается	1	1
230	что это не	1	1
231	в греции как	1	1
232	в хронологическом порядке	2	1
233	в той же	2	1
234	может и не	1	1
235	что уже в	1	1
236	внешней формы и	1	1
237	настолько ничтожны что	1	1
238	стороны он изображен	1	1
239	в этих словах	1	1
240	чуть ли не	2	1
241	вслед за ним	1	1
242	вслед за ними	1	1
243	как таковой и	1	1
244	не в его	1	1
245	отношению к людям	1	1
246	том что ни	1	1
247	нового времени мы	1	1
248	в г а	1	1
249	время как в	1	1
250	общественно-политической жизни и	1	1
251	как это было	1	1
252	малейшего намека на	1	1
253	вместе со своим	1	1
254	это ясно из	1	1
255	даже не только	1	1
256	и в дальнейшем	1	1
257	ясно что это	1	1
258	но и без	1	1
259	что в любом	1	1
260	может быть в	1	1
261	и в помине	1	1
262	как один из	1	1
263	по заслугам на	1	1
264	всего этого можно	1	1
265	в апреле г	1	1
266	греческой и римской	1	1
267	и к тому	1	1
268	состоит в том	1	1
269	и один из	1	1
270	предстает перед нами	1	1
271	в одной из	1	1
272	это видно из	1	1
273	все это однако	1	1
274	в трагедии и	1	1
275	то на что	1	1
276	же мере в	1	1
277	все тот же	1	1
278	чтобы в этой	1	1
279	как это ясно	1	1
280	чем свет стоит	1	1
281	которые могут быть	1	1
282	еще в одном	1	1
283	в любом случае	3	1
284	или вовсе не	1	1
285	в соединении с	1	1
286	мы ничего не	1	1
287	на следующий год	1	1
288	ни в одном	2	1
289	том что они	1	1
290	том случае если	1	1
291	же в этих	1	1
292	до наших дней	1	1
293	самой общей форме	1	1
294	обстоит дело с	1	1
295	иначе не только	1	1
296	сильных мира сего	1	1
297	к нему же	1	1
298	благодаря тому что	1	1
299	в самом начале	3	1
300	как раз на	1	1
301	трагедии и в	1	1
302	в одном из	4	1
303	надо считать не	1	1
304	только в условиях	1	1
305	небом и землей	2	1
306	в широких кругах	2	1
307	это не означает	1	1
308	сих пор не	1	1
309	ничего не знаем	1	1
310	в борьбе с	1	1
311	которые получили в	1	1
312	а н островского	1	1
313	и все прочее	1	1
314	во всех отношениях	1	1
315	за тем как	2	1
316	и во всех	1	1
317	что все это	1	1
318	не является чем-то	1	1
319	если бы и	1	1
320	сын от этого	1	1
321	и в философии	1	1
322	и не всегда	1	1
323	на основании этого	1	1
324	не хуже чем	1	1
325	в первом случае	1	1
326	за последние два	1	1
327	мало чем отличается	1	1
328	отсюда видно что	1	1
329	на то чтобы	1	1
330	в наше время	1	1
331	с тех пор	1	1
332	у него не	1	1
333	в и в	1	1
334	cgf i р	1	1
335	отдельных писателей и	1	1
336	возможна только при	1	1
337	то же время	5	1
338	что у него	3	1
339	даже если она	1	1
340	для этой цели	2	1
341	в начале нашего	1	1
342	из поля зрения	1	1
343	чтобы избавиться от	1	1
344	внешней и внутренней	3	1
345	но едва ли	1	1
346	и не все	1	1
347	когда речь заходит	1	1
348	уже гораздо более	1	1
349	но он не	1	1
350	значение и их	1	1
351	что хотел сказать	1	1
352	начале нашего века	1	1
353	iv вв до	1	1
354	положительное отношение к	1	1
355	на всю ее	1	1
356	и в конце	1	1
357	другой стороны он	1	1
358	на чем свет	1	1
359	до начала х	1	1
360	на себя внимание	4	1
361	мы и здесь	1	1
362	при всем том	2	1
363	в iv в	7	1
364	последние два десятилетия	1	1
365	однако если мы	1	1
366	середине iv в	2	1
367	можно только удивляться	1	1
368	дело доходит до	1	1
369	жизнь и ее	1	1
370	в течение всей	1	1
371	научная литература об	1	1
372	во времени и	1	1
373	у него же	1	1
374	чем отличается от	1	1
375	в союзе с	1	1
376	в отрыве от	1	1
377	ни малейшего намека	1	1
378	нет и в	1	1
379	по содержанию и	1	1
380	иначе чем это	1	1
381	он не мог	1	1
382	до нас не	1	1
383	в г и	3	1
384	представление о том	2	1
385	наконец едва ли	1	1
386	что указывает на	1	1
387	едва ли не	6	1
388	только что в	1	1
389	сводится к тому	1	1
390	идет речь в	1	1
391	чего нельзя сказать	1	1
392	и вслед за	1	1
393	имеем дело с	1	1
394	чем это было	1	1
395	под тем же	1	1
