N	4gram	Propp_Isto	Analitik
1	в то же время	1	14
2	состоит в том что	1	7
3	не что иное как	1	6
4	есть не что иное	1	5
5	не в том чтобы	1	3
6	одни и те же	1	3
7	с этой точки зрения	2	2
8	в тех случаях когда	1	2
9	но в таком случае	1	2
10	одно и то же	2	2
11	о том что при	2	1
12	не сам по себе	1	1
13	в том смысле что	1	1
14	еще ничего не говорит	1	1
15	внимание на то что	1	1
16	сколько бы мы ни	1	1
17	свидетельствует о том что	1	1
18	и вместе с тем	1	1
19	на того с кем	1	1
20	никак не может быть	1	1
21	тем не менее в	1	1
22	только в том что	1	1
23	в том числе и	2	1
24	широком смысле этого слова	1	1
25	не исключают друг друга	2	1
26	ничего не говорит о	1	1
27	в широком смысле этого	1	1
28	по отношению к которым	1	1
29	одна из них не	1	1
30	ни жив ни мертв	1	1
31	и здесь мы имеем	1	1
32	во всех этих случаях	2	1
