N	2gram	Vinokur_Vv	Problema
1	и в	35	182
2	и не	13	152
3	вовсе не	6	145
4	то что	19	144
5	не есть	5	113
6	не только	26	104
7	потому что	18	89
8	в этом	35	88
9	может быть	30	82
10	в том	38	81
11	том что	30	81
12	не просто	5	80
13	только в	16	73
14	сказать что	6	72
15	но и	7	70
16	в виде	4	69
17	у нас	2	68
18	также и	20	68
19	и даже	6	66
20	по себе	11	64
21	даже и	4	63
22	не менее	9	58
23	о том	16	57
24	тем не	9	56
25	а не	5	56
26	так и	2	56
27	но в	10	55
28	так что	5	52
29	для нас	1	50
30	в себе	4	48
31	и вообще	3	48
32	смысле слова	7	47
33	при помощи	3	47
34	было бы	7	46
35	прежде всего	10	45
36	в своей	4	45
37	что в	13	44
38	в его	12	44
39	не в	10	43
40	все эти	3	43
41	то же	11	42
42	а именно	6	42
43	как раз	4	42
44	таким образом	21	42
45	если мы	1	42
46	и что	6	40
47	и то	7	40
48	что он	5	40
49	так как	15	40
50	что мы	2	40
51	во всяком	5	39
52	не может	19	39
53	такого рода	3	39
54	и тем	5	39
55	в этой	3	39
56	как бы	7	39
57	той или	3	38
58	в данном	11	38
59	хотя бы	6	37
60	никак не	1	37
61	в нем	13	37
62	того что	12	37
63	точки зрения	12	36
64	есть нечто	1	36
65	еще не	4	36
66	и все	1	36
67	когда мы	2	35
68	и т	45	35
69	в виду	5	34
70	уже не	6	34
71	и с	2	34
72	как и	7	34
73	же самое	3	33
74	в таком	1	33
75	т д	39	33
76	или иной	3	33
77	здесь не	3	32
78	в то	6	32
79	но не	9	32
80	так же	3	31
81	в своем	3	31
82	связи с	3	31
83	что такое	12	31
84	в конце	3	31
85	но это	2	31
86	все это	6	31
87	ясно что	11	30
88	и для	4	30
89	с другой	8	30
90	настоящее время	1	30
91	в настоящее	1	30
92	в связи	2	29
93	все же	9	29
94	можно сказать	4	29
95	как мы	11	29
96	об этом	6	29
97	что же	3	28
98	данном случае	5	28
99	мы не	2	28
100	а в	6	28
101	есть только	2	28
102	и о	1	28
103	и это	6	27
104	и как	9	27
105	хотя и	5	27
106	ничего не	2	27
107	в результате	4	26
108	другой стороны	5	26
109	крайней мере	4	26
110	да и	4	26
111	как будто	3	26
112	вместе с	6	26
113	по крайней	4	26
114	еще и	4	26
115	это не	8	26
116	и его	6	26
117	мы можем	2	25
118	и на	3	25
119	с точки	4	25
120	всяком случае	5	25
121	с тем	6	24
122	на самом	1	24
123	тем более	2	24
124	не имеет	4	24
125	таком случае	1	23
126	по своему	5	23
127	на то	2	23
128	при этом	3	23
129	в качестве	8	23
130	конце концов	2	23
131	а только	8	23
132	мы находим	1	23
133	есть не	5	23
134	и к	3	22
135	вещи и	1	22
136	только на	3	22
137	никогда не	3	22
138	и является	1	22
139	есть в	1	22
140	значит что	1	22
141	сам по	2	22
142	его в	6	22
143	и от	1	22
144	и есть	3	22
145	что и	5	22
146	другими словами	1	22
147	в самом	13	21
148	сама по	3	21
149	что всякий	1	21
150	мы должны	2	21
151	и ее	4	21
152	говорить о	5	21
153	разного рода	1	21
154	для себя	1	21
155	а также	3	21
156	и без	2	21
157	именно в	8	20
158	для того	23	20
159	но как	2	20
160	можно было	8	20
161	и потому	2	20
162	о чем	4	20
163	тем что	6	20
164	несмотря на	2	20
165	как о	4	20
166	или в	1	20
167	это значит	1	19
168	кроме того	1	19
169	в них	5	19
170	с ним	1	19
171	самом деле	7	19
172	в каком	3	19
173	но если	6	19
174	того или	1	19
175	художественного образа	1	19
176	то это	3	19
177	уже в	5	19
178	то в	1	19
179	в отношении	3	19
180	этом смысле	11	19
181	это есть	2	19
182	если не	1	19
183	если бы	3	19
184	как в	3	19
185	как нечто	8	19
186	жизни и	2	19
187	в этих	3	18
188	того же	3	18
189	не было	2	18
190	не будет	1	18
191	не существует	2	18
192	н э	6	18
193	в ее	11	18
194	того чтобы	22	18
195	в ней	3	18
196	без всякого	1	17
197	что они	2	17
198	во всех	2	17
199	значение и	2	17
200	но уже	2	17
201	и здесь	3	17
202	гораздо более	3	17
203	мы уже	2	17
204	совсем не	3	17
205	в языке	2	17
206	что здесь	2	17
207	это и	1	17
208	совершенно не	1	17
209	тех или	3	17
210	точно так	2	16
211	что она	3	16
212	будто бы	2	16
213	как это	5	16
214	он и	2	16
215	же в	1	16
216	для этого	3	16
217	но все	4	16
218	в одно	1	16
219	к тому	4	16
220	случае не	2	16
221	далеко не	1	16
222	и сам	3	15
223	казалось бы	2	15
224	с этим	3	15
225	в чем	4	15
226	в той	10	15
227	у него	1	15
228	что не	5	15
229	общего с	1	15
230	и более	1	15
231	здесь в	1	15
232	на нечто	1	15
233	в частности	3	15
234	искусства и	2	14
235	уже и	10	14
236	что все	1	14
237	с другими	1	14
238	сих пор	7	14
239	только о	2	14
240	этом случае	6	14
241	а это	1	14
242	все равно	2	14
243	в котором	4	14
244	говорит о	3	14
245	до сих	7	14
246	в дальнейшем	2	14
247	не что	5	14
248	то ни	1	14
249	за пределы	1	14
250	что иное	5	14
251	этого термина	3	14
252	иное как	6	14
253	из них	4	13
254	тому что	2	13
255	действительности и	1	13
256	бы и	3	13
257	только при	1	13
258	мы имеем	4	13
259	в их	12	13
260	или даже	1	13
261	в области	4	13
262	иной раз	2	13
263	или иного	1	13
264	учение о	2	13
265	дело в	5	13
266	в другом	3	12
267	он сам	3	12
268	с одной	4	12
269	в которой	1	12
270	в самой	1	12
271	и можно	1	12
272	для них	2	12
273	так или	4	12
274	в литературе	1	12
275	в начале	3	12
276	и очень	1	12
277	или по	1	12
278	что этот	1	12
279	значения и	1	12
280	что это	3	12
281	или иначе	4	12
282	нисколько не	3	12
283	не говоря	2	12
284	в целом	5	12
285	или иных	3	11
286	бы то	1	11
287	своему содержанию	1	11
288	о которых	2	11
289	нет никакого	1	11
290	и литературы	2	11
291	тот же	1	11
292	как именно	1	11
293	в таких	2	11
294	одной стороны	4	11
295	том или	2	11
296	по поводу	1	11
297	к нему	3	11
298	что его	1	11
299	не могут	6	11
300	и у	1	11
301	имеет значение	1	11
302	мы говорим	3	11
303	заключается в	4	11
304	в истории	9	11
305	указание на	1	11
306	вообще не	3	11
307	по этому	3	11
308	и тогда	3	11
309	более или	1	10
310	есть то	1	10
311	что у	1	10
312	на том	3	10
313	но он	1	10
314	один из	6	10
315	то или	1	10
316	что оно	2	10
317	очень много	1	10
318	в одном	4	10
319	в языкознании	1	10
320	и которые	1	10
321	представление о	1	10
322	отличается от	1	10
323	все время	2	10
324	не то	1	10
325	в заключение	1	10
326	и сама	2	10
327	быть только	1	10
328	он в	1	10
329	однако в	3	10
330	из которых	3	10
331	состоит из	1	10
332	внимание на	5	10
333	ни с	2	10
334	или менее	1	10
335	быть и	2	10
336	только то	1	10
337	слова и	1	10
338	и другие	2	9
339	что если	2	9
340	говоря уже	2	9
341	в своих	2	9
342	действительности а	1	9
343	вопрос о	10	9
344	нет и	1	9
345	что даже	3	9
346	представить себе	7	9
347	здесь как	1	9
348	именно как	3	9
349	не нужно	2	9
