N	2gram	Losev_Dial	ViktorSh
1	конце концов	4	2
2	в конце	5	2
3	и в	35	2
4	в том	20	2
5	том что	18	2
6	в другом	6	1
7	все время	4	1
8	но это	12	1
9	что имеется	2	1
10	одно и	8	1
11	столь же	1	1
12	по существу	2	1
13	ведь это	3	1
14	главным образом	2	1
15	в самом	6	1
16	как же	8	1
17	чем больше	1	1
18	один пример	1	1
19	для них	1	1
20	образы которые	2	1
21	а только	5	1
22	от других	1	1
23	то я	4	1
24	именно в	4	1
25	все то	1	1
26	эпоха не	2	1
27	ни к	2	1
28	имеется в	3	1
29	другое дело	1	1
30	самом деле	6	1
31	но разве	1	1
32	ясно что	11	1
33	говоря о	2	1
34	в частности	4	1
35	же все	1	1
36	и то	15	1
37	так в	1	1
38	крайней мере	11	1
39	и мало	2	1
40	и заключается	1	1
41	не хотел	1	1
42	этом и	1	1
43	время в	1	1
44	то чего	1	1
45	и его	6	1
46	даже не	4	1
47	теснейшим образом	1	1
48	связаны и	1	1
49	к чему	1	1
50	бы уже	1	1
51	на одном	1	1
52	хотя бы	6	1
53	сказать чтобы	1	1
54	две большие	1	1
55	далеко не	2	1
56	тем более	2	1
57	по крайней	11	1
58	в которых	2	1
59	говорится в	1	1
60	к этому	2	1
61	о теории	1	1
62	только в	7	1
63	же с	1	1
64	потому что	23	1
65	это далеко	1	1
66	ничуть не	2	1
67	в их	5	1
68	и почти	6	1
69	и только	5	1
70	есть ряд	1	1
71	то же	21	1
72	чего не	1	1
73	не будем	1	1
74	я занимаюсь	1	1
75	и не	51	1
76	гораздо более	3	1
77	собственно и	1	1
78	я не	9	1
79	дело в	1	1
80	да и	11	1
81	в этом	18	1
82	так как	24	1
83	все это	14	1
