N	2gram	Potebnia_M	VeschiIm
1	не есть	24	79
2	и не	28	57
3	не только	32	48
4	то что	37	48
5	не может	18	46
6	и в	48	45
7	и есть	4	40
8	и т	12	39
9	может быть	46	39
10	т д	5	38
11	а не	22	37
12	значит что	2	32
13	это значит	1	30
14	есть орудие	1	26
15	что я	5	26
16	потому что	82	25
17	было бы	16	24
18	только в	29	23
19	по себе	26	23
20	что она	4	23
21	в себе	26	23
22	сказать что	8	22
23	в смысле	4	22
24	и что	13	22
25	как бы	10	20
26	что такое	2	20
27	и следовательно	3	20
28	что это	6	19
29	что же	3	19
30	с нею	5	19
31	но и	30	19
32	и ее	1	19
33	в этом	19	18
34	вещь и	1	18
35	все же	3	18
36	есть только	9	18
37	так как	20	17
38	что мы	16	17
39	прежде всего	6	17
40	и это	6	17
41	имени и	1	17
42	есть не	9	17
43	таким образом	24	16
44	оно есть	4	16
45	того что	24	16
46	от всего	4	15
47	как и	22	15
48	уже не	11	15
49	в том	47	15
50	в ней	11	15
51	имя и	1	15
52	но это	9	14
53	и то	13	14
54	не в	24	14
55	в самом	11	13
56	не будет	4	13
57	том что	28	13
58	есть и	3	13
59	а и	5	13
60	это и	2	13
61	в себя	1	13
62	то ни	1	13
63	что в	30	12
64	и с	4	12
65	бы то	2	12
66	то же	35	12
67	и даже	3	12
68	есть нечто	6	12
69	есть то	3	12
70	о том	7	12
71	еще не	9	12
72	есть ни	4	12
73	не что	1	12
74	что вещь	1	12
75	если мы	2	12
76	точки зрения	4	12
77	но если	2	12
78	она есть	2	12
79	ничего не	1	12
80	что они	2	12
81	что иное	1	12
82	ни было	2	12
83	что и	16	12
84	между собою	13	12
85	и как	8	12
86	имя не	1	12
87	иное как	1	12
88	и их	4	11
89	не менее	9	11
90	себя в	1	11
91	еще и	1	11
92	тем не	7	11
93	ни в	2	11
94	что не	12	11
95	вовсе не	13	11
96	предполагает что	4	11
97	в то	16	11
98	и только	5	11
99	вещи в	1	10
100	по крайней	8	10
101	в чем	6	10
102	крайней мере	8	10
103	что оно	12	10
104	ясно что	1	10
105	я и	3	9
106	с ним	10	9
107	в результате	1	9
108	со стороны	4	9
109	бы и	4	9
110	то и	10	9
111	хотя бы	3	9
112	нисколько не	1	9
113	говорить о	6	9
114	в своем	6	9
115	ни с	1	9
116	должно быть	9	9
117	это не	2	9
118	у нас	2	9
119	есть явление	1	9
120	но что	4	9
121	бы в	3	9
122	если оно	1	9
123	она не	4	9
124	другими словами	3	9
125	так что	14	9
126	но не	8	9
127	на то	6	9
128	и его	4	9
129	как с	1	8
130	должна быть	2	8
131	это есть	1	8
132	если бы	20	8
133	с тем	9	8
134	что он	8	8
135	себя и	4	8
136	отличается от	1	8
137	действительность и	2	8
138	но в	8	8
139	мы не	17	8
140	что значит	1	8
141	для него	14	8
142	в ее	3	8
143	все это	4	8
144	со своим	2	8
145	с другими	9	8
146	его в	6	8
147	указывает на	8	8
148	вещь как	1	8
149	всего прочего	1	8
150	и потому	9	8
151	не с	4	8
152	даже не	2	8
153	с другой	8	8
154	можно сказать	4	8
155	что есть	3	8
156	с этой	2	7
157	в сущности	3	7
158	то не	3	7
159	оно не	7	7
160	самом деле	5	7
161	все эти	1	7
162	тем что	13	7
163	в действительности	7	7
164	относится к	6	7
165	и тогда	4	7
166	слова и	8	7
167	не потому	2	7
168	без всякого	2	7
169	мог бы	1	7
170	никак не	3	7
171	или не	3	7
172	вообще не	1	7
173	сама по	3	7
174	я не	1	7
175	есть именно	2	7
176	и тем	8	7
177	от того	10	7
178	а в	14	7
179	из них	11	7
180	с чем	3	7
181	можно только	3	7
182	в той	2	6
183	для себя	3	6
184	в разных	4	6
185	мы говорим	2	6
186	их в	3	6
187	в своей	2	6
188	с собою	1	6
189	в каком	8	6
190	в данном	3	6
191	а если	1	6
192	из себя	3	6
193	в одном	4	6
194	вообще но	1	6
195	и до	2	6
196	как я	1	6
197	ее не	4	6
198	вопрос о	2	6
199	в сфере	1	6
200	и значит	1	6
201	от ее	2	6
202	действительность есть	1	6
203	она имеет	1	6
204	от вещи	1	6
205	несмотря на	2	6
206	с точки	3	6
207	все равно	5	6
208	как же	1	6
209	или иначе	1	6
210	дело в	1	6
211	быть только	5	6
212	и другое	3	6
213	между ними	4	6
214	если я	1	6
215	в нем	16	6
216	и вообще	4	6
217	так или	2	6
218	понимать себя	2	6
219	должны быть	3	6
220	одно и	7	6
221	можно было	1	6
222	когда мы	4	6
223	как мы	8	6
224	бытия и	1	6
225	жизни и	3	6
226	независимо от	10	6
227	и все	5	6
228	никогда не	2	6
229	даже больше	1	6
