N	2gram	Propp_Isto	SlovoVZh
1	не может	19	16
2	может быть	37	14
3	как бы	6	13
4	и его	5	13
5	таким образом	13	12
6	и в	40	12
7	отношению к	6	11
8	по отношению	6	11
9	в нашем	1	11
10	и не	19	10
11	так как	20	9
12	если бы	8	9
13	прежде всего	15	8
14	для нас	17	7
15	сказать что	7	7
16	художественного произведения	1	7
17	в ней	10	6
18	в том	12	6
19	в процессе	1	6
20	только в	16	6
21	в нем	8	6
22	при этом	6	6
23	и др	11	5
24	что мы	9	5
25	хотя бы	5	5
26	должна быть	5	5
27	то же	21	5
28	а не	18	5
29	в виду	2	5
30	то что	17	5
31	в жизни	2	5
32	как и	5	5
33	как в	7	5
34	отнюдь не	2	5
35	том что	11	5
36	и следовательно	1	5
37	но в	13	5
38	никогда не	25	5
39	и к	1	4
40	и на	6	4
41	к материалу	2	4
42	материала и	2	4
43	не только	28	4
44	ни было	2	4
45	на самом	3	4
46	как если	1	4
47	его в	15	4
48	с другой	8	4
49	не в	11	4
50	дело в	3	4
51	что не	2	4
52	так и	13	4
53	уже не	3	4
54	в этом	13	4
55	все же	17	4
56	зависимости от	3	4
57	к нему	3	4
58	бы то	2	3
59	и с	5	3
60	ее и	1	3
61	до сих	11	3
62	это как	1	3
63	и более	3	3
64	в котором	5	3
65	с героем	2	3
66	и по	4	3
67	и пр	11	3
68	так называемой	1	3
69	мы не	12	3
70	то ни	2	3
71	или не	1	3
72	между тем	2	3
73	для него	2	3
74	с ним	3	3
75	того что	6	3
76	быть и	1	3
77	и уже	1	3
78	когда он	9	3
79	тем не	7	3
80	в некоторых	4	3
81	имеет в	1	3
82	все это	6	3
83	он должен	3	3
84	отражает в	1	3
85	ни в	2	3
86	в пределах	4	3
87	конечно не	2	3
88	по себе	4	3
89	так же	18	3
90	в них	2	3
91	в каком	2	3
92	самом деле	2	3
93	только на	2	3
94	в себе	6	3
95	ясно что	2	3
96	все эти	6	3
97	о том	12	3
98	в своей	2	3
99	и герой	3	3
100	здесь не	5	3
101	не менее	7	3
102	из этого	3	3
103	в такой	2	3
104	нуждается в	1	3
105	да и	3	3
106	но и	21	3
107	бы мы	2	3
108	ведь и	1	3
109	и для	5	3
110	точка зрения	2	3
111	и ее	3	3
112	и наконец	5	3
113	сих пор	12	3
114	еще не	14	3
115	в особенности	3	2
116	что в	19	2
117	все они	1	2
118	нет ничего	2	2
119	но это	8	2
120	не так	2	2
121	и потому	3	2
122	действия и	3	2
123	в строгой	1	2
124	и другие	7	2
125	какой степени	1	2
126	и то	3	2
127	социальной жизни	4	2
128	мы можем	7	2
129	героя или	1	2
130	в то	4	2
131	которые мы	1	2
132	окно и	1	2
133	со всех	4	2
134	в основном	4	2
135	зависит от	3	2
136	поскольку они	2	2
137	с одной	8	2
138	уже в	2	2
139	там где	5	2
