N	4gram	Trubetskoy	Narrotol
1	в то же время	2	8
2	состоит в том что	1	6
3	и в то же	1	2
4	одного и того же	1	2
5	и т.д вплоть до	1	2
6	то же самое следует	1	2
7	еще и потому что	1	2
8	точно так же как	2	2
9	то же самое происходит	1	1
10	с этой точки зрения	2	1
11	которые к тому же	1	1
12	до сих пор еще	2	1
13	же самое следует сказать	1	1
14	самое следует сказать и	1	1
15	том виде в каком	1	1
16	бы то ни было	2	1
17	следует сказать и о	1	1
18	один и тот же	1	1
19	в том числе и	4	1
20	свидетельствует о том что	1	1
21	в том виде в	2	1
22	во всяком случае в	1	1
23	не в том что	1	1
24	здесь говорить не приходится	1	1
25	в том или ином	1	1
