N	2gram	Bakhtin_Fr	IolandNe
1	и с	18	3
2	что в	14	2
3	он не	9	2
4	должен быть	2	2
5	ничего не	5	2
6	и не	23	2
7	в этом	27	2
8	говорить о	5	1
9	какую роль	1	1
10	все эти	12	1
11	для того	8	1
12	и очень	1	1
13	а в	4	1
14	и о	8	1
15	же это	1	1
16	утверждает что	1	1
17	это было	4	1
18	у всех	2	1
19	и со	1	1
20	и та	2	1
21	что для	1	1
22	для него	4	1
23	не остается	4	1
24	вплоть до	2	1
25	и создавал	1	1
26	тех же	1	1
27	тем что	3	1
28	не случайно	3	1
29	когда его	1	1
30	того же	6	1
31	нам в	2	1
32	и др	11	1
33	о жизни	1	1
34	жизни и	11	1
35	с другой	3	1
36	но когда	1	1
37	в целом	2	1
38	более чем	1	1
39	было не	1	1
40	он с	1	1
41	точно и	1	1
42	значительной мере	1	1
43	в эту	2	1
44	стороны он	1	1
45	другой стороны	2	1
46	себя в	1	1
47	слишком много	1	1
48	могло бы	1	1
49	и еще	1	1
50	что при	1	1
51	как только	1	1
52	если бы	2	1
53	отношению к	1	1
54	по существу	4	1
55	и сам	2	1
56	того что	4	1
57	них не	1	1
58	а с	1	1
59	для других	1	1
60	не увидел	1	1
61	только для	4	1
62	и имеется	1	1
63	по поводу	5	1
64	и тот	2	1
65	а также	4	1
66	так и	14	1
67	свою жену	2	1
68	художественном творчестве	1	1
69	в основе	6	1
70	в значительной	2	1
71	оказывается для	1	1
72	эти произведения	1	1
73	от этого	2	1
74	того чтобы	9	1
75	и без	3	1
76	бы в	5	1
77	с жизнью	4	1
78	не дает	2	1
79	есть только	1	1
80	и в	67	1
81	видит в	1	1
82	это был	2	1
83	никогда не	6	1
84	все это	15	1
85	по отношению	1	1
86	как смерть	1	1
87	со всеми	6	1
88	на котором	2	1
89	нисколько не	4	1
90	эпизод с	2	1
91	в них	12	1
