N	3gram	Tiupa_Teor	Otkroven
1	для того чтобы	5	3
2	не могут быть	2	2
3	в этом мире	2	2
4	не может быть	5	2
5	это было бы	1	2
6	в самом начале	2	1
7	к нему как	1	1
8	так и не	5	1
9	и не быть	1	1
10	он ни был	1	1
11	о том что	1	1
12	в том что	10	1
13	в том случае	1	1
14	жизни а не	1	1
15	в том-то и	1	1
16	добро и зло	1	1
17	в иных случаях	1	1
18	в виду не	3	1
19	как и в	2	1
20	может быть назван	1	1
21	в самом деле	2	1
22	том случае если	1	1
23	ивана карамазова в	1	1
24	и в самом	2	1
25	ни к каким	1	1
26	как бы в	1	1
27	а в его	1	1
28	может быть осуществлено	1	1
29	и прежде всего	1	1
30	а не только	1	1
31	и состоит чтобы	1	1
32	заключает в себе	1	1
33	том что в	1	1
34	он не только	1	1
35	отношение человека к	1	1
36	не было и	1	1
37	так и против	1	1
