1	до тех пор пока	2	3
2	не что иное как	4	2
3	одно и то же	2	2
4	не чем иным как	1	2
5	есть не что иное	2	2
6	с другой стороны оно	1	1
7	но это конечно не	1	1
8	в собственном смысле слова	1	1
9	состоит в том что	1	1
10	в связи со всей	1	1
11	и не может быть	1	1
12	нет и не может	1	1
13	с его точки зрения	2	1
14	в то же время	9	1
15	в том что в	5	1
16	но тем не менее	1	1
17	но в то же	2	1
18	в течение всей своей	3	1
19	один и тот же	2	1
20	с этой точки зрения	1	1
21	то что в этом	1	1
22	само собой разумеется что	3	1
23	указать на то что	1	1
24	иметь в виду что	1	1
25	оказывается с точки зрения	1	1
