N	3gram	Kanaev_Sov	Dialekti
1	это значит что	1	47
2	с точки зрения	5	46
3	по крайней мере	1	26
4	в том что	1	25
5	не может быть	4	18
6	не что иное	1	18
7	что иное как	1	18
8	тем не менее	2	16
9	то же время	1	15
10	в то же	1	14
11	ровно ничего не	1	12
12	есть не что	1	11
13	в самом деле	1	10
14	и в этом	1	9
15	и та же	1	8
16	одна и та	1	8
17	в этом смысле	1	8
18	не в том	1	7
19	сами по себе	1	7
20	в связи с	1	7
21	той или иной	1	7
22	в зависимости от	4	6
23	и прежде всего	1	6
24	и в то	1	6
25	во всяком случае	2	6
26	с одной стороны	1	6
27	может быть и	2	6
28	на самом деле	1	5
29	до сих пор	1	5
30	одной и той	1	5
31	и той же	1	5
32	одной стороны и	1	4
33	мы уже знаем	1	4
34	так же как	1	4
35	может быть только	1	4
36	в данном случае	1	4
37	не может не	3	4
38	то же самое	2	4
39	а не только	1	4
40	равно как и	1	4
41	и может быть	1	4
42	может быть в	1	4
43	и ни в	1	4
44	можно было бы	1	4
45	не могут быть	1	4
46	но только не	1	4
47	ничего общего не	1	3
48	и что она	1	3
49	когда мы говорим	1	3
50	и есть то	1	3
51	но все же	1	3
52	бы то ни	1	3
53	и не может	1	3
54	значит что она	1	3
55	не было бы	1	3
56	с самого начала	3	3
57	но ведь это	1	2
58	но все эти	1	2
59	времени и пространства	2	2
60	со всеми ее	1	2
61	друг с другом	2	2
62	прежде всего необходимо	1	2
63	в обоих случаях	1	2
64	она не может	1	2
65	все же это	1	2
66	теперь мы должны	1	2
67	но они не	1	2
68	как мы это	1	2
69	уже знаем что	1	2
70	но мы уже	1	2
71	так как он	2	2
72	мы видим что	1	2
73	в свою очередь	2	2
74	вместе с ним	1	2
75	не более как	1	2
76	мы не можем	6	2
77	тот или иной	1	2
78	ничто не может	1	2
79	или как он	1	2
80	дело в том	1	2
81	с ним или	1	1
82	вне времени и	2	1
83	это и будет	1	1
84	мы говорим о	1	1
85	это как бы	1	1
86	что же это	3	1
87	и по его	1	1
88	своего развития наука	1	1
89	такой же мере	1	1
90	что в ней	1	1
91	и во всех	1	1
92	в том как	1	1
93	к одному и	1	1
94	и не стремится	1	1
95	все равно будет	1	1
96	живое от неживого	1	1
97	из этих двух	1	1
98	и пр но	1	1
99	друг на друга	1	1
100	или иной науки	1	1
101	в том случае	1	1
102	это или нет	1	1
103	в такой же	1	1
104	как бы план	1	1
105	у нас есть	1	1
106	то ни другое	1	1
107	тем же путем	1	1
108	в отличие от	2	1
109	то ни было	1	1
110	в древней греции	1	1
111	ни то ни	1	1
112	ли он в	1	1
113	на этот раз	1	1
114	в конечном счете	1	1
115	от всяких условий	1	1
116	из многих его	1	1
117	своего предмета ни	1	1
118	те или иные	1	1
119	только одна из	1	1
120	ничего не сказано	1	1
121	а в конце	1	1
122	и это конечно	1	1
123	на их основании	1	1
124	же это за	2	1
125	в науке и	1	1
126	со всеми его	1	1
127	и до сих	1	1
128	все более и	1	1
129	и именно в	1	1
130	в свое время	1	1
131	может не быть	1	1
132	но если мы	1	1
133	более и более	1	1
134	же это не	1	1
135	и еще более	1	1
136	может находиться в	1	1
137	почти не знает	1	1
138	а потом и	1	1
139	общего не имеет	1	1
140	мы не знаем	1	1
141	она всегда будет	1	1
142	и ничего не	1	1
143	не имеет с	1	1
144	точки зрения уже	1	1
145	в этом случае	1	1
146	именно в том	1	1
147	но тем не	1	1
148	сказать несколько слов	1	1
149	ли оно вообще	1	1
150	и есть не	1	1
151	и само собою	1	1
152	в новое время	1	1
153	совершенно не приходится	1	1
154	точки зрения и	1	1
155	ни о каком	1	1
156	тот факт что	1	1
157	который как известно	1	1
