N	2gram	Bakhtin_fo	IolandNe
1	и с	10	3
2	что в	9	2
3	оба они	1	2
4	самого себя	1	2
5	он не	6	2
6	должен быть	2	2
7	ничего не	9	2
8	и не	19	2
9	в этом	41	2
10	говорить о	1	1
11	все эти	12	1
12	для того	12	1
13	и очень	1	1
14	а в	6	1
15	и о	1	1
16	же это	1	1
17	понятий и	1	1
18	утверждает что	2	1
19	это было	2	1
20	у всех	1	1
21	и со	1	1
22	и та	2	1
23	для него	5	1
24	вплоть до	3	1
25	в киеве	1	1
26	тех же	2	1
27	тем что	4	1
28	бы его	1	1
29	от нее	1	1
30	того же	9	1
31	нам в	1	1
32	и др	13	1
33	о жизни	1	1
34	жизни и	12	1
35	и идей	3	1
36	с другой	4	1
37	но когда	2	1
38	в целом	2	1
39	человеке и	1	1
40	значительной мере	2	1
41	в эту	1	1
42	стороны он	1	1
43	нее и	1	1
44	другой стороны	1	1
45	я не	1	1
46	себя в	2	1
47	и широко	1	1
48	братья карамазовы	1	1
49	к отцу	1	1
50	произведения и	1	1
51	могло бы	1	1
52	то и	1	1
53	после смерти	1	1
54	и еще	3	1
55	как только	1	1
56	если бы	6	1
57	отношению к	5	1
58	следующим образом	1	1
59	по существу	17	1
60	и сам	2	1
61	того что	5	1
62	них не	2	1
63	огороде бузина	1	1
64	для других	7	1
65	стало быть	1	1
66	только для	2	1
67	по поводу	1	1
68	и тот	2	1
69	а также	5	1
70	так и	17	1
71	автора и	4	1
72	в основе	9	1
73	в значительной	3	1
74	в огороде	1	1
75	эти произведения	1	1
76	от этого	4	1
77	того чтобы	11	1
78	бы в	1	1
79	этим и	1	1
80	и ничего	1	1
81	есть только	2	1
82	бузина а	1	1
83	и в	84	1
84	что роман	1	1
85	это был	1	1
86	никогда не	8	1
87	все это	10	1
88	по отношению	3	1
89	со всеми	4	1
90	на котором	2	1
91	нисколько не	1	1
92	эпизод с	1	1
93	как о	1	1
94	в них	11	1
95	во многом	2	1
