N	2gram	Medvedev_V	KFilosof
1	может быть	23	45
2	в его	15	42
3	в нем	7	32
4	не может	17	29
5	и не	20	28
6	и в	26	28
7	по отношению	7	26
8	в котором	3	24
9	отношению к	7	22
10	в себе	6	21
11	только в	8	18
12	и его	6	18
13	в своем	8	17
14	в ее	4	17
15	а не	7	17
16	в этом	29	15
17	для него	9	13
18	не в	6	13
19	точки зрения	3	13
20	ни в	1	12
21	но не	2	12
22	и это	1	12
23	в своей	4	11
24	все эти	8	11
25	во всех	7	11
26	из себя	2	11
27	все это	13	10
28	это не	7	10
29	в едином	1	10
30	и есть	5	10
31	и для	2	10
32	в целом	5	10
33	в их	5	9
34	и все	1	9
35	единого и	2	9
36	но и	10	9
37	как бы	5	9
38	в единстве	4	8
39	не было	7	8
40	если бы	3	8
41	со стороны	1	8
42	было бы	8	8
43	едином и	1	8
44	лишь в	2	8
45	жизни и	3	8
46	что и	3	7
47	должен быть	4	7
48	вовсе не	3	7
49	уже не	1	7
50	совершенно не	1	7
51	то что	7	7
52	конечно не	1	7
53	на основе	5	7
54	момент в	3	7
55	отнюдь не	4	7
56	ее и	1	6
57	должно быть	2	6
58	не значит	1	6
59	но все	1	6
60	не имеет	1	6
61	в том	15	6
62	и их	3	6
63	отношение к	1	6
64	он не	2	6
65	но это	1	6
66	мира в	1	6
67	от его	2	5
68	со всем	1	5
69	то же	10	5
70	мы имеем	3	5
71	не только	26	5
72	с ним	1	5
73	но как	3	5
74	его в	3	5
75	в основе	1	5
76	но в	2	5
77	именно в	3	5
78	бы быть	1	5
79	но ведь	1	5
80	как и	7	5
81	все же	6	5
82	себя и	1	5
83	еще не	2	5
84	время и	1	5
85	хотя бы	20	5
86	в одном	5	5
87	а в	3	5
88	бытия в	1	5
89	никогда не	5	5
90	что в	11	4
91	познания и	4	4
92	должна быть	2	4
93	и весь	2	4
94	о нем	1	4
95	не как	1	4
96	для нас	1	4
97	прежде всего	13	4
98	в своих	2	4
99	конкретной действительности	1	4
100	места и	1	4
101	с ними	4	4
102	мира и	3	4
103	это противопоставление	1	4
104	в действительной	1	4
105	том что	8	4
106	в чем	2	4
107	в каком	1	4
108	могло бы	2	4
109	бытие как	1	4
110	и жизни	1	4
111	входит в	1	4
112	во всей	2	4
113	не по	2	4
114	между тем	6	4
115	к ним	2	4
116	быть в	1	4
117	из него	1	4
118	от него	1	3
119	и может	2	3
120	на язык	2	3
121	этого мира	1	3
122	мы не	1	3
123	тогда когда	2	3
124	действительной жизни	3	3
125	и этот	2	3
126	того что	3	3
127	в виду	4	3
128	самом деле	1	3
129	единой и	1	3
130	тем что	1	3
131	но для	2	3
132	стороны в	2	3
133	что этот	1	3
134	не дает	1	3
135	не менее	2	3
136	по своему	1	3
137	бы не	2	3
138	здесь не	1	3
139	себе и	2	3
140	той или	1	3
141	в каждом	2	3
142	это и	6	3
143	того или	2	3
144	бы и	6	3
145	в конкретной	2	3
146	что не	3	3
147	в свою	1	3
148	и ни	1	3
149	лежат в	1	3
150	в другом	2	3
151	для того	3	3
152	в ней	2	3
153	быть и	1	3
154	и та	1	3
155	этом смысле	1	3
156	от того	2	3
157	человека и	3	3
158	на своем	1	3
159	целом и	1	3
160	из его	4	3
161	нет и	3	3
162	не быть	2	3
163	только с	2	3
164	могут быть	8	3
165	общее и	1	3
166	предмета в	1	3
167	о том	10	3
168	человека вообще	1	3
169	в то	6	3
170	или иного	1	3
171	всех этих	3	3
172	и тем	1	3
173	были бы	1	2
174	события и	1	2
175	и эти	1	2
176	которой я	1	2
177	один из	6	2
178	бы он	1	2
179	и мы	1	2
180	и отсюда	1	2
181	мышления и	1	2
182	может не	2	2
183	можно ли	2	2
184	дело с	1	2
185	еще более	1	2
186	своем содержании	3	2
187	тому что	7	2
188	есть его	1	2
189	так и	6	2
190	отсюда следует	1	2
191	из которых	2	2
192	и то	1	2
193	в качестве	12	2
194	и свой	1	2
195	истины но	1	2
196	сводится к	3	2
197	смысла в	1	2
198	по себе	2	2
199	и смысл	1	2
200	в виде	1	2
201	этим путем	1	2
202	если не	1	2
203	говорим о	1	2
204	он может	2	2
205	не о	2	2
206	ни одна	2	2
207	данного момента	1	2
208	всех его	2	2
209	в сознании	4	2
210	мы говорим	1	2
211	в ту	1	2
212	не следует	8	2
213	в процессе	17	2
214	в жизни	2	2
215	с тем	4	2
216	и как	3	2
217	что он	4	2
218	в соответствии	1	2
219	что правда	1	2
220	и просто	2	2
221	как в	1	2
222	к последним	1	2
223	смысла и	1	2
224	это было	1	2
225	под ним	1	2
226	себя или	1	2
227	ли это	2	2
228	ничего общего	1	2
229	а для	2	2
230	деятельности и	1	2
231	можно и	1	2
232	как оно	1	2
233	жизнь и	1	2
234	или как	1	2
235	все они	2	2
236	и мир	3	2
237	поскольку она	1	2
238	к этому	9	2
239	и потому	2	2
240	ни к	1	2
241	его и	1	2
242	может иметь	1	2
243	ведь это	1	2
244	а с	1	2
245	в данном	1	2
246	и других	1	2
247	вытекает из	1	2
248	вопрос о	1	2
249	которой он	1	2
250	она не	3	2
251	потому что	1	2
252	единства в	1	2
253	того чтобы	3	2
254	а значит	3	2
255	дело не	1	2
256	кажется что	1	2
257	в него	1	2
258	а по	1	2
259	знает и	1	2
260	говорить о	2	2
261	содержания и	1	2
262	что эта	1	2
263	для этого	1	2
264	всех других	3	2
265	же время	5	2
266	или иное	1	2
267	это только	4	2
268	имеем в	1	2
269	процесс и	1	2
270	в этой	4	2
271	он и	2	2
272	но ни	1	2
273	входит как	1	2
274	соответствии с	1	2
275	что есть	1	2
276	ее как	2	2
277	и бытие	1	2
278	включая сюда	1	2
279	слова в	1	2
280	или иной	2	2
281	с его	4	2
282	автора как	2	2
283	в области	2	2
