N	4gram	Savitsky_E	Literetu
1	в то же время	14	21
2	не говоря уже о	1	6
3	с этой точки зрения	5	5
4	бы то ни было	4	4
5	с одной стороны и	6	3
6	в том числе и	1	3
7	не говоря уже об	1	2
8	дело в том что	1	2
9	поскольку речь идет о	1	2
10	не только в том	1	2
11	то же время не	1	2
12	и прежде всего в	1	1
13	ясен долгий путь наш	1	1
14	долгий путь наш путь	1	1
15	путь наш путь стрелой	1	1
16	наш путь стрелой татарской	1	1
17	и в то же	8	1
18	одного и того же	1	1
19	например с точки зрения	2	1
20	путь стрелой татарской древней	1	1
21	нам ясен долгий путь	1	1
22	то же время в	1	1
23	то же время многие	1	1
24	татарской древней воли пронзил	1	1
25	и даже более того	1	1
26	стрелой татарской древней воли	1	1
27	и всякая иная культурная	1	1
28	в той или иной	3	1
29	но в то же	2	1
30	воли пронзил нам грудь	1	1
31	древней воли пронзил нам	1	1
